Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.577303,-0.861217,0.492613,1.103957,-0.126009,-0.11181,43.627324,-14.527628,10.02466,4.63583E+18,0.699676,-0.123861,0.668273,0.220277,-9.656056,-1.283163,-0.429795,0.212481,0.029162,0.032065,44.302053,-14.793073,5.31022,4.63583E+18,0.566248,-0.496131,0.534758,0.383734,-6.943403,-1.984969,2.0023,3.633359,-0.314954,0.706166,44.734763,12.600725,5.931941,4.63583E+18,0.581941,0.463273,0.5421,-0.39096,0
-9.611168,-0.838369,0.532802,1.136409,-0.133967,-0.115223,43.543005,-14.497267,10.188475,4.63583E+18,0.700772,-0.120812,0.668792,0.216888,-9.663427,-1.357556,-0.471252,0.230881,0.028941,0.042424,44.335905,-14.87,5.31022,4.63583E+18,0.566629,-0.495507,0.53528,0.383248,-6.157045,-2.666546,2.194933,3.80082,-0.195509,0.511318,44.847315,12.493544,5.501102,4.63583E+18,0.57573,0.473301,0.534421,-0.398642,0
-9.695049,-0.745037,0.6344,1.166075,-0.134001,-0.125526,43.507187,-14.288944,10.371582,4.63583E+18,0.701876,-0.117701,0.669317,0.213382,-9.662051,-1.362173,-0.480928,0.258106,0.02477,0.051069,44.254149,-14.955441,5.339692,4.63583E+18,0.567062,-0.494793,0.535852,0.382731,-5.726788,-2.963987,1.431496,4.042718,-0.027795,0.348131,44.880968,12.448862,5.122693,4.63583E+18,0.568241,0.483694,0.526919,-0.406816,0
-9.764346,-0.569026,0.782059,1.200115,-0.119461,-0.139755,43.762354,-14.356691,10.488521,4.63583E+18,0.702951,-0.114541,0.669891,0.209729,-9.634167,-1.253468,-0.474931,0.268713,0.019006,0.0578,44.199324,-14.96354,5.40788,4.63583E+18,0.567518,-0.494029,0.536441,0.382217,-5.768082,-4.468219,-0.111733,4.39506,0.083543,0.186206,44.863106,12.561684,4.653813,4.63583E+18,0.559345,0.494603,0.519245,-0.415795,0
-9.825381,-0.31701,0.808446,1.221306,-0.10461,-0.155535,43.959638,-14.326376,10.434971,4.63583E+18,0.70399,-0.111373,0.670502,0.205962,-9.694051,-1.163387,-0.588917,0.249485,0.011187,0.064632,44.23869,-14.796311,5.437351,4.63583E+18,0.56794,-0.493282,0.536995,0.381777,-6.058099,-6.242375,-0.640173,4.786898,0.107074,0.044047,44.838689,12.720381,4.080065,4.63583E+18,0.549139,0.505976,0.511048,-0.425752,0
-9.886413,-0.086269,0.796239,1.222685,-0.095686,-0.169076,43.797046,-13.995251,10.403466,4.63583E+18,0.704999,-0.108243,0.671117,0.202143,-9.761081,-1.182959,-0.852407,0.232838,-0.006767,0.070617,44.375275,-14.707603,5.535002,4.63583E+18,0.568358,-0.492531,0.537491,0.381426,-6.223074,-5.427908,-0.527621,5.032792,0.131863,-0.065274,44.887771,12.918633,3.551607,4.63583E+18,0.537936,0.517509,0.502487,-0.436252,0
-9.919104,0.124029,0.774581,1.20377,-0.078286,-0.17776,43.739124,-13.715232,10.315657,4.63583E+18,0.705941,-0.105203,0.671745,0.198338,-9.770764,-1.20485,-0.9888,0.223123,-0.030487,0.075516,44.41285,-14.784531,5.603198,4.63583E+18,0.568801,-0.491755,0.537924,0.381156,-6.403709,-3.35509,-0.646565,5.018167,0.164852,-0.209685,45.022042,13.196678,3.024681,4.63583E+18,0.526197,0.528538,0.494116,-0.446782,0
-9.934067,0.284281,0.75017,1.183581,-0.056341,-0.185236,43.805262,-13.527811,10.498699,4.63583E+18,0.706801,-0.102258,0.672402,0.194554,-9.746351,-1.170548,-0.929881,0.21178,-0.053968,0.07767,44.361702,-14.895756,5.544279,4.63583E+18,0.569269,-0.490963,0.538288,0.380965,-6.771075,-2.115915,-1.146646,4.789273,0.144511,-0.365773,45.048926,13.401022,2.450026,4.63583E+18,0.514491,0.538482,0.486261,-0.45704,0
-9.889584,0.326841,0.697409,1.16022,-0.039697,-0.19106,43.758436,-13.290761,10.776721,4.63583E+18,0.707593,-0.099407,0.67307,0.190805,-9.718256,-1.144006,-0.734579,0.195997,-0.06709,0.086316,44.361702,-15.040876,5.437331,4.63583E+18,0.56972,-0.490167,0.538613,0.380856,-7.289604,-1.896893,-1.745413,4.47757,0.054559,-0.506653,44.838258,13.440351,1.843344,4.63583E+18,0.503204,0.547098,0.478939,-0.466998,0
-9.7813,0.272906,0.655268,1.140613,-0.018955,-0.19392,43.739124,-13.10999,10.906316,4.63583E+18,0.708305,-0.096634,0.673767,0.187092,-9.677953,-1.261236,-0.528216,0.196132,-0.071566,0.09337,44.387472,-15.074788,5.53499,4.63583E+18,0.57017,-0.489348,0.538942,0.380772,-7.899935,-1.86571,-2.087675,4.165038,-0.059963,-0.634309,44.603829,13.694615,1.138985,4.63583E+18,0.492442,0.554398,0.472116,-0.476707,0
