Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.855842,-0.429194,-0.193383,-0.017820,0.009835,0.015123,41.395445,5.871164,-19.123338,4635731465311617000.000000,0.059074,0.672093,0.099913,-0.731313,-9.380605,2.293117,-1.553784,-0.000301,-0.000301,-0.011284,45.786220,4.516433,-5.523678,4635727599304179700.000000,0.349397,0.718119,0.275806,-0.534938,-9.702787,-1.509519,-0.603217,0.001327,-0.006409,0.007477,44.021140,-14.384987,-4.608568,4635728995705421800.000000,-0.421407,0.644921,-0.387629,-0.506199,0
-9.812819,-0.447201,-0.179244,-0.015853,0.004833,0.016191,41.617695,5.919262,-19.287697,4635731465311617000.000000,0.059189,0.672094,0.099872,-0.731308,-9.373409,2.322850,-1.548773,-0.004684,-0.000466,-0.013420,45.818137,4.577776,-5.328366,4635727599304179700.000000,0.349457,0.718103,0.275784,-0.534931,-9.692678,-1.503608,-0.591010,-0.000626,-0.006409,0.008103,43.913469,-14.276369,-4.427952,4635728995705421800.000000,-0.421423,0.644896,-0.387617,-0.506227,0
-9.800611,-0.492164,-0.152895,-0.014277,0.002644,0.017090,41.709317,5.847346,-19.272227,4635731465311617000.000000,0.059303,0.672090,0.099822,-0.731310,-9.399700,2.331614,-1.510275,-0.014488,0.000767,-0.014954,45.789654,4.553678,-5.270770,4635727599304179700.000000,0.349541,0.718074,0.275791,-0.534911,-9.699830,-1.520870,-0.585955,-0.000442,-0.003906,0.009797,43.812370,-14.195977,-4.439673,4635728995705421800.000000,-0.421432,0.644873,-0.387614,-0.506251,0
-9.786470,-0.510777,-0.118207,-0.010343,0.006694,0.016752,41.406788,5.860882,-19.174569,4635731465311617000.000000,0.059403,0.672098,0.099763,-0.731302,-9.403143,2.321286,-1.504953,-0.015119,0.000000,-0.015557,45.826908,4.516423,-5.563747,4635727599304179700.000000,0.349628,0.718041,0.275800,-0.534895,-9.697734,-1.511622,-0.585955,0.000000,-0.002136,0.011933,43.998320,-14.160588,-4.487269,4635729121518636000.000000,-0.421432,0.644851,-0.387618,-0.506274,0
-9.771724,-0.490835,-0.103460,-0.008545,0.015070,0.014446,41.298370,5.959870,-19.109782,4635731465311617000.000000,0.059487,0.672132,0.099706,-0.731272,-9.415350,2.277781,-1.524045,-0.010408,0.000000,-0.015584,45.741461,4.601872,-5.719026,4635727599304179700.000000,0.349700,0.718015,0.275798,-0.534884,-9.685527,-1.508662,-0.585955,0.000000,-0.002762,0.013443,44.079707,-14.160588,-4.549532,4635729210453786600.000000,-0.421429,0.644827,-0.387623,-0.506304,0
-9.804478,-0.439467,-0.140083,-0.009053,0.020855,0.011919,41.445463,6.090166,-19.186776,4635731465311617000.000000,0.059563,0.672183,0.099659,-0.731225,-9.417233,2.233955,-1.553781,-0.002466,-0.000301,-0.011449,45.680103,4.639140,-5.551254,4635727599304179700.000000,0.349758,0.718004,0.275765,-0.534877,-9.680470,-1.520868,-0.585955,0.000626,-0.002579,0.013886,43.908453,-14.160588,-4.525630,4635729210453786600.000000,-0.421427,0.644801,-0.387633,-0.506332,0
-9.820552,-0.435600,-0.180570,-0.012426,0.016129,0.013325,41.517380,6.004717,-19.118119,4635731465311617000.000000,0.059654,0.672219,0.099617,-0.731190,-9.389377,2.247720,-1.541901,0.001835,-0.001971,-0.010681,45.704192,4.529600,-5.505212,4635727599304179700.000000,0.349808,0.717996,0.275718,-0.534879,-9.680470,-1.497324,-0.585955,0.001694,-0.002136,0.012635,43.905325,-14.160588,-4.487267,4635729210453786600.000000,-0.421431,0.644775,-0.387643,-0.506353,0
-9.845582,-0.409259,-0.235802,-0.016191,0.005172,0.015515,41.517380,5.932798,-19.205485,4635731465311617000.000000,0.059767,0.672222,0.099578,-0.731184,-9.356197,2.269021,-1.499625,0.001670,-0.003369,-0.009477,45.741471,4.430958,-5.487439,4635727599304179700.000000,0.349862,0.717987,0.275666,-0.534883,-9.666172,-1.427049,-0.585955,0.000885,-0.000885,0.011124,43.971066,-14.203485,-4.542371,4635729210453786600.000000,-0.421433,0.644756,-0.387649,-0.506371,0
-9.810891,-0.390014,-0.254425,-0.018104,0.003259,0.012649,41.530895,5.921213,-19.256804,4635731431345656800.000000,0.059878,0.672217,0.099551,-0.731183,-9.335224,2.223636,-1.512167,0.002602,-0.001068,-0.006409,45.700742,4.516402,-5.258288,4635727599304179700.000000,0.349918,0.717987,0.275605,-0.534877,-9.656056,-1.391644,-0.593104,-0.000626,-0.001251,0.010056,43.921024,-14.283875,-4.634968,4635729210453786600.000000,-0.421432,0.644743,-0.387646,-0.506392,0
-9.786476,-0.449743,-0.246079,-0.024175,-0.002643,0.011750,41.589314,5.873069,-19.061486,4635731250563252200.000000,0.060005,0.672193,0.099545,-0.731195,-9.323016,2.214531,-1.463337,0.000767,-0.001369,-0.006409,45.780866,4.553698,-5.270699,4635727599304179700.000000,0.349980,0.717984,0.275548,-0.534871,-9.677503,-1.420240,-0.605312,-0.000443,-0.002762,0.007737,43.885616,-14.269242,-4.675436,4635729210453786600.000000,-0.421438,0.644730,-0.387633,-0.506413,0
