Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.833133,-3.380408,0.681218,1.733885,-0.206587,0.14457,42.68757,-8.569146,-15.816115,4.63583E+18,-0.227016,0.710522,-0.190334,-0.638275,-8.61096,8.237889,-3.248197,1.573745,-0.426923,2.249855,26.179894,37.15821,-1.001366,4.63582E+18,0.048818,0.605582,0.500697,-0.616595,-10.412516,0.303093,-1.463892,0.83789,0.408878,-1.241236,42.807327,-7.358921,14.3435,4.63583E+18,-0.587363,0.469423,-0.577458,-0.318102,0
-10.492138,-2.470331,0.956124,1.784812,-0.397664,0.111664,42.384585,-8.864368,-15.757364,4.63583E+18,-0.232385,0.707499,-0.194978,-0.638299,-4.111756,28.719846,-5.442861,0.07732,-0.350143,2.978881,26.889269,36.653641,-1.402035,4.63582E+18,0.056891,0.610811,0.49298,-0.616964,-10.486359,0.676638,-1.842222,0.67653,0.36045,-1.342453,42.815299,-6.654928,14.356205,4.63583E+18,-0.589442,0.471373,-0.576746,-0.312618,0
-11.095422,-1.70536,1.621985,1.820049,-0.589836,-0.001856,42.381343,-9.245051,-15.849748,4.63583E+18,-0.238299,0.703977,-0.199187,-0.638713,1.031286,30.927893,-4.405377,-1.406807,0.388122,3.389488,27.829695,35.982937,-0.938161,4.63582E+18,0.068266,0.618313,0.488111,-0.612189,-10.267841,0.217113,-1.958534,0.541516,0.328636,-1.425006,42.900446,-6.055984,14.343193,4.63583E+18,-0.591432,0.473764,-0.57562,-0.307275,0
-11.155667,-0.902801,2.225671,1.846575,-0.696357,-0.147742,42.445141,-9.565204,-16.027951,4.63583E+18,-0.245428,0.700002,-0.203666,-0.63897,-6.732454,15.835407,-5.245558,-3.081863,0.488721,3.088522,28.877247,35.261943,-0.131355,4.63582E+18,0.082962,0.624811,0.48818,-0.603662,-9.734999,-0.198833,-1.325242,0.420861,0.335688,-1.520054,42.982476,-5.685448,14.619082,4.63583E+18,-0.59325,0.476694,-0.574127,-0.301986,0
-10.551371,-0.09428,2.417066,1.857498,-0.60473,-0.258104,42.350255,-9.617171,-16.159957,4.63583E+18,-0.252303,0.696451,-0.207401,-0.638971,-18.313714,-10.453613,-10.400345,-2.868978,0.380336,2.116068,29.717658,34.640896,0.703687,4.63582E+18,0.094852,0.628964,0.490071,-0.596019,-9.330701,-0.281192,-0.497946,0.29868,0.361657,-1.608075,42.901165,-5.247153,14.990164,4.63583E+18,-0.594848,0.480148,-0.572344,-0.296708,0
-10.035116,0.136925,2.28568,1.873696,-0.493407,-0.285218,42.286446,-9.728796,-16.133531,4.63583E+18,-0.259182,0.693151,-0.211206,-0.63856,-33.31909,-22.616052,-6.426122,-1.021221,-0.001945,1.527875,30.231492,34.201087,1.225673,4.63582E+18,0.101206,0.631611,0.488694,-0.593299,-9.447121,-0.429124,-0.287644,0.220801,0.394042,-1.679263,42.827712,-4.543214,15.076468,4.63583E+18,-0.596271,0.483984,-0.570376,-0.291362,0
-10.182473,-0.296484,1.898075,1.828859,-0.553638,-0.226637,42.293744,-10.024032,-16.023667,4.63583E+18,-0.265819,0.689633,-0.214995,-0.638375,-24.116248,2.455364,0.222727,0.782423,-0.530163,2.815045,30.884083,33.564511,1.280316,4.63582E+18,0.107058,0.636268,0.479197,-0.595039,-10.052266,-1.197974,-0.807662,0.226648,0.422586,-1.74874,42.835562,-3.867557,15.031129,4.63583E+18,-0.597691,0.48798,-0.568316,-0.285759,0
-10.750899,-0.846177,1.076468,1.653136,-0.710394,-0.096894,42.050509,-10.15656,-16.147354,4.63583E+18,-0.27152,0.685802,-0.218281,-0.638988,-6.751234,16.881573,-1.23079,0.339794,0.176906,3.254289,31.857218,32.612774,1.047613,4.63582E+18,0.113741,0.643252,0.469869,-0.593728,-10.999607,-1.386765,-1.273712,0.292041,0.441421,-1.806075,42.852349,-3.212634,15.144806,4.63583E+18,-0.599233,0.491946,-0.566232,-0.279805,0
-11.135135,-1.205472,0.228648,1.456054,-0.795699,0.078201,41.686569,-10.112775,-16.428103,4.63583E+18,-0.276253,0.681768,-0.221436,-0.640189,-14.966221,9.496126,-3.402244,-0.073525,-0.018912,2.8478,32.575982,31.832978,0.891937,4.63582E+18,0.120889,0.648657,0.462484,-0.592232,-11.864453,-0.163381,-1.337984,0.347913,0.466711,-1.863365,42.811135,-2.488678,15.347937,4.63583E+18,-0.600859,0.495908,-0.564124,-0.273509,0
-11.18942,-1.208959,-0.126701,1.263244,-0.742832,0.277025,41.656144,-10.324084,-16.650471,4.63583E+18,-0.279844,0.677883,-0.224694,-0.641619,-15.546651,-0.20216,-3.145085,0.898861,-0.320843,2.771305,33.075415,31.245864,0.788243,4.63582E+18,0.125783,0.653566,0.452688,-0.593383,-12.150045,0.76574,-1.755405,0.293798,0.472919,-1.914744,42.880342,-1.731648,15.616478,4.63583E+18,-0.602379,0.500103,-0.561827,-0.267183,0
