Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-8.70437,2.66525,1.238756,-0.393225,0.134914,0.185703,45.31526,-6.011063,6.588355,4.63583E+18,0.809285,0.131266,0.570509,-0.048454,-9.99973,-2.059033,-1.023994,0.356476,-1.210865,-1.051579,41.460359,-20.251225,11.050861,4.63582E+18,0.495805,-0.501631,0.576912,0.411967,-9.485835,-0.024415,-1.60425,-0.041624,-0.133399,-0.07824,43.059607,16.932049,6.360057,4.63583E+18,0.439045,0.57773,0.497475,-0.475379,0
-8.540251,2.864617,1.560203,-0.44841,0.159501,0.161969,45.232066,-5.971684,6.683755,4.63583E+18,0.80911,0.130149,0.571152,-0.046764,-10.072974,-1.74602,-0.300881,0.563082,-1.229985,-1.040653,41.808414,-19.830498,10.754798,4.63582E+18,0.501612,-0.500811,0.573233,0.411069,-9.54247,0.046473,-1.451632,-0.020767,-0.118413,-0.070319,42.999871,17.0802,6.308503,4.63583E+18,0.439149,0.577267,0.497517,-0.475801,0
-8.458852,3.064429,1.83236,-0.504538,0.215345,0.126571,45.285814,-6.039012,6.701864,4.63583E+18,0.808823,0.128771,0.572011,-0.045029,-10.190012,-1.318218,0.060384,0.695616,-1.241677,-1.018964,42.21124,-19.547875,10.27873,4.63582E+18,0.507662,-0.499618,0.569772,0.409904,-9.627922,0.21942,-1.195277,-0.003915,-0.100048,-0.064474,42.800832,17.076113,6.165733,4.63583E+18,0.439186,0.576884,0.497545,-0.476203,0
-8.487288,3.200092,1.909764,-0.549641,0.256892,0.07701,45.430908,-6.194048,6.632277,4.63583E+18,0.808446,0.12713,0.573041,-0.043329,-10.376558,-0.701926,0.181519,0.782801,-1.262435,-0.992507,42.583402,-19.15262,9.833329,4.63582E+18,0.513872,-0.498116,0.566441,0.408609,-9.642489,0.265844,-1.042034,0.005519,-0.090614,-0.055751,42.809678,16.99643,6.079287,4.63583E+18,0.439198,0.576556,0.49755,-0.476584,0
-8.615661,3.20287,1.886735,-0.594111,0.265572,0.020316,45.390775,-6.295372,6.546816,4.63583E+18,0.808056,0.125206,0.574133,-0.041709,-10.468645,-0.087841,0.301072,0.817679,-1.285934,-0.974128,42.808842,-18.613637,9.473343,4.63582E+18,0.520152,-0.49643,0.563125,0.407296,-9.567891,0.026448,-1.1614,0.026585,-0.085897,-0.042874,43.007021,17.001183,6.021302,4.63583E+18,0.439175,0.576302,0.497491,-0.476974,0
-8.732314,3.029336,1.909764,-0.628532,0.245962,-0.031271,45.245679,-6.301286,6.610492,4.63583E+18,0.807716,0.123039,0.575188,-0.040189,-10.432952,0.593889,0.455383,0.811364,-1.310581,-0.962239,42.874254,-18.119648,9.137524,4.63582E+18,0.526429,-0.49466,0.559737,0.406052,-9.541103,-0.236689,-1.429284,0.064148,-0.086639,-0.027861,43.116547,17.086635,5.92432,4.63583E+18,0.439093,0.576148,0.497319,-0.477414,0
-8.732828,2.811895,1.996082,-0.644917,0.227485,-0.07364,45.156583,-6.29902,6.936758,4.63583E+18,0.807415,0.120712,0.576199,-0.038781,-10.4295,0.970366,0.60186,0.778475,-1.339581,-0.960427,43.070057,-17.816338,8.751295,4.63582E+18,0.532675,-0.492883,0.556202,0.404924,-9.616375,-0.098362,-1.588993,0.095153,-0.090911,-0.012967,43.077895,17.04324,5.935505,4.63583E+18,0.438975,0.576073,0.497042,-0.477901,0
-8.648767,2.612027,2.143453,-0.657735,0.236489,-0.097706,45.212563,-6.368606,7.086576,4.63583E+18,0.807088,0.118286,0.577249,-0.037417,-10.472348,0.898046,0.840272,0.75135,-1.378439,-0.962622,43.476353,-17.529342,8.473542,4.63582E+18,0.53893,-0.491077,0.552497,0.403911,-9.623174,0.265135,-1.597819,0.104619,-0.09462,-0.004154,42.998214,16.884553,5.930097,4.63583E+18,0.43886,0.576027,0.496719,-0.478399,0
-8.521308,2.476375,2.31206,-0.656637,0.27492,-0.108431,45.288062,-6.384472,7.025199,4.63583E+18,0.806659,0.115843,0.578429,-0.036071,-10.565626,1.041795,1.142434,0.706969,-1.416083,-0.954601,43.810075,-17.130652,8.305859,4.63582E+18,0.545139,-0.489261,0.548617,0.403071,-9.492632,0.421493,-1.632727,0.092338,-0.099515,0.000118,42.964293,16.764505,5.935499,4.63583E+18,0.438792,0.575957,0.4964,-0.478875,0
-8.406909,2.384121,2.443203,-0.642799,0.338713,-0.121324,45.371242,-6.314905,7.00705,4.63583E+18,0.806061,0.113426,0.57982,-0.034771,-10.550428,1.543181,1.098218,0.562095,-1.423982,-0.943699,44.046374,-16.630187,7.837872,4.63582E+18,0.551022,-0.487709,0.544467,0.40258,-9.399027,0.427259,-1.652419,0.067595,-0.104233,0.004391,43.008703,16.769227,6.033152,4.63583E+18,0.438803,0.575843,0.496111,-0.479302,0
