Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.831243,0.160316,-1.731542,-0.839306,-0.02924,-0.203373,38.026062,-10.288178,22.261443,4.63583E+18,0.65686,-0.136894,0.734399,0.102238,-9.4473,2.511981,-0.760834,-0.019839,0.04203,-0.251603,36.31182,-28.335179,-1.298908,4.63583E+18,0.366606,-0.50838,0.588028,0.511246,-9.499305,-2.085521,-0.968275,-0.371443,-0.07789,-0.013792,36.145586,24.659927,9.929046,4.63583E+18,-0.473346,-0.389081,-0.640664,0.462718,0
-9.568126,0.095466,-1.661543,-0.851956,-0.003814,-0.189438,38.026062,-10.482916,22.396006,4.63583E+18,0.656557,-0.139726,0.733848,0.104293,-9.379541,2.42009,-0.806921,-0.01319,0.036449,-0.252083,36.358856,-28.363006,-1.418523,4.63583E+18,0.367145,-0.509121,0.587412,0.51083,-9.351326,-2.199799,-0.941918,-0.315348,-0.06618,0.00496,36.122682,24.591555,9.768327,4.63583E+18,-0.474147,-0.388326,-0.641079,0.461958,0
-9.366055,-0.056435,-1.574755,-0.85663,0.039642,-0.16796,37.980209,-10.513826,22.506649,4.63583E+18,0.656101,-0.142523,0.733416,0.106393,-9.363078,2.222328,-0.827358,-0.005126,0.025313,-0.247115,36.444298,-28.505224,-1.355312,4.63583E+18,0.367719,-0.509811,0.586808,0.510424,-9.260031,-2.389271,-0.93997,-0.260703,-0.052379,0.023118,36.200338,24.664342,9.832347,4.63583E+18,-0.474855,-0.387752,-0.641386,0.461286,0
-9.217946,-0.212951,-1.567702,-0.841439,0.068077,-0.161172,37.842681,-10.48643,22.380783,4.63583E+18,0.655555,-0.145268,0.733065,0.108448,-9.372541,2.068835,-0.811179,0.002591,0.018291,-0.234911,36.586522,-28.417902,-1.340069,4.63583E+18,0.368297,-0.510447,0.586231,0.510034,-9.286911,-2.281293,-0.996136,-0.22392,-0.045374,0.043243,36.285791,24.59253,9.929033,4.63583E+18,-0.475524,-0.387317,-0.641603,0.46066,0
-9.109975,-0.210502,-1.493905,-0.809417,0.080967,-0.174323,37.806604,-10.568359,22.217198,4.63583E+18,0.654987,-0.14797,0.732746,0.110359,-9.346899,2.019712,-0.852999,0.010896,0.017918,-0.216885,36.745218,-28.117274,-1.267118,4.63583E+18,0.368854,-0.511025,0.585708,0.509653,-9.379689,-1.98978,-1.045934,-0.211279,-0.040931,0.059604,36.29261,24.51832,9.936827,4.63583E+18,-0.476192,-0.38696,-0.641778,0.460027,0
-9.005001,-0.111764,-1.288025,-0.795675,0.127391,-0.189228,37.888523,-10.645123,22.184646,4.63583E+18,0.654286,-0.1507,0.732544,0.112158,-9.367047,1.985839,-0.895109,0.022752,0.008225,-0.19766,36.705218,-27.917414,-1.178928,4.63583E+18,0.369423,-0.511512,0.58524,0.50929,-9.432426,-1.942926,-0.993671,-0.208459,-0.041573,0.06973,36.22521,24.579865,10.026691,4.63583E+18,-0.476875,-0.386632,-0.641929,0.459383,0
-8.871256,-0.174698,-1.116029,-0.81229,0.220509,-0.192267,37.919453,-10.705893,22.282306,4.63583E+18,0.653283,-0.153527,0.732577,0.113939,-9.460431,1.939757,-0.912808,0.05047,-0.008732,-0.171812,36.749472,-27.938474,-1.225928,4.63583E+18,0.370038,-0.511856,0.58486,0.508935,-9.458784,-1.974669,-0.910186,-0.210254,-0.03871,0.077376,36.140753,24.653093,9.944642,4.63583E+18,-0.477566,-0.386329,-0.642076,0.458714,0
-8.897832,-0.254725,-1.1445,-0.81647,0.301927,-0.193501,37.821532,-10.730573,22.32355,4.63583E+18,0.652021,-0.156405,0.73282,0.115676,-9.560828,1.862553,-0.972312,0.099893,-0.040132,-0.145698,36.967349,-28.02117,-1.387048,4.63583E+18,0.370776,-0.511996,0.584587,0.508569,-9.449506,-1.977599,-0.970738,-0.221236,-0.046315,0.077975,36.201303,24.524176,9.858205,4.63583E+18,-0.478295,-0.385991,-0.642227,0.458028,0
-9.009321,-0.294869,-1.33138,-0.798147,0.310222,-0.200857,37.683996,-10.812493,22.285819,4.63583E+18,0.650741,-0.159258,0.73308,0.117331,-9.63956,1.796028,-0.998258,0.163465,-0.072066,-0.11841,36.94939,-27.917452,-1.210732,4.63583E+18,0.371672,-0.5119,0.584461,0.508157,-9.482221,-1.966369,-1.043975,-0.237897,-0.050929,0.071096,36.364385,24.299088,10.109674,4.63583E+18,-0.479051,-0.385589,-0.642412,0.457315,0
-9.112387,-0.37541,-1.517242,-0.769694,0.260331,-0.213035,37.602075,-10.889256,22.363962,4.63583E+18,0.64963,-0.162044,0.733202,0.118897,-9.608762,1.914705,-0.953713,0.20321,-0.092285,-0.093947,36.738218,-27.749286,-1.005613,4.63583E+18,0.372653,-0.511635,0.584442,0.507726,-9.586213,-1.898018,-1.139668,-0.257933,-0.056184,0.06362,36.389292,24.213152,10.221976,4.63583E+18,-0.479839,-0.385115,-0.642637,0.456571,0
-9.258851,-0.534079,-1.497752,-0.719457,0.227844,-0.218683,37.549973,-10.999345,22.367484,4.63583E+18,0.648648,-0.164694,0.73325,0.120314,-9.462591,2.255878,-0.883215,0.195527,-0.077924,-0.07293,36.617032,-27.587836,-1.191405,4.63583E+18,0.373536,-0.511364,0.584471,0.507318,-9.595019,-1.835997,-1.226107,-0.268404,-0.06349,0.05516,36.37904,24.274662,10.050122,4.63583E+18,-0.480644,-0.384586,-0.642879,0.455829,0
-9.433504,-0.717419,-1.442351,-0.661964,0.235773,-0.224167,37.525323,-11.120944,22.348,4.63583E+18,0.647678,-0.167208,0.733338,0.121535,-9.386283,2.457318,-0.876184,0.155613,-0.059393,-0.067534,36.730208,-27.675064,-1.399233,4.63583E+18,0.374275,-0.511181,0.584454,0.506977,-9.561332,-1.819882,-1.221719,-0.276051,-0.069002,0.046615,36.310688,24.134548,10.124317,4.63583E+18,-0.48146,-0.384007,-0.643138,0.455092,0
-9.667071,-0.933384,-1.543981,-0.609445,0.224624,-0.225831,37.418756,-11.120944,22.253869,4.63583E+18,0.646773,-0.169578,0.733415,0.122597,-9.450948,2.386276,-0.803271,0.116304,-0.046441,-0.068948,36.957854,-27.89996,-1.364812,4.63583E+18,0.374903,-0.511088,0.584372,0.506701,-9.547169,-1.852585,-1.209513,-0.279597,-0.074342,0.042983,36.394638,23.975872,10.480196,4.63583E+18,-0.482291,-0.383396,-0.643399,0.454357,0
