Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.711193,-0.116581,1.468246,0.040625,-0.057974,0.033371,43.186029,-15.455487,7.205318,4635731357937434600.000000,0.708166,-0.255292,0.581002,0.309458,-9.602669,-0.535607,-1.277220,-0.020034,-0.000669,-0.022835,43.697836,-15.897189,-1.928714,4635727169807450100.000000,0.347929,-0.682423,0.327700,0.553044,-9.672754,0.562806,-0.596234,-0.011293,0.011188,0.071455,42.785652,12.793991,10.188660,4635728673582874600.000000,0.619350,0.403790,0.595887,-0.313492,0
-9.726351,-0.199088,1.504870,0.050569,-0.057128,0.035543,43.100571,-15.208373,6.970915,4635731357937434600.000000,0.708277,-0.254989,0.580982,0.309489,-9.628600,-0.515752,-1.271090,-0.032584,0.002672,-0.020694,43.667402,-15.843645,-1.831067,4635727169807450100.000000,0.347855,-0.682491,0.327586,0.553074,-9.610435,0.445250,-0.603306,0.041266,0.013886,0.084103,42.713703,12.718827,10.003640,4635728673582874600.000000,0.619333,0.404101,0.595754,-0.313380,0
-9.710788,-0.284527,1.513718,0.070416,-0.055802,0.038747,43.135464,-15.343768,6.906439,4635731357937434600.000000,0.708402,-0.254621,0.580996,0.309480,-9.588894,-0.523398,-1.387125,-0.035116,0.007880,-0.013749,43.815496,-15.758194,-1.989892,4635727263806569500.000000,0.347751,-0.682565,0.327493,0.553103,-9.505072,0.518502,-0.697750,0.098326,0.012199,0.095009,42.727198,12.635302,9.885436,4635728673582874600.000000,0.619237,0.404583,0.595524,-0.313385,0
-9.640089,-0.342212,1.495205,0.100947,-0.054734,0.036282,43.217966,-15.590876,6.918647,4635731357937434600.000000,0.708559,-0.254171,0.581050,0.309389,-9.678993,-0.599726,-1.414538,-0.025898,0.001064,-0.008142,43.975712,-15.597935,-2.270704,4635727277181632500.000000,0.347669,-0.682602,0.327428,0.553148,-9.532696,0.754290,-0.706102,0.107152,0.003036,0.099731,42.812650,12.598685,10.145638,4635728673582874600.000000,0.619155,0.405087,0.595250,-0.313415,0
-9.628691,-0.344758,1.452275,0.130011,-0.058525,0.032819,43.238621,-15.649891,6.921597,4635731357937434600.000000,0.708761,-0.253638,0.581127,0.309221,-9.607184,-0.546249,-1.373312,-0.013346,0.007481,0.004679,43.856552,-15.651455,-2.307199,4635727277181632500.000000,0.347584,-0.682617,0.327437,0.553176,-9.462664,0.826882,-0.688115,0.088995,0.004159,0.096133,42.882683,12.757368,10.186771,4635728673582874600.000000,0.619096,0.405537,0.595009,-0.313407,0
-9.622386,-0.351062,1.468238,0.157778,-0.063865,0.029615,43.183094,-15.714675,6.921597,4635731357937434600.000000,0.709008,-0.253025,0.581220,0.308981,-9.595019,-0.537126,-1.388603,-0.012685,0.011350,0.006409,43.612362,-15.662099,-2.050716,4635727183182513200.000000,0.347492,-0.682639,0.327459,0.553195,-9.524991,0.955391,-0.602657,0.069485,0.013605,0.096808,42.858909,12.865959,10.008784,4635728673582874600.000000,0.619046,0.405951,0.594817,-0.313334,0
-9.637944,-0.335504,1.560392,0.181501,-0.071636,0.030460,43.100591,-15.735343,6.921597,4635731357937434600.000000,0.709212,-0.252490,0.581251,0.308892,-9.701874,-0.579868,-1.370273,-0.007208,0.004270,0.010149,43.655229,-15.523187,-2.099706,4635727169807450100.000000,0.347416,-0.682630,0.327494,0.553232,-9.827588,1.002954,-0.327694,0.045313,0.006915,0.101249,42.775390,12.718837,9.952238,4635728690527198200.000000,0.619060,0.406304,0.594632,-0.313201,0
-9.616082,-0.301833,1.531429,0.200693,-0.080181,0.033406,43.079926,-15.670554,6.847553,4635731520757567500.000000,0.709538,-0.251718,0.581355,0.308576,-9.738461,-0.532535,-1.249705,-0.010148,0.013488,0.016291,43.591093,-15.642295,-2.197353,4635727169807450100.000000,0.347305,-0.682639,0.327553,0.553256,-9.951610,0.783225,-0.133631,0.038677,0.011636,0.106084,42.740670,12.646870,10.063378,4635728780957057000.000000,0.619079,0.406657,0.594460,-0.313031,0
-9.597972,-0.283723,1.402665,0.217231,-0.084677,0.038230,43.200232,-15.585110,6.749903,4635731572685799400.000000,0.709885,-0.250881,0.581472,0.308240,-9.677397,-0.514233,-1.158152,-0.029380,0.029913,0.018025,43.452208,-15.961283,-2.209540,4635727169807450100.000000,0.347113,-0.682711,0.327596,0.553263,-9.896354,0.611637,-0.214568,0.053966,0.022263,0.109230,42.896159,12.648795,10.202197,4635728780957057000.000000,0.619050,0.407072,0.594289,-0.312873,0
-9.641290,-0.253008,1.293197,0.234062,-0.091120,0.042760,43.238621,-15.508915,6.791058,4635731572685799400.000000,0.710259,-0.249974,0.581596,0.307882,-9.582791,-0.534079,-1.168864,-0.036719,0.032979,0.027507,43.647622,-15.854329,-2.209540,4635727169807450100.000000,0.346873,-0.682787,0.327654,0.553284,-9.868090,0.695164,-0.319317,0.072404,0.021531,0.118112,42.946302,12.634053,10.119937,4635728780957057000.000000,0.619003,0.407555,0.594078,-0.312739,0
