Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.963569,-1.424008,0.411759,-0.09593,-0.181739,0.177924,41.761528,2.693181,16.334074,4.63583E+18,0.752327,-0.070129,0.649426,-0.085625,-9.661825,1.561324,1.225956,0.069983,-0.149842,-0.10229,39.875263,-22.05467,6.244422,4.63583E+18,0.645646,-0.271224,0.626839,0.341543,-9.789898,-0.703814,-0.756859,0.070809,0.041696,-0.039521,39.738654,20.850245,3.405865,4.63583E+18,-0.581895,-0.404263,-0.605558,0.362309,0
-9.973449,-1.467213,0.450704,-0.087266,-0.185366,0.185196,41.761528,2.486246,16.364894,4.63583E+18,0.752861,-0.069682,0.648951,-0.084892,-9.582811,1.424702,1.17301,0.060992,-0.14186,-0.105543,40.003662,-21.969212,6.339756,4.63583E+18,0.646237,-0.271054,0.626465,0.341246,-9.827182,-0.684283,-0.780828,0.075489,0.03389,-0.043017,39.744201,20.850245,3.437825,4.63583E+18,-0.581565,-0.404403,-0.605697,0.362452,0
-9.911067,-1.503831,0.535175,-0.080485,-0.176212,0.188485,41.823908,2.417066,16.394543,4.63583E+18,0.753372,-0.069203,0.648503,-0.08417,-9.575807,1.289848,1.043899,0.074175,-0.139974,-0.106109,40.003662,-21.900082,6.373864,4.63583E+18,0.646838,-0.270852,0.626115,0.34091,-9.79855,-0.546452,-0.814124,0.069527,0.02146,-0.05265,39.585505,20.850245,3.503525,4.63583E+18,-0.581262,-0.404485,-0.60583,0.362624,0
-9.879086,-1.549363,0.588274,-0.079823,-0.166022,0.188282,41.900446,2.417066,16.109382,4.63583E+18,0.753856,-0.068718,0.648086,-0.083453,-9.536855,1.199737,0.892219,0.088499,-0.132388,-0.111951,40.050335,-21.883746,6.207106,4.63583E+18,0.647444,-0.270638,0.625798,0.340513,-9.778354,-0.379102,-0.769291,0.048612,0.008235,-0.058729,39.474746,20.874211,3.411653,4.63583E+18,-0.581019,-0.404481,-0.605973,0.36278,0
-9.831239,-1.580368,0.607073,-0.08167,-0.150173,0.191113,41.920223,2.238862,15.941535,4.63583E+18,0.754296,-0.068225,0.647719,-0.082727,-9.509027,1.092207,0.800481,0.083928,-0.116727,-0.110271,40.278144,-21.798297,6.109449,4.63583E+18,0.648,-0.270453,0.625519,0.340114,-9.757709,-0.341126,-0.724684,0.020783,0.003554,-0.062632,39.466534,20.923489,3.222754,4.63583E+18,-0.559781,-0.437428,-0.582762,0.394577,0
-9.725654,-1.586962,0.592551,-0.078349,-0.127337,0.195385,41.929133,2.05709,16.069921,4.63583E+18,0.754676,-0.067704,0.647423,-0.082003,-9.563061,1.024875,0.830103,0.088153,-0.107523,-0.106407,40.39018,-21.729177,6.030457,4.63583E+18,0.648532,-0.27026,0.625274,0.339703,-9.769916,-0.486934,-0.679621,0.006409,0.002875,-0.065876,39.470527,20.923489,3.254702,4.63583E+18,-0.559531,-0.437419,-0.582889,0.394753,0
-9.603591,-1.60478,0.577047,-0.067552,-0.126157,0.201216,41.870068,1.95186,16.26852,4.63583E+18,0.755057,-0.067132,0.647127,-0.08129,-9.580479,1.078916,0.851093,0.094453,-0.099842,-0.104474,40.321053,-21.745503,6.030457,4.63582E+18,0.649047,-0.270056,0.625061,0.339273,-9.770144,-0.698672,-0.695365,0.014095,0,-0.067253,39.506692,20.899531,3.352357,4.63583E+18,-0.559273,-0.437419,-0.583001,0.394953,0
-9.517148,-1.655924,0.609386,-0.059411,-0.112586,0.205287,41.731156,1.92877,16.250023,4.63583E+18,0.755405,-0.066519,0.646872,-0.08059,-9.568272,1.103331,0.928309,0.09431,-0.092113,-0.10361,40.304727,-21.798305,6.049115,4.63582E+18,0.649541,-0.26986,0.62487,0.338837,-9.753716,-0.818127,-0.724692,0.042134,0.001048,-0.073662,39.560202,20.874196,3.354201,4.63583E+18,-0.558951,-0.43747,-0.583081,0.395235,0
-9.417181,-1.690232,0.649304,-0.048326,-0.099799,0.209271,41.741736,1.866409,15.947468,4.63583E+18,0.755722,-0.065856,0.646654,-0.079911,-9.560728,1.095101,0.87427,0.103046,-0.086616,-0.101978,40.2356,-21.698866,6.14677,4.63582E+18,0.650027,-0.269645,0.624707,0.338376,-9.753716,-0.741585,-0.675631,0.075676,0.004602,-0.077625,39.524042,20.975385,3.25469,4.63583E+18,-0.558552,-0.437597,-0.58312,0.395602,0
-9.342951,-1.652287,0.668108,-0.037847,-0.09876,0.214323,41.877336,1.843318,15.702676,4.63583E+18,0.75604,-0.065146,0.646436,-0.079245,-9.558957,0.98824,0.868496,0.094706,-0.076344,-0.095473,40.251907,-21.570482,6.242082,4.63582E+18,0.650468,-0.269449,0.624567,0.337943,-9.7138,-0.642768,-0.679157,0.100612,0.004334,-0.079002,39.446577,21.030296,3.384278,4.63583E+18,-0.558106,-0.437776,-0.58312,0.396031,0
-9.344271,-1.653607,0.698129,-0.031352,-0.082971,0.215766,41.982575,1.780967,15.792407,4.63583E+18,0.756317,-0.064407,0.646265,-0.078597,-9.509567,1.060937,0.930093,0.088248,-0.069022,-0.097201,40.335037,-21.584467,6.294912,4.63582E+18,0.650884,-0.269285,0.624436,0.337513,-9.667552,-0.69112,-0.800038,0.142613,0.003799,-0.089949,39.429438,20.847678,3.483812,4.63583E+18,-0.557643,-0.437913,-0.583153,0.396483,0
-9.341964,-1.624579,0.654588,-0.019777,-0.076907,0.215766,42.068023,1.757866,16.050068,4.63583E+18,0.75658,-0.063629,0.646109,-0.077981,-9.52122,1.162034,0.960944,0.083665,-0.066274,-0.097201,40.394299,-21.627413,6.169845,4.63582E+18,0.651288,-0.269138,0.624305,0.337092,-9.753475,-0.756859,-0.936461,0.220274,0.023701,-0.108148,39.530599,20.743407,3.38616,4.63583E+18,-0.556959,-0.43822,-0.583137,0.397129,0
