Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-10.334361,0.171109,0.711581,0.463712,-0.450382,-0.149231,41.08165,-14.624469,-16.676098,4.63583E+18,0.335015,-0.62339,0.297803,0.640674,-10.049625,-0.949245,-0.858883,0.261398,-0.441187,0.284855,41.602829,10.290841,-16.469697,4.63583E+18,-0.082296,-0.712389,-0.157147,0.678995,-9.448048,-0.269953,8.413516,0.899149,0.269027,0.053393,42.106337,-15.314052,7.125509,4.63583E+18,-0.690236,0.287527,-0.577629,-0.327484,0
-10.576744,0.495608,1.05855,0.384526,-0.552757,-0.193635,40.978463,-14.603785,-16.602068,4.63583E+18,0.33724,-0.621617,0.297588,0.641329,-9.981771,-0.924354,-0.918964,0.295524,-0.446271,0.279813,41.547183,10.225919,-16.590813,4.63583E+18,-0.082517,-0.711403,-0.15534,0.680416,-10.781903,-1.133075,4.36499,1.358718,0.355383,0.1518,42.072645,-15.131553,7.399358,4.63583E+18,-0.690818,0.283747,-0.580642,-0.324211,0
-10.613143,0.653683,1.450726,0.338466,-0.596042,-0.252258,40.858177,-14.479936,-16.652288,4.63583E+18,0.339554,-0.61986,0.297034,0.642065,-9.887044,-0.767162,-0.705173,0.333339,-0.455669,0.27554,41.344095,10.019897,-16.753394,4.63583E+18,-0.082619,-0.710396,-0.153436,0.681886,-9.612222,-2.881879,1.281215,1.63342,0.504507,0.140505,41.629239,-14.697729,7.859573,4.63583E+18,-0.69135,0.279391,-0.584417,-0.320051,0
-10.334002,0.568641,1.615126,0.345738,-0.549174,-0.290397,40.837512,-14.294869,-16.877496,4.63583E+18,0.341927,-0.61826,0.296465,0.642611,-9.863582,-0.794425,-0.412222,0.348299,-0.455801,0.269645,41.109242,9.766498,-17.01995,4.63583E+18,-0.082659,-0.709385,-0.151505,0.683364,-9.923609,-2.455364,0.510426,1.631987,0.58667,0.110396,41.523321,-14.515269,8.257137,4.63583E+18,-0.691684,0.275208,-0.588362,-0.315696,0
-9.927377,0.431789,1.520807,0.317585,-0.474895,-0.304646,40.731381,-14.356889,-17.134664,4.63583E+18,0.344172,-0.61691,0.295886,0.642976,-9.798677,-0.669544,-0.323263,0.352786,-0.455842,0.264049,41.062769,9.639981,-17.229445,4.63583E+18,-0.082669,-0.708367,-0.149578,0.684842,-9.893947,0.174765,0.553607,1.44942,0.614412,0.104939,41.977226,-14.928593,8.546789,4.63583E+18,-0.691715,0.271588,-0.592113,-0.311727,0
-9.632828,0.233918,1.416454,0.292172,-0.44912,-0.308178,40.581152,-14.571896,-17.341394,4.63583E+18,0.346328,-0.615666,0.295265,0.643297,-9.805945,-0.668936,-0.345207,0.347878,-0.462589,0.255463,41.000802,9.498902,-17.421822,4.63583E+18,-0.082672,-0.707318,-0.147687,0.686335,-10.123525,1.602917,0.8195,1.174373,0.638893,0.078182,42.780544,-15.740155,8.995791,4.63583E+18,-0.691383,0.268847,-0.595525,-0.308319,0
-9.501114,0.007508,1.367631,0.319717,-0.488051,-0.302685,40.537033,-14.577646,-17.580809,4.63583E+18,0.348584,-0.614267,0.294674,0.643687,-9.814753,-0.720697,-0.409638,0.35338,-0.467078,0.249906,40.92463,9.395844,-17.542959,4.63583E+18,-0.082645,-0.706249,-0.145794,0.687842,-10.09949,0.890295,1.122702,0.935562,0.634019,0.03364,43.083512,-16.100194,9.470888,4.63583E+18,-0.690707,0.267142,-0.598439,-0.305663,0
-9.427471,-0.163385,1.330607,0.334953,-0.518416,-0.286922,40.619527,-14.333513,-17.690669,4.63583E+18,0.350873,-0.612739,0.294116,0.644154,-9.824022,-0.741714,-0.408719,0.363805,-0.47596,0.239145,40.851387,9.310395,-17.640615,4.63583E+18,-0.082561,-0.705146,-0.143899,0.689381,-10.095523,0.402918,1.528827,0.762396,0.631449,0.015188,43.115555,-15.912883,9.767527,4.63583E+18,-0.690013,0.265664,-0.601231,-0.303027,0
-9.37904,-0.322493,1.321752,0.335117,-0.506666,-0.273,40.633747,-14.14838,-17.818252,4.63583E+18,0.353108,-0.61122,0.29361,0.644607,-9.8455,-0.865164,-0.384304,0.37692,-0.47853,0.230383,40.954275,9.169322,-17.803165,4.63583E+18,-0.082413,-0.70403,-0.141991,0.690933,-9.882425,0.691475,1.024197,0.5682,0.619499,0.00211,43.03804,-15.748236,10.048297,4.63583E+18,-0.689111,0.264817,-0.603696,-0.300916,0
-9.329001,-0.450457,1.249729,0.37007,-0.500338,-0.264901,40.486463,-14.186736,-17.977743,4.63583E+18,0.3554,-0.609652,0.293224,0.645008,-9.730877,-0.78285,-0.415506,0.385127,-0.475286,0.231828,41.00173,9.00137,-18.060413,4.63583E+18,-0.082243,-0.702922,-0.140056,0.692475,-9.796296,1.090308,0.202806,0.301032,0.599814,-0.028369,42.96381,-15.813843,10.172036,4.63583E+18,-0.687994,0.264785,-0.605729,-0.299408,0
