Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.556682,0.270681,0.913437,0.121663,-0.179996,-0.073737,42.678494,7.932391,16.248055,4635732002182529000.000000,-0.685208,-0.195242,-0.669611,0.209741,-9.720728,1.245995,-1.747150,-0.009948,-0.346642,-0.177892,39.625233,-23.853266,6.286813,4635727814052544500.000000,0.318136,-0.623750,0.536742,0.470779,-9.178339,0.151386,-3.313083,-0.193265,0.343445,-0.364025,44.486218,11.502626,-1.158892,4635729103079604200.000000,-0.445232,-0.643461,-0.440307,0.440291,0
-9.737337,0.430759,0.694757,0.062986,-0.191230,-0.094029,42.760098,7.900626,16.122480,4635732002182529000.000000,-0.685562,-0.195070,-0.669062,0.210496,-9.618595,1.289698,-1.777994,-0.033259,-0.339035,-0.188443,39.554782,-23.853266,6.045272,4635727814052544500.000000,0.319149,-0.623504,0.535787,0.471507,-9.203566,-1.315963,-3.894981,0.000853,0.313965,-0.382611,44.443899,11.841181,-0.902535,4635729103079604200.000000,-0.443926,-0.643367,-0.441864,0.440187,0
-9.852775,0.588757,0.576883,0.015561,-0.212990,-0.116521,42.837178,7.982608,15.922624,4635732002182529000.000000,-0.685994,-0.194679,-0.668511,0.211201,-9.504452,1.132977,-1.742029,-0.049712,-0.332252,-0.203338,39.479400,-23.792888,5.752323,4635727814052544500.000000,0.320132,-0.623325,0.534769,0.472233,-9.439578,-0.524932,-3.199976,0.139927,0.275511,-0.371929,44.591202,11.841181,-0.830916,4635729103079604200.000000,-0.442335,-0.643478,-0.443064,0.440421,0
-9.859045,0.735251,0.687123,-0.022038,-0.183410,-0.149545,42.801588,8.149682,15.857417,4635732002182529000.000000,-0.686344,-0.194116,-0.668103,0.211871,-9.585780,0.897412,-1.693200,-0.052339,-0.334648,-0.214077,39.587286,-23.568705,5.861861,4635727814052544500.000000,0.321134,-0.623167,0.533713,0.472955,-9.460737,1.004244,-2.146082,0.192766,0.251941,-0.337321,44.633526,11.881865,-0.891145,4635729103079604200.000000,-0.440706,-0.643706,-0.444025,0.440753,0
-9.884859,0.890099,0.677682,-0.048495,-0.125612,-0.182532,42.724514,8.144777,15.857417,4635732002182529000.000000,-0.686525,-0.193435,-0.667910,0.212514,-9.758167,0.763954,-1.684622,-0.046176,-0.336279,-0.217527,39.743840,-23.382788,5.966615,4635727814052544500.000000,0.322163,-0.623004,0.532656,0.473662,-9.478622,1.682969,-1.329886,0.171051,0.236987,-0.331266,44.474847,12.167503,-0.706430,4635729103079604200.000000,-0.439173,-0.643873,-0.444983,0.441071,0
-9.958799,1.015306,0.538173,-0.073855,-0.106082,-0.198126,42.592678,8.059328,15.798822,4635732002182529000.000000,-0.686658,-0.192656,-0.667807,0.213116,-9.810458,0.754712,-1.734923,-0.043102,-0.336467,-0.219663,39.771721,-23.352762,5.669758,4635727637075158000.000000,0.323203,-0.622839,0.531598,0.474357,-9.612890,1.818113,-0.731700,0.143489,0.237340,-0.347217,44.348660,12.305062,-0.537126,4635729117369532400.000000,-0.437685,-0.643959,-0.446036,0.441363,0
-9.977286,0.999618,0.429708,-0.088106,-0.141632,-0.197882,42.534431,8.032472,15.705007,4635732002182529000.000000,-0.686901,-0.191804,-0.667613,0.213705,-9.764454,0.676381,-1.715479,-0.033043,-0.339987,-0.216518,39.852200,-23.423182,5.361763,4635727687788340200.000000,0.324271,-0.622644,0.530562,0.475043,-9.743922,1.710706,-0.480173,0.140139,0.247948,-0.353772,44.388624,12.324558,-0.561495,4635729210453786600.000000,-0.436171,-0.644045,-0.447127,0.441632,0
-9.831171,0.834315,0.411214,-0.101045,-0.190307,-0.183358,42.697979,8.308657,15.657567,4635732002182529000.000000,-0.687302,-0.190913,-0.667280,0.214256,-9.673228,0.679322,-1.719097,-0.031857,-0.340739,-0.209603,39.929745,-23.438215,5.310220,4635727706678362100.000000,0.325329,-0.622430,0.529544,0.475736,-9.844040,1.549552,-0.433757,0.149894,0.264754,-0.348216,44.156639,12.451551,-0.707241,4635729210453786600.000000,-0.434605,-0.644189,-0.448212,0.441865,0
-9.573453,0.543124,0.431788,-0.096228,-0.183850,-0.149488,42.833318,8.493893,15.708469,4635732002182529000.000000,-0.687711,-0.190135,-0.666933,0.214717,-9.575575,0.532714,-1.660884,-0.029404,-0.342500,-0.205648,40.073403,-23.226953,5.078839,4635727706678362100.000000,0.359857,-0.582514,0.571980,0.451685,-9.861181,1.485990,-0.485828,0.158018,0.278713,-0.349636,44.115864,12.441813,-0.560897,4635729196176744400.000000,-0.432988,-0.644368,-0.449309,0.442076,0
-9.326146,0.146559,0.422729,-0.071357,-0.118456,-0.105235,42.692816,8.411973,15.743712,4635732002182529000.000000,-0.687957,-0.189610,-0.666715,0.215069,-9.508098,0.440145,-1.547402,-0.027080,-0.345516,-0.202444,40.030902,-23.041022,4.788015,4635727706678362100.000000,0.361066,-0.582218,0.571087,0.452232,-9.757807,1.621961,-0.555826,0.146774,0.286758,-0.360460,44.264046,12.409147,-0.158696,4635729103079604200.000000,-0.431367,-0.644518,-0.450472,0.442261,0
-9.278317,-0.196999,0.364842,-0.048040,-0.070230,-0.059307,42.616043,8.362071,15.622026,4635732002182529000.000000,-0.688092,-0.189322,-0.666578,0.215316,-9.487301,0.457435,-1.455515,-0.023183,-0.346960,-0.197479,39.885105,-23.081365,4.736473,4635727706678362100.000000,0.362277,-0.581900,0.570210,0.452779,-9.711377,1.582164,-0.620884,0.118645,0.297655,-0.371215,44.239701,12.662182,-0.184664,4635729103079604200.000000,-0.429778,-0.644614,-0.451732,0.442382,0
-9.398615,-0.426862,0.408750,-0.024085,-0.072263,-0.025093,42.716459,8.470852,15.363612,4635732002182529000.000000,-0.688244,-0.189196,-0.666387,0.215532,-9.495210,0.483996,-1.360017,-0.023311,-0.340108,-0.193019,39.997972,-23.166806,4.816929,4635727706678362100.000000,0.363465,-0.581582,0.569353,0.453314,-9.761824,1.357588,-0.799879,0.098270,0.302002,-0.375346,44.082554,13.010614,-0.341041,4635729103079604200.000000,-0.428224,-0.644674,-0.453043,0.442460,0
-9.540576,-0.563606,0.464570,-0.004307,-0.095547,-0.006504,42.770903,8.403619,15.338404,4635732002182529000.000000,-0.688462,-0.189157,-0.666096,0.215769,-9.527534,0.458122,-1.372989,-0.021739,-0.334202,-0.187866,40.289584,-23.111452,4.673202,4635727706678362100.000000,0.364631,-0.581260,0.568519,0.453836,-9.817996,1.123937,-1.013981,0.099547,0.300717,-0.377699,44.093140,13.074129,-0.232030,4635729103079604200.000000,-0.426663,-0.644727,-0.454354,0.442547,0
-9.674846,-0.589796,0.367321,0.007657,-0.114592,-0.001404,42.833308,8.182528,15.444422,4635731854997184500.000000,-0.688728,-0.189150,-0.665735,0.216039,-9.594325,0.341046,-1.369380,-0.008163,-0.324462,-0.183406,40.345467,-22.955607,4.477899,4635727706678362100.000000,0.365799,-0.580924,0.567734,0.454308,-9.844031,1.038486,-1.114881,0.108309,0.305132,-0.374494,44.081789,13.104938,-0.061894,4635729103079604200.000000,-0.425074,-0.644807,-0.455647,0.442631,0
-9.775657,-0.569223,0.267195,0.020198,-0.121097,-0.005460,42.860191,7.996954,15.478988,4635731787434164200.000000,-0.688998,-0.189162,-0.665348,0.216360,-9.607226,0.327449,-1.337059,0.006099,-0.312901,-0.167694,40.144329,-22.855105,4.363040,4635727706678362100.000000,0.366944,-0.580550,0.567031,0.454741,-9.867688,0.969246,-1.238563,0.109528,0.308487,-0.372283,43.997969,13.348195,0.049473,4635729103079604200.000000,-0.423478,-0.644896,-0.456935,0.442702,0
-9.810910,-0.569906,0.202322,0.030423,-0.115181,-0.010405,42.910384,8.172883,15.403700,4635731787434164200.000000,-0.689240,-0.189194,-0.664971,0.216720,-9.597171,0.168709,-1.280329,0.032302,-0.308191,-0.150417,40.101318,-22.910441,4.265391,4635727706678362100.000000,0.368109,-0.580103,0.566426,0.455125,-9.787209,1.025311,-1.348541,0.098204,0.299441,-0.375279,43.934444,13.644525,0.318901,4635729103079604200.000000,-0.421925,-0.644939,-0.458237,0.442778,0
-9.789657,-0.632302,0.091098,0.041896,-0.086538,-0.012482,42.933437,8.385363,15.427675,4635731787434164200.000000,-0.689391,-0.189280,-0.664668,0.217094,-9.695585,0.083998,-1.209230,0.063784,-0.301467,-0.133325,40.372848,-22.995900,4.258233,4635727706678362100.000000,0.368850,-0.580138,0.565357,0.455807,-9.589406,1.180878,-1.291612,0.088241,0.294242,-0.371640,43.903664,13.770818,0.488296,4635729103079604200.000000,-0.420413,-0.644958,-0.459538,0.442839,0
-9.769766,-0.675927,-0.001353,0.060567,-0.060865,-0.016477,42.883253,8.385133,15.588394,4635731787434164200.000000,-0.689452,-0.189431,-0.664425,0.217511,-9.737204,0.043077,-1.216437,0.086147,-0.293111,-0.108317,40.632033,-22.870176,4.260384,4635727706678362100.000000,0.370029,-0.579535,0.564977,0.456090,-9.476183,1.140278,-1.201182,0.070999,0.290395,-0.378974,43.679841,13.716132,0.476965,4635729074602831900.000000,-0.418939,-0.644924,-0.460880,0.442891,0
-9.749196,-0.691978,0.059219,0.084856,-0.060330,-0.029135,42.743105,8.470795,15.516077,4635731787434164200.000000,-0.689481,-0.189617,-0.664171,0.218032,-9.711341,-0.033766,-1.220740,0.102042,-0.288085,-0.082494,40.604679,-22.628888,4.089442,4635727706678362100.000000,0.371184,-0.578855,0.564696,0.456362,-9.508692,0.997027,-1.237804,0.070834,0.289185,-0.383967,43.531601,13.864239,0.414176,4635728888331239400.000000,-0.417456,-0.644877,-0.462230,0.442954,0
-9.724783,-0.720909,0.223095,0.114148,-0.076191,-0.051010,42.689289,8.629478,15.320775,4635731934542204900.000000,-0.689511,-0.189813,-0.663862,0.218708,-9.674723,-0.089046,-1.220740,0.117875,-0.288211,-0.055102,40.448857,-22.593750,4.052858,4635727706678362100.000000,0.372327,-0.578085,0.564511,0.456638,-9.598997,0.899233,-1.271189,0.098812,0.286482,-0.379977,43.542931,14.013221,0.525523,4635728888331239400.000000,-0.415908,-0.644879,-0.463510,0.443069,0
