Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-8.659701,1.904005,2.956743,0.031707,0.167533,0.038423,33.729756,-28.568576,-15.072191,4.63583E+18,-0.478276,0.404093,-0.428336,-0.651528,-0.344642,2.212019,-2.194136,0.710863,-2.463577,0.574579,41.026404,20.466562,10.514899,4.63583E+18,-0.223558,0.905042,0.07877,-0.353153,-9.197936,-0.827955,-3.358468,-0.033802,-0.076909,0.065345,34.681232,-3.091369,31.280382,4.63583E+18,0.576604,-0.076979,0.812806,0.03081,0
-8.614475,1.948527,2.969223,0.045517,0.2542,0.038169,33.680225,-28.677729,-15.000712,4.63583E+18,-0.477779,0.40461,-0.429052,-0.651101,-1.449482,3.003572,-0.791652,0.425866,-2.302182,0.745609,41.28016,20.520645,9.539633,4.63583E+18,-0.22318,0.901506,0.077503,-0.362588,-9.204382,-0.5773,-3.253616,-0.035124,-0.075964,0.047059,34.830615,-3.10068,31.183439,4.63583E+18,0.57689,-0.076834,0.812605,0.031094,0
-8.57067,2.013507,2.632832,0.015581,0.31344,0.025163,33.707876,-28.785057,-14.805418,4.63583E+18,-0.47716,0.40537,-0.429781,-0.650601,-0.868601,1.383187,-0.279001,0.344513,-2.062849,0.935132,41.536508,20.337664,8.731938,4.63583E+18,-0.222266,0.898382,0.075418,-0.37124,-9.123896,-0.400569,-3.212675,-0.047322,-0.081875,0.028827,34.839928,-3.250154,31.085725,4.63583E+18,0.577195,-0.076779,0.812383,0.031378,0
-8.480549,2.070953,2.359625,0.007167,0.349072,-0.002172,33.817041,-28.733694,-14.645642,4.63583E+18,-0.476536,0.406291,-0.430512,-0.65,-3.661358,-0.042347,-0.662739,0.58534,-1.95357,0.892471,41.869909,19.893851,7.905088,4.63583E+18,-0.222334,0.895112,0.073014,-0.379487,-8.923482,-0.563092,-3.176056,-0.040019,-0.083253,0.021736,34.839928,-3.328359,31.08005,4.63583E+18,0.577508,-0.07673,0.812156,0.03162,0
-8.471226,2.079565,2.519067,0.035753,0.411966,-0.033555,33.89672,-28.571054,-14.623401,4.63583E+18,-0.475931,0.407381,-0.431391,-0.649178,-4.776051,-0.285926,0.085373,0.695158,-1.664009,0.968896,42.156484,19.470431,7.053228,4.63583E+18,-0.222761,0.892152,0.069878,-0.38673,-8.991883,-0.665723,-3.185422,-0.031474,-0.076274,0.016333,35.138849,-3.183161,31.160527,4.63583E+18,0.5778,-0.07668,0.811945,0.031818,0
-8.572098,2.051206,2.803031,0.038456,0.473846,-0.060286,33.894201,-28.483097,-14.634537,4.63583E+18,-0.475291,0.40868,-0.432352,-0.64819,-5.570929,2.44361,0.442541,0.398816,-1.689026,1.250744,42.357603,19.067672,6.352922,4.63583E+18,-0.221608,0.889441,0.066192,-0.394212,-9.249758,-0.625425,-3.209123,-0.038017,-0.07785,0.016022,35.076852,-3.093456,31.165501,4.63583E+18,0.578095,-0.076647,0.811729,0.032038,0
-8.754448,1.994856,2.725928,0.010778,0.493396,-0.084504,34.088758,-28.536962,-14.348479,4.63583E+18,-0.474631,0.410128,-0.433235,-0.647169,-5.424938,0.776722,1.015219,0.162857,-1.851913,1.344434,42.665876,18.722574,5.684065,4.63583E+18,-0.219362,0.886631,0.062691,-0.402287,-9.299905,-0.680055,-3.302511,-0.056559,-0.088033,0.015016,34.704015,-3.249409,31.176996,4.63583E+18,0.578419,-0.07666,0.811486,0.032321,0
-8.907458,1.920878,2.35972,0.002201,0.474635,-0.110764,34.202675,-28.528702,-14.026306,4.63583E+18,-0.474059,0.411588,-0.43401,-0.646141,-4.131326,-4.457548,1.795051,0.419949,-1.909543,1.527251,43.007659,18.335239,5.022331,4.63583E+18,-0.217723,0.883451,0.058133,-0.41077,-9.141105,-0.913523,-3.331197,-0.072768,-0.090668,0.01596,34.750207,-3.259377,31.177708,4.63583E+18,0.578747,-0.076708,0.811234,0.032663,0
-8.843965,1.951696,2.08032,-0.012837,0.49114,-0.142806,34.016374,-28.528702,-14.085483,4.63583E+18,-0.473516,0.413179,-0.434721,-0.645046,-5.146747,-5.515379,2.591093,0.804802,-2.017948,1.728589,43.359085,17.730255,4.064737,4.63583E+18,-0.217103,0.879679,0.052267,-0.41988,-9.085156,-0.812808,-3.229162,-0.091808,-0.087775,0.023063,34.903918,-3.109936,31.166213,4.63583E+18,0.579057,-0.076779,0.810989,0.033085,0
-8.728293,2.125801,2.077343,-0.036975,0.55911,-0.170363,34.008932,-28.579988,-14.11868,4.63583E+18,-0.472879,0.415047,-0.435451,-0.643819,-5.919464,-5.488169,3.865882,1.193156,-2.150789,1.829723,43.520577,17.138438,3.104117,4.63583E+18,-0.217668,0.875217,0.045466,-0.429592,-9.162766,-0.805689,-3.15379,-0.108015,-0.093623,0.032551,34.913174,-2.951258,31.165501,4.63583E+18,0.57938,-0.076856,0.81073,0.033587,0
-8.751964,2.365632,2.241101,-0.036792,0.642752,-0.179201,34.497228,-28.687397,-13.774788,4.63583E+18,-0.472826,0.416667,-0.436792,-0.641901,-6.117093,-7.206789,4.133846,1.421927,-2.260724,1.966207,43.697825,16.497307,2.23153,4.63583E+18,-0.218763,0.870223,0.03785,-0.439798,-9.294193,-1.162002,-3.26445,-0.09286,-0.10506,0.056244,34.913174,-3.16037,31.085043,4.63583E+18,0.579744,-0.076815,0.810453,0.034098,0
-8.864652,2.6417,2.228307,-0.048169,0.696763,-0.162307,34.804054,-28.632173,-13.361832,4.63583E+18,-0.471909,0.418892,-0.437785,-0.64045,-5.225948,-8.349625,3.827727,1.603556,-2.312951,2.097883,44.153002,15.578294,1.165343,4.63583E+18,-0.220222,0.864814,0.029465,-0.450256,-9.336523,-1.080672,-3.363536,-0.081803,-0.115804,0.074777,35.062594,-3.242889,30.988097,4.63583E+18,0.580144,-0.076683,0.810157,0.03462,0
-9.063906,2.872309,1.861902,-0.100045,0.713785,-0.135161,34.703204,-28.488886,-13.140235,4.63583E+18,-0.470774,0.421223,-0.438705,-0.639126,-4.759252,-8.446353,3.468556,1.8666,-2.339613,2.305611,44.360293,14.656893,0.196285,4.63583E+18,-0.222184,0.858943,0.019858,-0.460931,-9.269716,-1.085743,-3.472664,-0.090229,-0.13151,0.092932,35.060378,-3.247169,30.7066,4.63583E+18,0.580591,-0.076508,0.809827,0.035219,0
-9.192548,2.885639,1.341858,-0.119073,0.683662,-0.113107,34.619448,-28.379762,-13.078074,4.63583E+18,-0.469597,0.423468,-0.439549,-0.637927,-4.940439,-7.951554,2.681516,1.988409,-2.322691,2.442614,43.953058,14.205937,-0.837249,4.63583E+18,-0.224262,0.852784,0.009507,-0.471568,-9.116035,-1.235842,-3.582529,-0.092803,-0.140494,0.113101,35.071153,-3.545937,30.608975,4.63583E+18,0.581065,-0.076269,0.809481,0.035879,0
