Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.696197,-1.162688,2.172651,0.57409,0.249611,-0.039829,44.019897,-15.770632,-3.475058,4.63583E+18,0.359784,-0.580402,0.68041,0.265954,-9.692678,-1.349557,0.380523,-0.032818,0.029613,0.022909,43.87504,-11.527976,-10.655324,4.63583E+18,-0.13194,0.713223,-0.418175,-0.546841,-9.65762,-1.618263,-0.427259,-0.005122,-0.00734,-0.001397,38.709675,20.667133,13.91049,4.63583E+18,-0.588582,-0.273677,-0.669066,0.36197,0
-9.883087,-1.14126,1.745728,0.567332,0.229443,-0.036009,43.955344,-15.646375,-3.218178,4.63583E+18,0.361444,-0.57903,0.681581,0.263686,-9.69605,-1.353742,0.343899,-0.032044,0.028545,0.020773,43.79517,-11.451356,-10.495806,4.63583E+18,-0.132885,0.712736,-0.418511,-0.54699,-9.638528,-1.616698,-0.411297,-0.017336,-0.008545,-0.005998,38.709675,20.699057,13.897968,4.63583E+18,-0.588611,-0.273592,-0.669085,0.361954,0
-9.98293,-1.098406,1.353197,0.525539,0.166789,-0.026919,43.943665,-15.809891,-3.066524,4.63583E+18,0.363163,-0.577619,0.682629,0.2617,-9.681292,-1.32514,0.317392,-0.032929,0.026002,0.019227,43.957216,-11.40973,-10.452086,4.63583E+18,-0.133833,0.712248,-0.418837,-0.547144,-9.621,-1.596981,-0.364033,-0.030154,-0.009011,-0.01101,38.74692,20.745699,13.990307,4.63583E+18,-0.588647,-0.27346,-0.669127,0.361916,0
-9.960978,-1.09568,1.278791,0.458911,0.105162,-0.01085,43.946651,-15.998725,-3.177966,4.63583E+18,0.36487,-0.576195,0.683541,0.260077,-9.622803,-1.346184,0.300546,-0.035544,0.019299,0.019227,44.057347,-11.486337,-10.522781,4.63583E+18,-0.134784,0.711748,-0.41915,-0.547322,-9.596586,-1.583828,-0.3296,-0.040178,-0.005889,-0.017007,38.832369,20.683425,14.123635,4.63583E+18,-0.588678,-0.273292,-0.669199,0.36186,0
-9.912146,-1.126332,1.420105,0.409676,0.056095,0.004081,43.882098,-15.975975,-3.222754,4.63583E+18,0.366577,-0.574747,0.684357,0.258734,-9.665335,-1.368499,0.28331,-0.033074,0.011527,0.019816,43.99548,-11.504402,-10.468871,4.63583E+18,-0.135755,0.711227,-0.419468,-0.547516,-9.572172,-1.611377,-0.361519,-0.034484,0.001259,-0.024759,38.875261,20.663048,14.191274,4.63583E+18,-0.588671,-0.273127,-0.669288,0.361831,0
-9.881763,-1.15373,1.630862,0.381737,0.023885,0.015545,43.925744,-15.890531,-3.084444,4.63583E+18,0.368292,-0.573269,0.685117,0.257563,-9.767191,-1.410589,0.364122,-0.022209,0.004751,0.021068,44.015694,-11.365924,-10.300511,4.63583E+18,-0.136766,0.710682,-0.419808,-0.547711,-9.574357,-1.669898,-0.434765,-0.001483,0.01079,-0.030565,38.831133,20.853667,14.051053,4.63583E+18,-0.58859,-0.273041,-0.669358,0.361898,0
-9.838908,-1.168924,1.767605,0.368727,0.000148,0.026226,44.001975,-15.740539,-2.901338,4.63583E+18,0.370028,-0.571748,0.685851,0.256499,-9.795809,-1.401323,0.394005,-0.011897,0.003204,0.019116,44.072093,-11.347838,-10.283691,4.63583E+18,-0.137814,0.710132,-0.420164,-0.547888,-9.626931,-1.77757,-0.444177,0.047974,0.021088,-0.037438,38.782921,20.883473,13.903625,4.63583E+18,-0.588415,-0.273073,-0.669386,0.362108,0
-9.780858,-1.16269,1.886692,0.363954,-0.015829,0.034487,43.964574,-15.827806,-2.847312,4.63583E+18,0.371785,-0.570191,0.686571,0.255498,-9.76129,-1.313767,0.379269,0.003942,0.00232,0.013075,44.060726,-11.509902,-10.448698,4.63583E+18,-0.138923,0.709582,-0.420537,-0.548035,-9.684217,-1.786997,-0.381573,0.079233,0.022569,-0.04445,38.788238,20.683455,13.897945,4.63583E+18,-0.588189,-0.273164,-0.669379,0.36242,0
-9.710614,-1.07674,2.02718,0.36075,-0.019227,0.041963,43.762288,-16.183042,-2.825889,4.63583E+18,0.373532,-0.568609,0.687296,0.254523,-9.733931,-1.245997,0.300555,0.020921,-0.001473,0.002394,44.00769,-11.633656,-10.537514,4.63583E+18,-0.140113,0.709032,-0.420913,-0.548155,-9.699568,-1.708434,-0.348697,0.072011,0.022759,-0.051324,38.832353,20.66302,14.07537,4.63583E+18,-0.58796,-0.273218,-0.66939,0.362729,0
-9.637367,-0.957651,2.109144,0.3519,-0.01116,0.048634,43.702503,-16.220146,-2.829129,4.63583E+18,0.375223,-0.567027,0.688036,0.253565,-9.764664,-1.170652,0.252989,0.03186,-0.008286,-0.00917,44.004323,-11.61009,-10.557737,4.63583E+18,-0.141373,0.70848,-0.421275,-0.548267,-9.687361,-1.65489,-0.347124,0.050374,0.024102,-0.058335,38.880581,20.784489,14.271052,4.63583E+18,-0.587741,-0.273202,-0.669446,0.362993,0
