Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.845076,-0.289706,0.552605,-0.049267,-0.068250,0.006772,43.093646,8.835133,14.781407,4635731465311617000.000000,0.724009,0.103648,0.662992,-0.159717,-9.532243,0.844085,-2.125827,0.007017,0.003664,0.013277,36.083205,-11.644089,27.464988,4635727384555814900.000000,0.608800,-0.081175,0.776791,0.139174,-9.691064,-1.480685,-0.386688,-0.013540,-0.002341,-0.025981,39.323635,23.291725,-2.538967,4635729317827969000.000000,-0.385879,-0.553085,-0.470620,0.568956,0
-9.757874,-0.373384,0.415323,-0.040327,-0.051790,0.006122,43.179086,8.789330,14.736108,4635731465311617000.000000,0.724163,0.103479,0.662885,-0.159570,-9.513045,0.906861,-2.124088,0.008241,0.004273,0.013886,35.889697,-11.487096,27.574821,4635727384555814900.000000,0.608790,-0.081095,0.776810,0.139159,-9.627327,-1.562548,-0.378062,-0.011059,0.001791,-0.027599,39.393659,23.305538,-2.144789,4635729317827969000.000000,-0.385816,-0.553018,-0.470712,0.568988,0
-9.812982,-0.420713,0.312616,-0.026154,-0.068392,0.007972,43.014379,8.914411,14.638446,4635731465311617000.000000,0.724352,0.103372,0.662714,-0.159492,-9.509567,0.905088,-2.103154,0.004882,0.003357,0.010222,36.011893,-11.536022,27.588732,4635727384555814900.000000,0.608783,-0.081034,0.776824,0.139146,-9.684048,-1.534925,-0.423682,-0.008858,0.000345,-0.027222,39.332253,23.377178,-1.775254,4635729317827969000.000000,-0.385751,-0.552951,-0.470796,0.569027,0
-9.767689,-0.436194,0.462737,-0.026340,-0.065675,0.009327,42.829494,8.897691,14.612262,4635731465311617000.000000,0.724535,0.103270,0.662551,-0.159408,-9.499102,0.913814,-2.099673,0.000610,0.005036,0.008698,36.172309,-11.474943,27.337552,4635727384555814900.000000,0.608771,-0.080990,0.776839,0.139142,-9.754090,-1.391644,-0.339835,-0.017748,0.002136,-0.030426,39.330281,23.377178,-1.976099,4635729317827969000.000000,-0.385696,-0.552869,-0.470910,0.569050,0
-9.661115,-0.412669,0.614244,-0.019956,-0.027562,0.014303,42.965601,8.812254,14.612262,4635731465311617000.000000,0.724613,0.103226,0.662496,-0.159310,-9.539222,0.915555,-2.131070,0.003663,0.004425,0.011292,36.194950,-11.536011,27.138770,4635727384555814900.000000,0.608760,-0.080930,0.776855,0.139136,-9.684786,-1.405455,-0.339465,-0.027222,0.001791,-0.033285,39.320045,23.363367,-2.219774,4635729317827969000.000000,-0.385657,-0.552764,-0.471054,0.569060,0
-9.676306,-0.384979,0.513000,-0.013964,-0.032931,0.016804,43.093625,8.789330,14.540799,4635731465311617000.000000,0.724704,0.103204,0.662420,-0.159224,-9.556653,0.863234,-2.115367,0.007019,0.005188,0.013581,36.132166,-11.621454,27.280071,4635727384555814900.000000,0.608746,-0.080854,0.776876,0.139124,-9.643848,-1.510617,-0.394581,-0.029218,-0.000345,-0.033836,39.310187,23.266092,-2.177991,4635729317827969000.000000,-0.385625,-0.552650,-0.471199,0.569072,0
-9.683747,-0.351636,0.553192,-0.002659,-0.041866,0.016309,43.107616,8.851848,14.443154,4635731465311617000.000000,0.724815,0.103209,0.662310,-0.159174,-9.558396,0.885911,-2.153737,0.009308,0.005341,0.012970,36.048458,-11.633656,27.548636,4635727384555814900.000000,0.608733,-0.080774,0.776898,0.139103,-9.647792,-1.706309,-0.417023,-0.021668,-0.001274,-0.031182,39.257039,23.146831,-2.029994,4635729317827969000.000000,-0.385583,-0.552552,-0.471320,0.569096,0
-9.662610,-0.323947,0.675259,0.008101,-0.023972,0.014459,43.229366,8.749758,14.488386,4635731465311617000.000000,0.724830,0.103424,0.662220,-0.159340,-9.485157,0.922529,-2.118859,0.014191,0.003510,0.010071,36.099030,-11.487175,27.756137,4635727384555814900.000000,0.608729,-0.080691,0.776917,0.139059,-9.664322,-1.803138,-0.417406,0.003587,0.003722,-0.025152,39.246803,23.267746,-2.113851,4635729317827969000.000000,-0.385488,-0.552517,-0.471374,0.569148,0
-9.682844,-0.272746,0.725888,0.014588,-0.006152,0.014667,43.275246,8.650303,14.594966,4635731465311617000.000000,0.724841,0.103472,0.662212,-0.159296,-9.452022,0.833610,-2.122342,0.018616,0.001374,0.007783,36.329189,-11.609211,27.543437,4635727384555814900.000000,0.608735,-0.080602,0.776933,0.138996,-9.651734,-1.703502,-0.344537,0.030877,0.007271,-0.015710,39.233004,23.523666,-2.137888,4635729317827969000.000000,-0.385346,-0.552554,-0.471348,0.569231,0
-9.728393,-0.256355,0.678871,0.017585,-0.002136,0.010266,43.159169,8.746709,14.615540,4635731465311617000.000000,0.724835,0.103524,0.662214,-0.159278,-9.448530,0.922520,-2.082238,0.018311,0.001068,0.005646,36.303080,-11.769667,27.335880,4635727384555814900.000000,0.608743,-0.080521,0.776948,0.138929,-9.686772,-1.621222,-0.257536,0.047343,0.012094,-0.008028,39.163319,23.486257,-2.178038,4635729317827969000.000000,-0.385174,-0.552643,-0.471272,0.569323,0
-9.777219,-0.202789,0.641344,0.013471,-0.020885,0.002296,43.054054,8.851825,14.540840,4635731465311617000.000000,0.724872,0.103552,0.662163,-0.159306,-9.406679,1.107372,-2.054333,0.011750,0.000153,-0.002899,36.146134,-11.656337,27.464900,4635727384555814900.000000,0.608756,-0.080484,0.776953,0.138862,-9.650150,-1.676352,-0.400481,0.048963,0.014058,-0.004652,39.199153,23.317321,-2.000439,4635729317827969000.000000,-0.385003,-0.552746,-0.471189,0.569408,0
-9.736767,-0.138469,0.679427,0.007843,-0.035584,0.001562,43.147167,8.812283,14.586030,4635731465311617000.000000,0.724947,0.103571,0.662068,-0.159348,-9.399700,1.114366,-2.071766,0.001528,0.001831,-0.015257,36.184474,-11.560426,27.658454,4635727384555814900.000000,0.608768,-0.080514,0.776952,0.138796,-9.623371,-1.683049,-0.453643,0.049617,0.015126,-0.000035,39.330284,23.476015,-1.960268,4635729317827969000.000000,-0.384839,-0.552862,-0.471094,0.569484,0
-9.663526,-0.157785,0.686894,0.000159,-0.044703,-0.000988,43.198720,8.673269,14.621189,4635731465311617000.000000,0.725060,0.103507,0.661959,-0.159329,-9.462468,1.037645,-2.096181,-0.005492,0.003052,-0.026244,36.341409,-11.621432,27.686390,4635727384555814900.000000,0.608780,-0.080597,0.776947,0.138724,-9.647784,-1.597604,-0.471752,0.058369,0.015161,0.005513,39.294466,23.609118,-2.139830,4635729317827969000.000000,-0.384668,-0.553003,-0.470966,0.569569,0
-9.625996,-0.215535,0.728246,-0.003698,-0.036064,0.000988,43.255559,8.684192,14.544132,4635731465311617000.000000,0.725151,0.103445,0.661877,-0.159293,-9.514790,1.004500,-2.110135,-0.007324,0.001374,-0.031433,36.156632,-11.769651,27.529472,4635727384555814900.000000,0.608800,-0.080702,0.776935,0.138645,-9.660388,-1.523957,-0.506804,0.063159,0.010509,0.006237,39.135755,23.581553,-2.204027,4635729317827969000.000000,-0.384497,-0.553142,-0.470818,0.569672,0
-9.672989,-0.267644,0.744652,-0.008178,-0.015643,0.005260,43.275246,8.828842,14.514603,4635731465311617000.000000,0.725189,0.103402,0.661857,-0.159230,-9.542694,0.948707,-2.174640,-0.002901,0.000153,-0.032960,36.121708,-11.729592,27.419600,4635727384555814900.000000,0.608826,-0.080799,0.776921,0.138549,-9.595813,-1.551118,-0.446562,0.074080,0.011336,0.006374,39.030213,23.414594,-2.096133,4635729317827969000.000000,-0.384299,-0.553300,-0.470644,0.569795,0
-9.764094,-0.245062,0.691090,-0.021330,-0.020549,0.011877,43.159193,8.749804,14.523529,4635731465311617000.000000,0.725251,0.103332,0.661829,-0.159111,-9.577568,0.919051,-2.237424,-0.000306,-0.002746,-0.034943,36.257683,-11.499453,27.478838,4635727384555814900.000000,0.608863,-0.080894,0.776901,0.138440,-9.480810,-1.771219,-0.285113,0.106528,0.022875,0.013126,39.197152,23.279928,-2.061410,4635729317827969000.000000,-0.384020,-0.553551,-0.470397,0.569944,0
-9.799264,-0.106972,0.680334,-0.044381,-0.030035,0.020915,42.991579,8.587836,14.464326,4635731465311617000.000000,0.725350,0.103231,0.661780,-0.158927,-9.572353,0.769137,-2.246162,0.008236,-0.005035,-0.029758,36.269945,-11.389543,27.574740,4635727568537495600.000000,0.608908,-0.080950,0.776882,0.138318,-9.521774,-1.884683,-0.218575,0.159696,0.039587,0.020811,39.308243,23.204711,-2.322937,4635729317827969000.000000,-0.383604,-0.553942,-0.470032,0.570146,0
