Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.717093,0.421445,1.165517,-0.040182,0.010326,0.020702,44.251839,0.984726,12.473646,4.63583E+18,-0.745589,-0.084748,-0.657086,0.071783,-9.547982,1.678346,-0.447191,-0.134273,0.049889,-0.028086,38.112067,-26.038736,1.794488,4.63582E+18,-0.468588,0.438489,-0.570892,-0.51209,-9.738529,0.354308,0.622578,-0.026417,-0.016543,-0.008285,42.689289,14.523245,5.28522,4.63583E+18,0.60765,0.404718,0.549949,-0.405613,0
-9.672348,0.465613,1.198057,-0.04776,0.008798,0.016481,44.251839,0.980676,12.478274,4.63583E+18,-0.745578,-0.084638,-0.657131,0.07161,-9.575983,1.592895,-0.38974,-0.129216,0.04546,-0.031652,37.977573,-26.209638,1.808831,4.63582E+18,-0.468311,0.438913,-0.570647,-0.512252,-9.7293,0.290582,0.61662,-0.028319,-0.019462,-0.007738,42.710142,14.566994,5.35905,4.63583E+18,0.60773,0.404585,0.549959,-0.405612,0
-9.618857,0.481327,1.264909,-0.055695,0.022835,0.013276,44.334938,0.85687,12.627073,4.63583E+18,-0.745531,-0.084499,-0.657223,0.07142,-9.646533,1.509243,-0.37664,-0.113872,0.039287,-0.026547,38.147564,-26.361726,1.989807,4.63582E+18,-0.468067,0.439281,-0.570431,-0.512399,-9.738232,0.219434,0.607094,-0.024099,-0.021936,-0.008024,42.792604,14.484532,5.311416,4.63583E+18,0.607808,0.404458,0.549955,-0.405625,0
-9.626403,0.438312,1.230062,-0.063782,0.02818,0.01119,44.37218,0.781274,12.82239,4.63583E+18,-0.745472,-0.084331,-0.657334,0.071212,-9.675109,1.457149,-0.356696,-0.093892,0.036082,-0.024255,38.283007,-26.276284,1.975509,4.63582E+18,-0.467862,0.439599,-0.570256,-0.512509,-9.751031,0.247421,0.649676,-0.014198,-0.016309,-0.006409,42.827137,14.467868,5.163732,4.63583E+18,0.60786,0.40437,0.549947,-0.405648,0
-9.65663,0.383098,1.178302,-0.072835,0.014452,0.010122,44.254208,0.864354,12.81318,4.63583E+18,-0.745453,-0.084128,-0.657406,0.070988,-9.606333,1.517292,-0.393317,-0.078183,0.032956,-0.020217,38.129674,-26.203343,1.794488,4.63582E+18,-0.467684,0.439869,-0.570116,-0.512596,-9.695953,0.237598,0.71071,-0.006461,-0.012583,-0.005888,42.762535,14.587847,5.139911,4.63583E+18,0.607891,0.404308,0.549934,-0.40568,0
-9.649093,0.354015,1.228849,-0.08138,0.003154,0.009054,44.172203,0.984701,12.668993,4.63583E+18,-0.745468,-0.083892,-0.657446,0.070748,-9.594127,1.56344,-0.427259,-0.067293,0.030898,-0.019539,38.056721,-26.294137,1.801626,4.63582E+18,-0.46753,0.440112,-0.569996,-0.512661,-9.686115,0.322731,0.759834,-0.003124,-0.008025,-0.004793,42.762535,14.531316,5.021443,4.63583E+18,0.607908,0.404265,0.549925,-0.40571,0
-9.612471,0.347625,1.29513,-0.088807,0.013319,0.010782,44.211117,1.025422,12.667185,4.63583E+18,-0.745458,-0.083641,-0.657518,0.070478,-9.582811,1.575647,-0.425475,-0.066825,0.029674,-0.023499,38.135929,-26.435882,1.892148,4.63582E+18,-0.467388,0.440361,-0.569868,-0.51272,-9.747458,0.388274,0.75419,-0.014119,-0.006409,-0.007711,42.762535,14.373758,4.927591,4.63583E+18,0.607934,0.404191,0.549943,-0.405719,0
-9.620579,0.335417,1.299229,-0.094656,0.029091,0.014495,44.251839,0.980691,12.759027,4.63583E+18,-0.745407,-0.083386,-0.65764,0.070175,-9.580139,1.590525,-0.403735,-0.060962,0.026938,-0.023655,38.12435,-26.36799,1.877897,4.63582E+18,-0.467263,0.440593,-0.569746,-0.512769,-9.759972,0.299234,0.708029,-0.016857,-0.004847,-0.010969,42.780386,14.506509,5.0869,4.63583E+18,0.607956,0.404105,0.549976,-0.405728,0
-9.631068,0.34877,1.288167,-0.101115,0.028589,0.0177,44.168766,0.901629,12.760835,4.63583E+18,-0.745362,-0.083121,-0.65776,0.069844,-9.550643,1.639355,-0.415942,-0.062108,0.029752,-0.025947,37.983465,-26.373335,1.696829,4.63582E+18,-0.467134,0.440839,-0.569623,-0.512812,-9.747457,0.29267,0.699105,-0.013599,0,-0.009326,42.835777,14.725718,5.1069,4.63583E+18,0.607965,0.404039,0.550012,-0.405732,0
-9.606655,0.359833,1.300374,-0.107474,0.027413,0.018109,44.131476,0.860336,12.617885,4.63583E+18,-0.745321,-0.082836,-0.657879,0.069495,-9.609008,1.687294,-0.425478,-0.063699,0.027538,-0.02983,38.068027,-26.423421,1.696829,4.63582E+18,-0.467016,0.441092,-0.569486,-0.512855,-9.751053,0.317705,0.671407,-0.014201,-0.00052,-0.01253,42.835777,14.643249,4.968413,4.63583E+18,0.60797,0.403963,0.550054,-0.405743,0
