Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.503787,-0.122074,0.722156,-0.052058,-0.194009,0.004104,43.110769,-6.001546,11.829621,4.63583E+18,0.776469,-0.051029,0.624514,0.066886,-9.644927,-0.631203,-1.590197,0.133141,-0.0983,0.021835,41.370892,-15.381329,14.090926,4.63582E+18,0.523274,-0.505261,0.576372,0.372412,-9.12022,-0.960529,-1.772327,-0.042673,-0.072465,-0.702589,39.814765,20.178524,6.964968,4.63583E+18,0.480339,0.485297,0.565,-0.46318,0
-9.459458,-0.113082,0.834599,-0.056161,-0.199236,0.008657,43.138372,-6.025307,11.696002,4.63583E+18,0.77697,-0.051114,0.623859,0.067121,-9.565953,-0.600322,-1.520195,0.141308,-0.103232,0.019416,41.448784,-15.448095,14.188574,4.63582E+18,0.523738,-0.50471,0.576443,0.372396,-9.286314,-0.911694,-1.947734,-0.176429,-0.069991,-0.739302,39.739584,20.484705,7.043672,4.63583E+18,0.479398,0.483056,0.566725,-0.464389,0
-9.400351,-0.039205,0.873786,-0.064819,-0.209357,0.010681,43.238621,-6.079287,11.572618,4.63583E+18,0.777493,-0.051219,0.623169,0.067386,-9.54727,-0.542531,-1.346822,0.132328,-0.105557,0.009491,41.456341,-15.610342,14.108199,4.63582E+18,0.524203,-0.504199,0.576475,0.372386,-9.395205,-0.860942,-2.027393,-0.299645,-0.064173,-0.767633,39.636151,20.801099,7.028249,4.63583E+18,0.47863,0.480508,0.56875,-0.465347,0
-9.329671,0.137474,0.972726,-0.081008,-0.191653,0.010681,43.180169,-6.047813,11.608589,4.63583E+18,0.777967,-0.051381,0.622532,0.06769,-9.690848,-0.514871,-1.208203,0.116777,-0.116457,0.000756,41.37845,-15.46969,13.921509,4.63582E+18,0.524675,-0.503725,0.57644,0.372416,-9.495756,-0.786734,-2.036709,-0.413571,-0.064145,-0.789221,39.471993,21.107248,6.848353,4.63583E+18,0.478043,0.477675,0.571033,-0.466072,0
-9.350205,0.29553,1.058826,-0.10782,-0.144773,0.011468,43.017004,-6.025296,11.602861,4.63583E+18,0.778311,-0.051641,0.62204,0.068055,-9.827276,-0.501585,-1.396601,0.094915,-0.127232,-0.006815,41.370892,-15.232044,13.904232,4.63582E+18,0.525138,-0.503301,0.576332,0.372505,-9.623289,-0.690681,-2.014221,-0.510013,-0.050821,-0.800549,39.380762,21.423674,6.862811,4.63583E+18,0.477586,0.474641,0.573544,-0.466556,0
-9.47483,0.346302,1.056274,-0.137053,-0.113282,0.015571,42.940484,-6.110748,11.451211,4.63583E+18,0.778566,-0.051995,0.621642,0.068502,-9.727905,-0.533882,-1.627458,0.076379,-0.125257,-0.016239,41.515532,-15.054657,13.993242,4.63582E+18,0.525571,-0.502942,0.57618,0.372614,-9.664414,-0.469047,-2.015184,-0.597086,-0.031512,-0.806199,39.22208,21.716313,7.046864,4.63583E+18,0.477236,0.47145,0.576264,-0.466798,0
-9.632245,0.349521,1.007446,-0.164994,-0.110635,0.023047,43.052894,-6.164739,11.389507,4.63583E+18,0.778804,-0.05242,0.621247,0.069046,-9.728219,-0.637262,-1.603494,0.085479,-0.128867,-0.022932,41.540713,-15.33993,13.834998,4.63582E+18,0.526043,-0.502574,0.576019,0.372693,-9.614621,-0.233561,-2.025466,-0.677339,-0.010544,-0.80291,39.05761,21.851252,7.242182,4.63583E+18,0.476991,0.468139,0.579164,-0.46679,0
-9.748544,0.30137,0.999057,-0.18838,-0.119291,0.03131,43.126213,-6.164739,11.389507,4.63583E+18,0.779057,-0.052898,0.62082,0.069678,-9.829412,-0.70261,-1.521305,0.102093,-0.138006,-0.028366,41.463928,-15.524852,13.729791,4.63582E+18,0.526579,-0.502168,0.575854,0.37274,-9.563208,-0.107942,-2.015184,-0.746515,0.017538,-0.798217,38.838182,21.869536,7.444235,4.63583E+18,0.476813,0.464747,0.582235,-0.466542,0
-9.807038,0.195997,1.064587,-0.205418,-0.129187,0.04171,43.106884,-6.160246,11.425451,4.63583E+18,0.779327,-0.053401,0.620357,0.070391,-9.861416,-0.585658,-1.44697,0.125025,-0.160274,-0.033707,41.52309,-15.306406,13.721121,4.63582E+18,0.527224,-0.501689,0.575664,0.372766,-9.624238,-0.086413,-2.020663,-0.810631,0.036762,-0.787427,38.763987,22.119711,7.732662,4.63583E+18,0.476722,0.461281,0.585435,-0.46607,0
-9.783302,0.089352,1.137832,-0.213066,-0.118468,0.050314,43.153172,-6.183982,11.451223,4.63583E+18,0.779564,-0.05391,0.619929,0.071148,-9.796841,-0.495884,-1.418227,0.117377,-0.182798,-0.047807,41.607449,-15.139063,13.709998,4.63582E+18,0.527928,-0.501226,0.575383,0.372826,-9.68047,-0.090932,-1.944535,-0.848555,0.055821,-0.762523,38.673729,22.547073,8.088989,4.63583E+18,0.476695,0.457827,0.588686,-0.465408,0
