Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-8.59232,1.061999,2.997763,0.42031,0.053663,-0.140703,43.873409,-11.218604,6.324258,4.63583E+18,0.768248,-0.097925,0.607818,0.175396,-9.734178,2.584305,-0.155567,0.043996,-0.173361,-0.358328,36.806815,-29.363287,-3.410884,4.63583E+18,0.41056,-0.487363,0.519755,0.56901,-12.642972,-2.620378,-0.398333,0.329945,-0.443707,-1.057558,42.290422,19.034191,1.478421,4.63583E+18,-0.534704,-0.469182,-0.535144,0.45561,0
-9.02575,0.823063,2.832072,0.418714,0.076759,-0.187854,44.020811,-10.923797,6.28855,4.63583E+18,0.76839,-0.097042,0.608292,0.173611,-9.833474,2.749367,-0.383448,0.038631,-0.164626,-0.365176,36.7866,-29.076829,-3.458217,4.63583E+18,0.411886,-0.487661,0.518879,0.568595,-12.460829,-2.787548,-1.899135,0.276973,-0.313997,-1.021385,41.952653,19.371887,1.284404,4.63583E+18,-0.53299,-0.466852,-0.535894,0.459118,0
-9.590748,0.522255,2.797235,0.439546,0.007542,-0.226911,44.100126,-10.889874,6.46821,4.63583E+18,0.76874,-0.09614,0.608541,0.171677,-9.710045,2.837953,-0.375582,0.062118,-0.157588,-0.375727,36.864863,-28.882717,-3.515732,4.63583E+18,0.413268,-0.487957,0.518049,0.568096,-11.603515,-2.256568,-1.355914,0.20424,-0.218117,-0.992295,41.631237,19.805998,1.051133,4.63583E+18,-0.531248,-0.4646,-0.536928,0.462202,0
-10.164491,0.341782,2.784158,0.459001,-0.159561,-0.225684,44.116684,-10.889004,6.65219,4.63583E+18,0.769518,-0.095053,0.608266,0.169762,-9.579967,2.528071,-0.263701,0.112101,-0.159521,-0.38585,36.915188,-28.952961,-3.515732,4.63583E+18,0.414714,-0.488241,0.517256,0.56752,-10.837318,-0.485097,0.320539,0.067836,-0.182889,-0.980445,41.463101,20.220961,0.964385,4.63583E+18,-0.529704,-0.462132,-0.538271,0.464879,0
-10.624867,0.136867,2.601892,0.448468,-0.384261,-0.197603,44.185579,-10.74162,6.574545,4.63583E+18,0.770836,-0.093769,0.607271,0.168053,-9.538327,1.976565,0.051364,0.18693,-0.179114,-0.381152,36.945293,-28.948253,-3.636151,4.63583E+18,0.416362,-0.48832,0.516631,0.566814,-10.632669,1.256289,2.011807,-0.146139,-0.261249,-0.991005,41.331526,20.443359,1.018658,4.63583E+18,-0.528717,-0.459008,-0.539865,0.467242,0
-11.042483,-0.00262,2.53129,0.407878,-0.561241,-0.14786,44.111448,-10.650956,6.295522,4.63583E+18,0.772545,-0.092364,0.605692,0.166674,-9.474453,1.519752,0.377587,0.246024,-0.201616,-0.35767,37.053645,-28.691923,-3.84884,4.63583E+18,0.418166,-0.48815,0.51619,0.566034,-10.159097,1.55564,1.942071,-0.234159,-0.330534,-0.974975,41.166045,20.766236,0.899224,4.63583E+18,-0.528075,-0.455584,-0.541437,0.469496,0
-11.208128,0.146474,2.504264,0.316561,-0.6212,-0.083703,43.878659,-10.724197,6.104589,4.63583E+18,0.774319,-0.09105,0.603876,0.165753,-9.394028,1.323414,0.288373,0.25437,-0.213058,-0.316035,37.18223,-28.57601,-3.826137,4.63583E+18,0.419851,-0.487902,0.51578,0.565373,-8.57477,-0.275676,-0.268906,-0.172909,-0.28744,-0.958484,41.083335,21.148686,0.660533,4.63583E+18,-0.527241,-0.452407,-0.542943,0.47176,0
-11.139254,0.442088,2.309811,0.190738,-0.56833,-0.030441,44.076576,-10.662294,5.819439,4.63583E+18,0.775869,-0.090043,0.602159,0.1653,-9.285675,1.516166,-0.153952,0.173442,-0.205425,-0.268959,37.267685,-28.62636,-3.67093,4.63583E+18,0.421259,-0.487697,0.5153,0.56494,-7.316265,-2.661353,-1.660221,-0.046751,-0.229768,-0.933914,41.071129,21.330407,0.573748,4.63583E+18,-0.526078,-0.449669,-0.544272,0.47414,0
-10.917798,0.395875,2.13631,0.06059,-0.461831,0.003049,44.240489,-10.430375,5.605832,4.63583E+18,0.777076,-0.089446,0.600706,0.165241,-9.116944,1.962834,-0.497474,-0.016625,-0.167998,-0.237775,37.313016,-28.490945,-3.693637,4.63583E+18,0.422127,-0.487845,0.514502,0.564893,-7.415362,-3.331234,-1.154205,0.042966,-0.208882,-0.869704,40.936833,21.532523,0.682271,4.63583E+18,-0.524818,-0.447308,-0.545341,0.476536,0
-10.527224,0.322639,2.044758,-0.029051,-0.343892,0.040048,44.172507,-10.344917,5.409664,4.63583E+18,0.777926,-0.089127,0.599586,0.165481,-9.054189,2.206706,-0.467801,-0.206459,-0.126823,-0.220305,37.305824,-28.226566,-3.848821,4.63583E+18,0.422523,-0.488345,0.513402,0.565166,-8.245422,-2.060338,-0.027128,0.029908,-0.226447,-0.781528,40.650653,21.837688,0.714811,4.63583E+18,-0.523789,-0.445078,-0.546225,0.478736,0
-10.067668,0.487405,2.061305,-0.104671,-0.266968,0.063552,44.166386,-10.487015,5.316333,4.63583E+18,0.778539,-0.089048,0.598669,0.165958,-9.224217,1.934443,-0.040115,-0.265321,-0.1067,-0.204913,37.335907,-28.125856,-3.946478,4.63583E+18,0.422719,-0.488962,0.512229,0.565549,-8.896463,-0.760971,0.779889,-0.055657,-0.251251,-0.708185,40.368541,22.014013,0.623939,4.63583E+18,-0.523117,-0.442775,-0.547085,0.480622,0
-9.490505,0.511836,2.187713,-0.169517,-0.232939,0.074082,44.325045,-10.804356,5.23089,4.63583E+18,0.779035,-0.089177,0.597822,0.166618,-9.450485,1.404302,0.400438,-0.208063,-0.104354,-0.187575,37.384083,-28.231137,-4.004028,4.63583E+18,0.422986,-0.489446,0.51123,0.565835,-9.232831,-0.735085,1.040336,-0.167092,-0.236659,-0.67602,40.212554,22.134716,0.531712,4.63583E+18,-0.522675,-0.440327,-0.548135,0.482153,0
-8.870556,0.46738,2.242664,-0.19989,-0.231712,0.075762,44.17863,-10.907297,5.145439,4.63583E+18,0.779513,-0.0894,0.596957,0.167359,-9.633579,1.259947,0.627345,-0.13654,-0.114405,-0.163087,37.426362,-28.412287,-4.079211,4.63583E+18,0.423283,-0.489797,0.510364,0.566091,-9.67491,-1.251829,1.143392,-0.27188,-0.198092,-0.654188,40.127111,22.334068,0.488296,4.63583E+18,-0.522376,-0.437774,-0.549434,0.483321,0
