Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.871955,0.292696,1.472980,0.151305,-0.005079,-0.123545,43.063039,-16.386732,5.391275,4635730176821428200.000000,-0.704158,0.197670,-0.637984,-0.240966,-9.787259,-0.537126,-0.649010,0.056073,-0.005601,0.044147,43.476616,-15.868668,-3.181994,4635725988691443700.000000,-0.429520,0.611767,-0.428222,-0.507819,-9.818422,0.254858,-0.318591,0.069541,0.029600,0.065583,42.248550,15.845209,7.684448,4635727491929997300.000000,-0.614829,-0.416922,-0.567929,0.354426,0
-9.867151,0.244148,1.510148,0.149193,-0.025683,-0.120317,42.957851,-16.389883,5.363437,4635730176821428200.000000,-0.704462,0.197551,-0.637957,-0.240246,-9.755735,-0.537126,-0.639879,0.049219,-0.000891,0.037646,43.469598,-15.949017,-3.201503,4635725988691443700.000000,-0.429583,0.611616,-0.428474,-0.507734,-9.746459,0.433320,-0.261306,0.056836,0.019017,0.067719,42.385215,15.734232,7.739494,4635727491929997300.000000,-0.614815,-0.417201,-0.567783,0.354356,0
-9.708199,0.248262,1.627965,0.149529,-0.026982,-0.112840,43.011327,-16.202404,5.415973,4635730176821428200.000000,-0.704762,0.197408,-0.637933,-0.239547,-9.700765,-0.526940,-0.677549,0.043971,-0.003028,0.029816,43.544857,-15.854194,-3.191073,4635725988691443700.000000,-0.429653,0.611485,-0.428690,-0.507651,-9.734163,0.263899,-0.206335,0.060554,0.009622,0.073589,42.321977,15.575555,7.551719,4635727642078631900.000000,-0.614826,-0.417487,-0.567598,0.354297,0
-9.533586,0.252242,1.655830,0.145245,-0.007419,-0.102844,43.116547,-16.040527,5.374975,4635730176821428200.000000,-0.704997,0.197269,-0.637970,-0.238871,-9.623477,-0.512711,-0.730423,0.045400,-0.004273,0.024030,43.580429,-15.595889,-3.032529,4635725988691443700.000000,-0.429741,0.611360,-0.428891,-0.507557,-9.741508,0.080694,-0.212388,0.062595,0.002675,0.081066,42.154750,15.638769,7.402652,4635727706678362100.000000,-0.614860,-0.417786,-0.567379,0.354237,0
-9.427840,0.235924,1.562161,0.135239,0.000326,-0.086092,43.087763,-16.069312,5.277323,4635730176821428200.000000,-0.705185,0.197124,-0.638032,-0.238266,-9.600111,-0.522895,-0.749744,0.048244,-0.006055,0.017176,43.585521,-15.569600,-3.197500,4635725988691443700.000000,-0.429854,0.611238,-0.429077,-0.507451,-9.750043,0.139040,-0.151455,0.065687,0.003309,0.086303,42.214287,15.746257,7.433015,4635727706678362100.000000,-0.614894,-0.418105,-0.567148,0.354171,0
-9.354854,0.170388,1.481079,0.121386,-0.008939,-0.065438,43.031097,-16.125980,5.245458,4635730176821428200.000000,-0.705365,0.196957,-0.638071,-0.237768,-9.632684,-0.537126,-0.761951,0.046999,-0.007654,0.010145,43.623186,-15.697739,-3.412981,4635725988691443700.000000,-0.429719,0.611350,-0.428923,-0.507561,-9.736646,0.183111,-0.156213,0.069534,0.016221,0.092069,42.372983,15.661013,7.458724,4635727706678362100.000000,-0.614899,-0.418466,-0.566935,0.354076,0
-9.346886,0.044463,1.481335,0.113910,-0.020699,-0.048753,43.084548,-16.121868,5.376006,4635730176821428200.000000,-0.705554,0.196754,-0.638080,-0.237348,-9.683537,-0.537126,-0.784340,0.048780,-0.009082,0.004627,43.599696,-15.747550,-3.329496,4635725988691443700.000000,-0.429865,0.611243,-0.429073,-0.507439,-9.746368,0.072172,-0.222106,0.085432,0.028083,0.102957,42.429260,15.451128,7.398987,4635727706678362100.000000,-0.614865,-0.418911,-0.566709,0.353970,0
-9.391853,-0.032761,1.558935,0.108591,-0.030268,-0.043794,43.193903,-16.142546,5.505539,4635730212977908700.000000,-0.705759,0.196544,-0.638061,-0.236964,-9.725252,-0.537126,-0.810780,0.052608,-0.014600,0.000354,43.440996,-15.783191,-3.222754,4635725988691443700.000000,-0.430040,0.611126,-0.429210,-0.507316,-9.745182,0.058548,-0.235615,0.119487,0.036950,0.109801,42.322001,15.321595,7.441538,4635727706678362100.000000,-0.614761,-0.419473,-0.566444,0.353912,0
-9.485544,-0.093808,1.668562,0.105724,-0.025219,-0.043074,43.173211,-16.199224,5.439737,4635730284195610600.000000,-0.705947,0.196347,-0.638054,-0.236587,-9.768988,-0.537126,-0.828077,0.055812,-0.019318,-0.001691,43.343397,-15.797367,-3.222754,4635725988691443700.000000,-0.430236,0.610996,-0.429340,-0.507196,-9.681782,0.175632,-0.240473,0.146314,0.045494,0.115567,42.333963,15.406796,7.598915,4635727706678362100.000000,-0.614597,-0.420129,-0.566150,0.353887,0
-9.578976,-0.121933,1.700804,0.100033,-0.012805,-0.043459,43.116547,-16.116904,5.306104,4635730284195610600.000000,-0.706098,0.196180,-0.638077,-0.236215,-9.790338,-0.537126,-0.832129,0.057680,-0.023322,-0.001514,43.407552,-15.711915,-3.222754,4635725988691443700.000000,-0.430444,0.610854,-0.429468,-0.507083,-9.698716,0.364775,-0.235616,0.153492,0.041348,0.118243,42.462072,15.565487,7.645510,4635727706678362100.000000,-0.614434,-0.420803,-0.565830,0.353880,0
