Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.139928,1.378166,3.168163,-0.155138,0.005341,-0.066071,46.151603,-3.740055,2.755455,4635732109556711400.000000,0.806206,-0.026821,0.589895,0.036551,-8.781999,-4.096978,-5.399211,0.435367,0.192837,0.426595,43.658131,-16.057191,-1.218678,4635727724816675800.000000,0.483945,-0.488870,0.432231,0.583077,-10.153923,-0.181182,-0.694943,0.075486,0.054023,0.088502,41.628563,17.726468,7.847603,4635729425202151400.000000,0.597293,0.411416,0.554734,-0.407736,0
-9.321282,1.095636,3.317097,-0.159094,0.003854,-0.061995,46.306783,-3.588391,2.933879,4635732109556711400.000000,0.806192,-0.027568,0.589867,0.036757,-10.298691,-2.737975,-4.006630,0.776369,0.187767,0.449937,43.771324,-16.184805,-1.194113,4635727814052544500.000000,0.483794,-0.487148,0.435340,0.582331,-10.182738,-0.061037,-0.690821,0.013268,0.022933,0.094988,41.596505,17.535564,7.945256,4635729425202151400.000000,0.597406,0.411670,0.554621,-0.407466,0
-9.464848,0.761767,3.762481,-0.134256,-0.025738,-0.039345,46.376388,-3.576769,3.015816,4635732109556711400.000000,0.806249,-0.028171,0.589747,0.036981,-12.659556,-0.536617,-1.246214,1.006391,0.084396,0.473855,43.604526,-16.185913,-1.071552,4635727814052544500.000000,0.484233,-0.484661,0.438840,0.581413,-10.032130,-0.090453,-0.618017,-0.025250,-0.004324,0.095657,41.644012,17.371136,7.995849,4635729425202151400.000000,0.597649,0.411784,0.554506,-0.407152,0
-9.551450,0.095119,4.312203,-0.082588,-0.026442,0.008762,46.143986,-3.576769,3.031528,4635732109556711400.000000,0.806307,-0.028482,0.589637,0.037240,-12.864856,1.385752,1.862757,1.069606,0.016314,0.439330,43.482769,-16.582245,-0.784925,4635727814052544500.000000,0.485000,-0.481935,0.442278,0.580435,-9.948149,-0.145604,-0.579630,-0.039920,-0.032056,0.093482,41.641221,17.524081,7.948789,4635729425202151400.000000,0.597977,0.411811,0.554349,-0.406858,0
-9.661902,-0.702906,4.615568,-0.023487,-0.000563,0.057794,46.155677,-3.569170,3.116980,4635732109556711400.000000,0.806300,-0.028478,0.589629,0.037515,-12.994996,2.303657,3.939592,0.960717,-0.001521,0.346675,43.482769,-16.756360,-0.639046,4635727814052544500.000000,0.485797,-0.479548,0.445222,0.579493,-10.096966,-0.253248,-0.538901,-0.031957,-0.056777,0.093958,41.590622,17.723818,7.851136,4635729425202151400.000000,0.598346,0.411819,0.554114,-0.406626,0
-9.779301,-1.085873,4.624751,0.021175,-0.011750,0.104849,46.384033,-3.426276,3.180762,4635732109556711400.000000,0.806318,-0.028206,0.589596,0.037840,-12.785618,2.463081,4.011611,0.645750,0.047711,0.282527,43.453933,-16.616335,-0.689341,4635727832169441300.000000,0.486025,-0.478031,0.447373,0.578899,-10.306267,-0.412388,-0.394188,0.008565,-0.073984,0.095065,41.672968,17.614728,7.800531,4635729425202151400.000000,0.598688,0.411902,0.553765,-0.406515,0
-9.797285,-1.052043,4.335900,0.060123,-0.011085,0.151785,46.299174,-3.596574,2.828026,4635732109556711400.000000,0.806331,-0.027689,0.589578,0.038228,-11.157833,1.944616,2.787225,0.335931,0.119092,0.206628,43.285094,-16.682089,-0.504174,4635727921426726900.000000,0.485819,-0.477347,0.448878,0.578470,-10.323809,-0.364794,-0.251810,0.060066,-0.086325,0.091463,41.761528,17.456587,7.800531,4635729425202151400.000000,0.598963,0.412083,0.553305,-0.406551,0
-9.679851,-0.582384,4.118486,0.067297,0.002442,0.175125,46.233516,-3.755252,2.755994,4635732109556711400.000000,0.806308,-0.027092,0.589608,0.038674,-10.231530,0.853534,1.807629,0.095167,0.122010,0.174370,43.196390,-16.984895,-0.356213,4635727921426726900.000000,0.485209,-0.477216,0.449746,0.578417,-10.089571,-0.061412,-0.142843,0.093606,-0.091346,0.075239,41.685083,17.491868,7.847573,4635729425202151400.000000,0.599165,0.412301,0.552805,-0.406713,0
-9.406626,0.001236,3.716845,0.088503,0.009820,0.172476,46.306726,-3.902288,2.946648,4635732109556711400.000000,0.806269,-0.026431,0.589665,0.039059,-9.169278,0.414917,1.240098,-0.031693,0.150261,0.122179,43.421869,-17.098189,-0.410803,4635727921426726900.000000,0.484283,-0.477612,0.450148,0.578553,-9.747763,0.274962,-0.049723,0.101077,-0.090278,0.048575,41.561668,17.453388,7.857028,4635729425202151400.000000,0.599274,0.412523,0.552307,-0.407005,0
-9.042770,0.527252,3.581997,0.084790,0.036419,0.137841,46.143986,-3.821499,3.030337,4635732109556711400.000000,0.806170,-0.025872,0.589808,0.039335,-8.958455,0.232607,0.787308,-0.123835,0.152733,0.059203,43.468365,-16.927275,-0.315196,4635727921426726900.000000,0.483321,-0.478317,0.450208,0.578729,-9.494170,0.486503,-0.053813,0.080739,-0.091782,0.018747,41.552656,17.371136,7.718665,4635729425202151400.000000,0.599370,0.412622,0.551891,-0.407327,0
