Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-8.105457,-1.759857,2.028161,-0.02231,0.072323,0.05421,45.364441,-1.597352,8.489081,4.63583E+18,0.79353,-0.048153,0.603302,0.063384,-9.441868,0.929233,-0.84009,0.001555,0.013433,0.195763,39.820549,-19.165623,13.474017,4.63582E+18,0.573481,-0.360797,0.626851,0.384712,-9.398096,-0.224072,0.33594,0.075683,0.148283,0.190896,40.481354,19.553694,-3.34547,4.63583E+18,-0.454105,-0.52538,-0.464351,0.549675,0
-8.365275,-1.500125,2.045563,0.009424,0.075695,0.015901,45.350678,-1.649817,8.726648,4.63583E+18,0.793301,-0.048106,0.603603,0.063422,-9.581326,0.929248,-0.935896,-0.02667,0.006571,0.173332,39.827947,-19.261797,13.381167,4.63582E+18,0.573115,-0.36038,0.627107,0.385231,-9.587777,-0.338349,0.125858,0.029919,0.126212,0.182739,40.727236,19.191132,-3.320414,4.63583E+18,-0.454136,-0.526077,-0.464139,0.549162,0
-8.626996,-1.16343,2.099586,0.043317,0.069119,-0.013711,45.204014,-1.562723,8.627259,4.63583E+18,0.793104,-0.04802,0.603884,0.063277,-9.740022,0.748358,-1.062779,-0.045574,0.001262,0.154138,39.78837,-19.427892,13.46106,4.63582E+18,0.572765,-0.360049,0.62729,0.385762,-9.586272,0.135975,0.133955,-0.066522,0.114869,0.165157,40.715803,18.913382,-3.175231,4.63583E+18,-0.45436,-0.526531,-0.464163,0.54852,0
-8.778657,-0.957465,2.181567,0.062541,0.076881,-0.032499,45.216123,-1.405679,8.532975,4.63583E+18,0.792896,-0.047915,0.604193,0.063014,-9.809941,0.693596,-1.17744,-0.041143,-0.00906,0.138344,39.700344,-19.3473,13.708123,4.63582E+18,0.572474,-0.359733,0.627432,0.386257,-9.634129,0.722634,0.400588,-0.224771,0.103695,0.143547,40.384669,19.04507,-3.052495,4.63583E+18,-0.454904,-0.526618,-0.464576,0.547636,0
-8.975583,-0.910369,2.228768,0.081463,0.098554,-0.033736,45.29984,-1.342814,8.532975,4.63583E+18,0.792633,-0.047802,0.604574,0.062754,-9.807357,0.663659,-1.213345,-0.031366,-0.025307,0.125333,39.706223,-19.147545,13.70046,4.63582E+18,0.572261,-0.359401,0.627532,0.386721,-9.728642,0.721555,0.887516,-0.349357,0.09723,0.121119,40.456822,18.932196,-3.172607,4.63583E+18,-0.455681,-0.526409,-0.465308,0.546568,0
-9.259832,-0.858177,2.190414,0.097495,0.113526,-0.021994,45.374817,-1.330707,8.545083,4.63583E+18,0.792337,-0.047568,0.605014,0.062433,-9.795149,0.671765,-1.149365,-0.023663,-0.037869,0.109052,39.794264,-19.22809,13.394188,4.63582E+18,0.572118,-0.359073,0.627588,0.387144,-9.762788,0.226859,1.406463,-0.365942,0.102484,0.108215,40.461937,18.927081,-3.213682,4.63583E+18,-0.456455,-0.526155,-0.466115,0.545478,0
-9.554591,-0.706537,2.145049,0.105293,0.113244,-0.002026,45.436072,-1.269453,8.618426,4.63583E+18,0.792038,-0.047257,0.605458,0.062156,-9.819916,0.74019,-1.162637,-0.019001,-0.055893,0.08918,39.832756,-19.376083,13.30419,4.63582E+18,0.572062,-0.358757,0.62758,0.387534,-9.82943,-0.226145,1.901029,-0.288275,0.120555,0.104953,40.089302,19.28157,-2.929302,4.63583E+18,-0.457015,-0.526082,-0.466786,0.544505,0
-9.765807,-0.535514,2.13618,0.100275,0.100708,0.029253,45.328161,-1.342814,8.620154,4.63583E+18,0.79176,-0.046883,0.605866,0.062001,-9.787412,0.769066,-1.196326,-0.009748,-0.07292,0.067594,39.73664,-19.409771,13.571893,4.63582E+18,0.572099,-0.358447,0.627513,0.387874,-9.942088,-0.529169,2.17157,-0.157197,0.141123,0.11976,40.565746,19.007497,-2.768618,4.63583E+18,-0.45728,-0.526334,-0.467166,0.543713,0
-9.830526,-0.451674,2.212996,0.085008,0.104508,0.060099,45.153125,-1.330717,8.628906,4.63583E+18,0.791463,-0.046479,0.606287,0.061979,-9.746321,0.835617,-1.166748,-0.001685,-0.085092,0.048396,39.718429,-19.461533,13.66936,4.63582E+18,0.572211,-0.358149,0.627401,0.388164,-9.855498,-0.725187,2.022139,-0.027815,0.166184,0.139263,41.670966,18.310111,-2.837397,4.63583E+18,-0.457257,-0.526926,-0.467256,0.54308,0
-9.774678,-0.458577,2.228778,0.073272,0.120354,0.073713,45.374789,-1.269442,8.632232,4.63583E+18,0.791115,-0.046132,0.606757,0.062093,-9.771084,0.81978,-1.088343,-0.014234,-0.094253,0.031306,39.702941,-19.443464,13.517363,4.63582E+18,0.572356,-0.357911,0.627222,0.38846,-9.769383,-0.678328,1.563008,0.077317,0.181774,0.154521,42.099221,18.061343,-2.86874,4.63583E+18,-0.457008,-0.527783,-0.467105,0.542588,0
-9.755441,-0.502229,2.186977,0.055868,0.146012,0.062461,45.413644,-1.341088,8.729894,4.63583E+18,0.790706,-0.045833,0.607307,0.062149,-9.805123,0.810845,-1.042444,-0.032555,-0.101729,0.016805,39.622311,-19.313666,13.4921,4.63582E+18,0.572516,-0.357742,0.626973,0.388781,-9.817225,-0.383881,0.983699,0.134297,0.182408,0.161261,41.904063,18.042542,-2.796157,4.63583E+18,-0.456647,-0.528763,-0.46681,0.542192,0
-9.781465,-0.516165,2.11718,0.043502,0.157622,0.026766,45.193652,-1.342696,8.843104,4.63583E+18,0.790274,-0.045669,0.607884,0.062117,-9.770399,0.85228,-1.096766,-0.046215,-0.113734,0.003988,39.692099,-19.450663,13.414921,4.63582E+18,0.572709,-0.35762,0.626654,0.389124,-9.839167,-0.175036,0.430917,0.141299,0.171265,0.165534,41.895143,17.806659,-2.698501,4.63583E+18,-0.456301,-0.529738,-0.466467,0.541826,0
-9.889594,-0.540577,2.087337,0.033437,0.161894,-0.017789,45.165282,-1.416059,9.033349,4.63583E+18,0.78984,-0.045654,0.608464,0.061965,-9.719337,0.733699,-1.150069,-0.051271,-0.128686,-0.003008,39.766904,-19.728482,13.290959,4.63582E+18,0.572944,-0.357504,0.62628,0.389486,-9.766587,-0.197788,0.048022,0.128814,0.162142,0.176951,41.974656,17.725149,-2.673421,4.63583E+18,-0.456026,-0.530691,-0.46611,0.541432,0
-9.968275,-0.578785,2.16071,0.021224,0.166619,-0.059455,45.397338,-1.403988,9.118794,4.63583E+18,0.789402,-0.045787,0.609048,0.061707,-9.749226,0.528751,-1.122753,-0.051918,-0.146226,-0.003626,39.668258,-19.721362,13.30897,4.63582E+18,0.573225,-0.357363,0.625862,0.389873,-9.705223,-0.274161,-0.208977,0.109098,0.143554,0.182898,42.047895,17.725149,-2.673421,4.63583E+18,-0.455845,-0.531575,-0.465747,0.54103,0
-9.921299,-0.711219,2.153809,0.013886,0.174248,-0.093649,45.521538,-1.308178,9.178373,4.63583E+18,0.788953,-0.046032,0.609648,0.061352,-9.792911,0.414721,-1.128229,-0.047812,-0.16028,-0.003204,39.748628,-19.602185,13.342691,4.63582E+18,0.573548,-0.357188,0.625417,0.390272,-9.683607,-0.184126,-0.205066,0.082974,0.124298,0.183721,42.075782,17.616298,-2.673421,4.63583E+18,-0.45576,-0.532367,-0.465404,0.540617,0
-9.811457,-0.885823,2.108436,0.016147,0.180229,-0.121264,45.415433,-1.159853,9.108296,4.63583E+18,0.788495,-0.046341,0.610262,0.060898,-9.7656,0.420192,-1.140107,-0.031932,-0.17096,-0.002558,39.992741,-19.568468,13.172747,4.63582E+18,0.573922,-0.356956,0.624974,0.390646,-9.743967,-0.010425,-0.010763,0.048852,0.106933,0.178959,42.024494,17.515165,-2.66435,4.63583E+18,-0.455774,-0.533046,-0.465115,0.540185,0
-9.694714,-0.934649,2.085744,0.031716,0.172876,-0.147062,45.216221,-1.084737,9.219719,4.63583E+18,0.788065,-0.046663,0.61085,0.06032,-9.719342,0.409912,-1.113123,-0.024792,-0.177762,-0.00149,39.88962,-19.568468,13.002812,4.63582E+18,0.574321,-0.356693,0.624526,0.391014,-9.829412,0.045692,0.293716,0.029204,0.092225,0.174932,41.951256,17.49321,-2.525166,4.63583E+18,-0.45585,-0.533646,-0.464851,0.539755,0
-9.537728,-0.980037,2.075258,0.046041,0.181847,-0.166153,45.204165,-1.051861,9.39955,4.63583E+18,0.787619,-0.04699,0.611467,0.059643,-9.690109,0.457132,-1.08389,-0.020464,-0.184621,-0.003008,39.663464,-19.620186,12.905156,4.63582E+18,0.574748,-0.356412,0.624067,0.391377,-9.733471,-0.13256,0.587028,0.054998,0.095798,0.167759,41.93243,17.429723,-2.405547,4.63583E+18,-0.455847,-0.534289,-0.464551,0.53938,0
-9.398148,-0.994127,2.059778,0.070439,0.201293,-0.176395,45.118731,-0.881154,9.443704,4.63583E+18,0.78713,-0.047266,0.61215,0.058863,-9.65831,0.522664,-1.000383,-0.015798,-0.187994,-0.001687,39.696845,-19.653919,12.866603,4.63582E+18,0.575188,-0.356111,0.623608,0.391736,-9.68361,-0.18625,0.758952,0.115147,0.102237,0.153661,41.751062,17.580057,-2.307896,4.63583E+18,-0.455665,-0.535034,-0.464158,0.539134,0
-9.30048,-0.94013,1.963671,0.099748,0.190144,-0.177915,45.045319,-0.693782,9.26714,4.63583E+18,0.786675,-0.047443,0.612803,0.058,-9.643848,0.544513,-0.907855,-0.009137,-0.187994,0.001939,39.759514,-19.557887,12.866603,4.63582E+18,0.575632,-0.355784,0.623165,0.392085,-9.762073,0.31557,0.902284,0.153871,0.102817,0.12812,41.216802,17.975174,-2.273717,4.63583E+18,-0.455339,-0.535803,-0.463736,0.539009,0
-9.197672,-0.856407,1.941146,0.124478,0.184775,-0.181435,45.081435,-0.8645,9.332661,4.63583E+18,0.786233,-0.047609,0.613437,0.057142,-9.643848,0.519782,-0.805056,-0.010512,-0.187348,0.000619,39.663472,-19.495224,12.807501,4.63582E+18,0.576074,-0.355465,0.62272,0.392434,-9.853811,0.823799,1.021579,0.140661,0.096988,0.097692,40.572913,18.372468,-2.261509,4.63583E+18,-0.454985,-0.536475,-0.4634,0.538929,0
-9.080588,-0.793481,1.853974,0.144607,0.190897,-0.179464,45.301674,-1.039855,9.680302,4.63583E+18,0.785783,-0.047659,0.614099,0.056177,-9.65862,0.552205,-0.779017,-0.010655,-0.181756,-0.0043,39.748534,-19.591241,12.717242,4.63582E+18,0.576509,-0.355168,0.622279,0.392762,-9.748852,0.894635,1.077037,0.104958,0.099032,0.06513,40.460906,18.4154,-2.330905,4.63583E+18,-0.454634,-0.53702,-0.46322,0.538837,0
-9.070101,-0.791761,1.761474,0.169942,0.188159,-0.170783,45.265557,-0.783668,9.724478,4.63583E+18,0.785342,-0.047599,0.614759,0.055171,-9.660878,0.637655,-0.756553,-0.008545,-0.175796,-0.006409,39.896664,-19.653919,12.683492,4.63582E+18,0.576935,-0.354882,0.621852,0.39307,-9.623287,0.761068,0.986727,0.076819,0.105166,0.036779,40.71548,18.342158,-2.356029,4.63583E+18,-0.45427,-0.537471,-0.463178,0.53873,0
-9.076979,-0.765797,1.717635,0.191184,0.182352,-0.153106,45.045319,-0.512541,9.534152,4.63583E+18,0.784915,-0.047421,0.615407,0.054166,-9.64867,0.531068,-0.688127,-0.011777,-0.168938,-0.00447,39.878712,-19.602216,12.735196,4.63582E+18,0.577335,-0.354609,0.62144,0.393381,-9.61315,0.665844,0.870588,0.054633,0.105228,0.008491,40.615833,18.731259,-2.29257,4.63583E+18,-0.453893,-0.537826,-0.463248,0.538633,0
-9.137832,-0.645631,1.778665,0.197908,0.183374,-0.125487,45.057347,-0.608294,9.501979,4.63583E+18,0.784479,-0.047156,0.616064,0.053238,-9.614307,0.432081,-0.644429,-0.014532,-0.159101,-0.00062,39.844963,-19.568468,12.717246,4.63582E+18,0.5777,-0.354349,0.621051,0.393694,-9.719162,0.674191,0.815112,0.022956,0.099125,-0.014798,40.308206,19.0993,-2.261511,4.63583E+18,-0.453546,-0.538062,-0.46343,0.538533,0
-9.287576,-0.486578,1.825956,0.200044,0.200812,-0.099986,45.13249,-0.720597,9.806979,4.63583E+18,0.783992,-0.046825,0.616782,0.05239,-9.624558,0.405105,-0.686479,-0.016246,-0.15682,-0.002163,39.896657,-19.66447,12.624413,4.63582E+18,0.578058,-0.354101,0.620663,0.394004,-9.762781,0.629222,0.796623,-0.017843,0.096408,-0.032986,40.413767,18.833343,-2.25837,4.63583E+18,-0.453256,-0.53818,-0.463738,0.538395,0
