Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-10.254792,-1.880469,0.187871,-2.957308,-0.382023,0.973966,43.899453,-15.329766,3.927655,4.63583E+18,0.742442,-0.166004,0.598042,0.252127,-10.281101,-0.743639,-0.294687,-0.770085,-0.816729,-0.373824,44.009016,-15.246034,3.531104,4.63583E+18,0.587044,-0.501652,0.502484,0.388888,-9.531249,-2.20891,4.968968,-3.53413,-0.380786,-2.621802,41.753659,13.162148,14.676106,4.63583E+18,0.63095,0.378568,0.617385,-0.278251,0
-9.980414,-1.894791,0.295622,-2.802836,-0.39277,0.96923,43.659008,-15.830267,3.577343,4.63583E+18,0.740419,-0.171777,0.594531,0.262309,-10.172246,-0.917895,0.188802,-0.782393,-0.843405,-0.354841,44.2908,-15.188034,3.01055,4.63583E+18,0.587629,-0.503008,0.498446,0.391442,-9.791063,-1.689439,5.760617,-4.064167,-0.574609,-2.817558,41.43626,13.577689,14.984509,4.63583E+18,0.635468,0.359807,0.624868,-0.27615,0
-9.574979,-1.966896,0.349268,-2.705685,-0.28376,0.95497,43.503495,-16.334406,3.29299,4.63583E+18,0.7381,-0.177381,0.591364,0.272089,-10.210171,-0.752246,0.291099,-0.807669,-0.866037,-0.333964,44.35052,-14.969348,2.686225,4.63583E+18,0.588161,-0.504329,0.494345,0.394134,-9.97739,-2.068217,6.331809,-4.418413,-0.776517,-3.007069,41.232666,14.102868,15.265289,4.63583E+18,0.640522,0.339213,0.632218,-0.2738,0
-9.127974,-2.284287,0.23782,-2.633282,-0.101022,0.956131,43.418043,-16.912975,2.665591,4.63583E+18,0.735281,-0.182942,0.588761,0.281521,-10.304499,-0.441521,0.798742,-0.862852,-0.883141,-0.300255,44.312874,-14.85641,2.38848,4.63583E+18,0.588546,-0.505669,0.490172,0.397044,-9.882239,-3.135454,6.671229,-4.561515,-0.969011,-3.188138,40.898949,14.582087,15.484745,4.63583E+18,0.645735,0.317362,0.639139,-0.27168,0
-9.077349,-2.583763,0.082935,-2.565077,0.108576,0.957632,43.3326,-17.317461,2.205972,4.63583E+18,0.731901,-0.188513,0.586804,0.290593,-10.472337,-0.796486,1.33394,-0.876837,-0.902227,-0.274439,44.367511,-14.945195,1.955394,4.63583E+18,0.588881,-0.506945,0.485969,0.400076,-9.43309,-4.375334,6.610652,-4.517861,-1.132501,-3.36882,40.382312,15.033769,15.680067,4.63583E+18,0.650751,0.294783,0.64545,-0.270223,0
-9.536839,-2.503421,-0.266699,-2.473861,0.345244,0.922008,43.247685,-17.495161,1.85605,4.63583E+18,0.727965,-0.194157,0.585578,0.29911,-10.671143,-1.087487,1.629201,-0.879667,-0.917195,-0.248641,44.362732,-14.926332,1.581768,4.63583E+18,0.589182,-0.508133,0.481766,0.403195,-9.198858,-4.820537,6.345327,-4.34223,-1.2618,-3.544269,40.170882,15.494171,16.076671,4.63583E+18,0.655323,0.271893,0.651061,-0.269714,0
-10.169526,-2.799166,-0.7848,-2.319973,0.524647,0.902172,43.16395,-17.824238,1.868782,4.63583E+18,0.723656,-0.199584,0.585005,0.307012,-10.566433,-0.763056,1.909117,-0.932531,-0.922789,-0.218861,44.325081,-14.808613,1.288806,4.63583E+18,0.58932,-0.509361,0.477514,0.406489,-9.220263,-4.534777,5.947378,-4.009162,-1.324759,-3.691255,40.088896,16.133008,16.473948,4.63583E+18,0.659153,0.24929,0.655928,-0.270426,0
-10.725064,-2.855776,-1.178813,-2.047892,0.695731,0.890586,42.846033,-18.139007,1.892672,4.63583E+18,0.719097,-0.204418,0.585226,0.314042,-10.239338,-0.311825,2.611091,-1.017705,-0.94759,-0.164933,44.372873,-14.811922,0.83882,4.63583E+18,0.589217,-0.510631,0.473156,0.410125,-9.241004,-3.619267,4.737785,-3.656609,-1.329361,-3.825688,39.64464,16.998595,16.577654,4.63583E+18,0.662122,0.22715,0.660178,-0.272329,0
-10.596205,-2.307543,-2.236888,-1.847313,0.682173,0.83482,42.530594,-18.39847,1.892849,4.63583E+18,0.714753,-0.208753,0.585572,0.320399,-9.687369,-0.018228,3.46932,-1.16772,-0.968719,-0.113336,44.458319,-14.700842,0.265103,4.63583E+18,0.588727,-0.512113,0.46858,0.414214,-9.241004,-2.459302,3.311532,-3.312029,-1.279928,-3.910968,39.128679,17.698849,16.577654,4.63583E+18,0.664196,0.205667,0.663923,-0.275228,0
-10.308113,-2.657527,-4.209985,-2.020724,0.172286,0.772928,42.530594,-18.72807,1.615919,4.63583E+18,0.711528,-0.213057,0.584068,0.327414,-9.259247,-0.609339,3.009039,-1.276231,-0.991127,-0.084533,44.448204,-14.45133,-0.363213,4.63583E+18,0.587974,-0.513744,0.463802,0.418619,-9.442267,-1.730314,1.771248,-2.920804,-1.17343,-3.945029,38.701678,18.309165,16.647657,4.63583E+18,0.66529,0.185199,0.667236,-0.279081,0
