Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-9.397449,0.749313,0.647151,0.171775,-0.122274,0.205548,44.292487,0.304552,13.889615,4635731894808346600.000000,-0.732774,-0.122658,-0.655980,0.132992,-9.354986,-0.638487,0.093269,-0.950694,-0.115348,-0.331138,42.668783,-16.732441,8.496353,4635727706678362100.000000,-0.591549,0.423272,-0.579395,-0.367712,-9.520440,-0.896577,-2.185125,-0.013356,0.004955,-0.130287,40.003662,20.646820,8.270874,4635729747324698600.000000,-0.437796,-0.529272,-0.574780,0.444785,0
-9.336254,0.825125,0.590934,0.165999,-0.092788,0.194614,44.571480,0.517370,13.879818,4635731894808346600.000000,-0.733040,-0.123633,-0.655516,0.132913,-9.346755,-0.837843,0.276303,-0.927202,-0.123881,-0.322251,42.697591,-16.679358,8.496353,4635727706678362100.000000,-0.590705,0.426153,-0.577096,-0.369354,-9.414993,-0.715227,-2.177330,-0.013230,0.005341,-0.119902,39.902319,20.539321,8.239997,4635729747324698600.000000,-0.437596,-0.528961,-0.575076,0.444969,0
-9.328865,0.868970,0.563949,0.161741,-0.068179,0.194839,44.598955,0.537782,13.901496,4635731894808346600.000000,-0.733240,-0.124610,-0.655129,0.132809,-9.363078,-1.008950,0.459544,-0.905107,-0.137759,-0.304119,42.668773,-16.683476,8.399280,4635727706678362100.000000,-0.589896,0.428907,-0.574818,-0.371007,-9.422061,-0.606986,-2.188510,-0.027323,0.007387,-0.110289,39.837167,20.656560,8.177630,4635729610181630000.000000,-0.437439,-0.528651,-0.575382,0.445097,0
-9.331435,0.932581,0.566520,0.152352,-0.063808,0.190369,44.471569,0.293622,13.992093,4635731894808346600.000000,-0.733429,-0.125548,-0.654761,0.132690,-9.334765,-1.090430,0.601914,-0.885552,-0.150950,-0.278124,42.782537,-16.703625,8.110346,4635727706678362100.000000,-0.589104,0.431523,-0.572576,-0.372694,-9.487508,-0.644936,-2.205128,-0.040616,0.007181,-0.106133,39.879530,20.794947,8.079974,4635729532576333800.000000,-0.437320,-0.528326,-0.575702,0.445185,0
-9.297227,0.940143,0.544346,0.140589,-0.086490,0.180126,44.502859,0.112101,13.960974,4635731894808346600.000000,-0.733681,-0.126409,-0.654336,0.132583,-9.245276,-1.151387,0.768686,-0.848930,-0.158780,-0.258512,42.896816,-16.760765,7.857905,4635727706678362100.000000,-0.588357,0.433985,-0.570399,-0.374351,-9.493979,-0.827288,-2.201746,-0.036678,0.007773,-0.100973,39.906002,20.771271,8.044679,4635729532576333800.000000,-0.437200,-0.528022,-0.576004,0.445272,0
-9.255964,0.883920,0.578562,0.132481,-0.089800,0.167729,44.582130,0.170904,13.777517,4635731894808346600.000000,-0.733938,-0.127210,-0.653910,0.132492,-9.147629,-1.200448,0.907310,-0.800842,-0.166617,-0.250314,42.925111,-16.732469,7.694948,4635727706678362100.000000,-0.587695,0.436291,-0.568284,-0.375923,-9.469563,-0.962322,-2.181744,-0.019086,0.010591,-0.086675,39.703345,20.833912,8.052473,4635729532576333800.000000,-0.437061,-0.527790,-0.576248,0.445369,0
-9.150914,0.856925,0.600569,0.121378,-0.058885,0.155995,44.354833,0.156464,13.728167,4635731894808346600.000000,-0.734110,-0.127962,-0.653591,0.132391,-9.078265,-1.147729,0.927840,-0.775822,-0.172319,-0.243558,43.034829,-16.647009,7.564935,4635727706678362100.000000,-0.587074,0.438505,-0.566201,-0.377457,-9.421767,-0.934241,-2.157330,-0.002202,0.014478,-0.070563,39.588608,21.089513,8.111444,4635729532576333800.000000,-0.436906,-0.527634,-0.576432,0.445469,0
-9.077497,0.876347,0.598343,0.108351,-0.015454,0.139975,44.258692,0.095254,13.787329,4635731894808346600.000000,-0.734161,-0.128654,-0.653421,0.132279,-9.049887,-1.054038,0.850792,-0.787523,-0.170224,-0.231115,43.197563,-16.585818,7.341325,4635727706678362100.000000,-0.586401,0.440716,-0.564119,-0.379042,-9.423078,-0.918933,-2.171881,0.014114,0.015340,-0.056975,39.791216,21.157505,8.321567,4635729532576333800.000000,-0.436737,-0.527542,-0.576557,0.445581,0
-9.053082,0.922772,0.532495,0.094676,0.006798,0.123111,44.402957,0.085452,13.689670,4635731894808346600.000000,-0.734149,-0.129271,-0.653334,0.132171,-8.964604,-1.017256,0.679983,-0.814225,-0.154917,-0.213665,43.283574,-16.553403,7.088870,4635727706678362100.000000,-0.585607,0.442971,-0.562058,-0.380699,-9.436323,-0.935556,-2.185125,0.029841,0.016318,-0.045520,39.913795,20.936191,8.485452,4635729532576333800.000000,-0.436553,-0.527508,-0.576630,0.445707,0
-9.043100,0.947367,0.475909,0.079543,0.022142,0.104079,44.488407,0.102290,13.611255,4635731894808346600.000000,-0.734093,-0.129798,-0.653313,0.132070,-8.842448,-1.077965,0.484665,-0.833855,-0.140310,-0.197290,43.169829,-16.476117,6.921844,4635727706678362100.000000,-0.584709,0.445252,-0.560025,-0.382411,-9.428530,-0.932177,-2.177333,0.040704,0.016409,-0.033476,39.762357,20.872586,8.403878,4635729532576333800.000000,-0.436368,-0.527522,-0.576656,0.445838,0
-9.099144,0.932573,0.524918,0.056028,0.046724,0.088509,44.557022,0.170904,13.630496,4635731894808346600.000000,-0.733974,-0.130225,-0.653388,0.131940,-8.760957,-1.180077,0.325726,-0.836013,-0.130682,-0.178785,43.112089,-16.447246,6.787734,4635727706678362100.000000,-0.583748,0.447505,-0.558039,-0.384149,-9.431907,-0.951136,-2.219664,0.050611,0.019431,-0.019978,39.720809,21.047106,8.275327,4635729532576333800.000000,-0.436178,-0.527593,-0.576640,0.445961,0
-9.186994,0.956986,0.512897,0.038907,0.063231,0.066501,44.540192,0.154074,13.728148,4635731894808346600.000000,-0.733807,-0.130548,-0.653535,0.131822,-8.716173,-1.151709,0.236240,-0.838812,-0.127463,-0.155303,43.230454,-16.556934,6.604637,4635727706678362100.000000,-0.582729,0.449709,-0.556092,-0.385941,-9.444114,-0.925427,-2.269537,0.061975,0.024090,-0.009500,39.747307,21.131016,8.294538,4635729532576333800.000000,-0.435971,-0.527718,-0.576587,0.446082,0
-9.277445,0.974187,0.461476,0.031413,0.063247,0.047046,44.457139,0.071021,13.789737,4635731894808346600.000000,-0.733633,-0.130795,-0.653696,0.131743,-8.703791,-1.118953,0.114346,-0.857669,-0.129592,-0.130360,43.210343,-16.634826,6.385175,4635727706678362100.000000,-0.581631,0.451893,-0.554150,-0.387835,-9.487486,-0.825437,-2.298367,0.064862,0.025636,-0.002319,39.700559,21.029731,8.395569,4635729669634955300.000000,-0.435768,-0.527869,-0.576517,0.446194,0
-9.338475,0.949963,0.466096,0.029892,0.058554,0.030605,44.429575,0.026630,13.737947,4635731894808346600.000000,-0.733464,-0.130991,-0.653853,0.131712,-8.728293,-1.127211,-0.076738,-0.881512,-0.130683,-0.110782,43.153172,-16.525148,6.152804,4635727706678362100.000000,-0.580452,0.454080,-0.552196,-0.389829,-9.509567,-0.687787,-2.299409,0.056590,0.022909,0.001363,39.728596,20.871042,8.372991,4635729747324698600.000000,-0.435596,-0.528008,-0.576449,0.446285,0
