Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,Accelerometer-X,Accelerometer-Y,Accelerometer-Z,Gyroscope-X,Gyroscope-Y,Gyroscope-Z,Magnetometer-X,Magnetometer-Y,Magnetometer-Z,Barometer-pressure,Orientation-S,Orientation-X,Orientation-Y,Orientation-Z,jump
-12.299469,1.301807,2.289034,0.427651,-0.56341,0.05932,44.326478,-5.835045,13.974404,4.63583E+18,-0.742724,0.069574,-0.659712,-0.091106,-10.359807,0.447395,-0.748301,0.050408,-0.339332,0.069295,41.315271,-20.013353,10.742515,4.63583E+18,-0.624174,0.280613,-0.662537,-0.304479,-14.904307,0.140501,-1.320066,-0.136161,0.158931,-0.363998,39.065062,24.151245,2.673421,4.63583E+18,-0.450837,-0.490213,-0.523908,0.530997,0
-12.816824,2.234358,1.87785,0.429412,-0.809653,-0.041081,44.607309,-5.889185,13.470826,4.63583E+18,-0.745069,0.068104,-0.657359,-0.09007,-10.589756,0.66611,-0.826213,0.034389,-0.336722,0.055582,41.32206,-20.098785,10.742515,4.63583E+18,-0.625077,0.279953,-0.661766,-0.30491,-13.798831,-4.225162,-1.24546,-0.328946,0.113029,-0.381428,38.906385,24.224481,2.680078,4.63583E+18,-0.450409,-0.488994,-0.525634,0.530778,0
-13.16334,3.20605,2.539437,0.524368,-0.944115,-0.130824,44.771432,-5.755326,12.997653,4.63583E+18,-0.747835,0.066496,-0.654592,-0.08849,-10.709346,0.402748,-0.459359,0.039994,-0.322704,0.052509,41.243416,-20.105593,10.56276,4.63583E+18,-0.625951,0.279305,-0.661033,-0.305301,-12.398318,-3.491064,0.046344,-0.063365,0.136186,-0.268444,38.758507,24.303549,2.777737,4.63583E+18,-0.449638,-0.488571,-0.526583,0.530881,0
-12.458456,3.721379,3.309664,0.548015,-0.762234,-0.202874,44.844678,-5.498759,12.915327,4.63583E+18,-0.750125,0.065069,-0.652369,-0.086561,-10.66192,0.389666,-0.292427,0.055337,-0.289068,0.060204,41.090539,-20.184246,10.277532,4.63583E+18,-0.626739,0.278638,-0.660416,-0.30563,-10.571928,-2.290287,-0.514088,0.164471,0.292526,-0.302213,38.764331,24.457253,2.887876,4.63583E+18,-0.447983,-0.488845,-0.527389,0.531227,0
-11.259934,3.304361,3.296421,0.497219,-0.354229,-0.24991,44.886623,-5.444396,12.969479,4.63583E+18,-0.751301,0.064076,-0.651383,-0.084511,-10.376193,0.300759,-0.145953,0.080205,-0.243993,0.073664,41.077911,-20.112401,10.085697,4.63583E+18,-0.627414,0.277926,-0.659963,-0.305873,-9.269245,-1.849786,-0.823533,0.148669,0.330624,-0.29831,38.843956,24.53688,3.14951,4.63583E+18,-0.446285,-0.48918,-0.528292,0.531451,0
-10.474611,2.118745,2.766853,0.467227,-0.089947,-0.268406,44.850111,-5.420307,12.887797,4.63583E+18,-0.75175,0.063343,-0.651201,-0.082442,-10.071045,0.158178,0.191485,0.049811,-0.194136,0.095412,41.223944,-19.948327,10.071108,4.63583E+18,-0.627888,0.277296,-0.659626,-0.306199,-9.651903,-1.283691,-0.197885,0.139412,0.281962,-0.259437,38.833158,24.53605,3.142865,4.63583E+18,-0.444796,-0.489475,-0.529043,0.531681,0
-10.040164,1.151744,2.074292,0.467558,-0.139975,-0.251076,44.837677,-5.186832,12.680285,4.63583E+18,-0.752325,0.062541,-0.650865,-0.080434,-9.631064,0.090323,0.635362,-0.050309,-0.142951,0.134552,41.326473,-20.159353,9.981242,4.63583E+18,-0.628055,0.276886,-0.659339,-0.306843,-9.574259,-1.488722,0.222059,0.177843,0.31352,-0.273831,38.680278,24.530486,3.058494,4.63583E+18,-0.443127,-0.489877,-0.529795,0.531956,0
-9.543677,0.480684,1.891685,0.472848,-0.301813,-0.18796,44.881408,-5.005035,12.524911,4.63583E+18,-0.753316,0.061491,-0.650037,-0.078645,-9.437754,-0.06058,1.210601,-0.261227,-0.095611,0.193817,41.3455,-20.560767,9.984682,4.63583E+18,-0.627772,0.276926,-0.658975,-0.308167,-9.299766,-1.628135,-0.468852,0.194964,0.347818,-0.293741,38.595461,24.625023,3.162753,4.63583E+18,-0.441301,-0.490341,-0.530611,0.532233,0
-8.943413,0.006993,2.233474,0.489512,-0.371871,-0.110871,44.910917,-4.937246,12.429035,4.63583E+18,-0.75447,0.060167,-0.649009,-0.077082,-9.278101,0.050306,1.437072,-0.408515,-0.065325,0.260591,41.267853,-20.526498,9.895801,4.63583E+18,-0.627148,0.277205,-0.658576,-0.310033,-9.448739,-1.370748,-1.233364,0.13055,0.310939,-0.293668,38.35711,24.834825,3.332413,4.63583E+18,-0.439686,-0.490603,-0.531499,0.532441,0
-8.676032,0.046918,2.366716,0.490436,-0.39163,-0.056068,44.954653,-4.773356,12.319181,4.63583E+18,-0.755654,0.058691,-0.647929,-0.0757,-9.063248,-0.141134,2.092891,-0.385385,-0.082676,0.297418,41.182401,-20.284779,9.786911,4.63583E+18,-0.626549,0.277299,-0.658201,-0.311952,-9.616123,-1.615101,-1.560686,0.155786,0.28487,-0.293831,38.214137,24.908896,3.16089,4.63583E+18,-0.438076,-0.490851,-0.532282,0.532757,0
