Format=7,6257,,,Waist,,,,,,,,,,,6260,,,Right Wrist,,,,,,,,,,,6271,,,Left Wrist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1557500848361000,-9.549677,0.623449,3.088473,-0.102161,0.141758,-0.002543,48.677602,14.092866,-14.990691,4635495878839238700.000000,-0.480619,-0.500718,-0.313618,0.648020,-9.449781,2.862949,1.421850,0.193488,0.115113,0.252973,50.176503,-6.817986,10.708395,4635492120742854700.000000,0.748608,-0.108463,0.629049,0.179219,9.394094,-6.768596,2.341106,-0.628449,-0.312492,0.329273,-29.701957,32.577122,-29.168188,4635491798620307500.000000,0.788598,-0.376438,-0.484873,-0.036142,-9.363311,0.950557,0.571523,-0.353044,0.236653,0.054265,49.954053,13.918898,17.418056,4635492228117037100.000000,-0.637879,-0.283464,-0.651936,0.296205,-8.109724,3.799475,-0.479722,-0.318105,-0.130238,0.185804,53.639168,1.977295,-3.955550,4635493946103955500.000000,-0.141964,-0.782414,-0.148687,0.587849
1557500848369333,-9.457541,0.712971,3.104459,-0.099974,0.192266,-0.024923,48.827578,13.971954,-14.968893,4635495878839238700.000000,-0.480453,-0.501049,-0.314334,0.647541,-9.524277,2.855907,1.422475,0.058052,0.146596,0.265174,49.987440,-6.940222,10.850970,4635492120742854700.000000,0.748128,-0.107772,0.629590,0.179741,9.217701,-6.351078,2.097984,-0.606366,-0.274542,0.285626,-29.772531,32.638577,-28.945869,4635491798620307500.000000,0.787092,-0.379004,-0.485325,-0.036074,-9.859835,0.686928,1.371607,-0.627558,0.265798,-0.000878,49.845294,13.647877,17.611201,4635492228117037100.000000,-0.637985,-0.282279,-0.653295,0.294108,-9.177776,-0.930284,-2.827312,-0.302319,-0.102599,0.129361,53.639332,2.062877,-3.857739,4635493946103955500.000000,-0.143304,-0.782183,-0.149044,0.587741
1557500848377666,-9.251759,0.640310,3.247456,-0.099084,0.230517,-0.052415,48.883969,14.132101,-14.774160,4635495878839238700.000000,-0.480160,-0.501449,-0.315181,0.647037,-9.596267,2.805831,1.434682,-0.071637,0.175325,0.273610,49.997604,-6.856193,10.982743,4635492120742854700.000000,0.747507,-0.107483,0.630125,0.180617,9.036392,-5.988350,1.892262,-0.643073,-0.223038,0.249565,-30.293728,33.126740,-28.599375,4635491732621200400.000000,0.785620,-0.381606,-0.485656,-0.036280,-9.394719,0.074288,0.786015,-0.821496,0.316910,0.002087,49.533065,13.589331,17.831160,4635492247189743600.000000,-0.638177,-0.280647,-0.655017,0.291411,-8.936347,-0.270013,-2.089074,-0.260718,-0.122793,0.126048,53.480976,2.050870,-3.760091,4635493946103955500.000000,-0.144510,-0.781924,-0.149299,0.587725
1557500848385999,-9.255522,0.513569,3.375113,-0.055393,0.214501,-0.059487,48.735449,14.272499,-14.515196,4635495878839238700.000000,-0.479777,-0.501884,-0.315893,0.646636,-9.619433,2.713345,1.427644,-0.184652,0.197536,0.282825,49.993241,-6.948314,11.029700,4635492120742854700.000000,0.746770,-0.107539,0.630647,0.181809,8.887104,-5.930894,1.756076,-0.688759,-0.172580,0.206349,-30.234272,33.443467,-28.257567,4635491559247909900.000000,0.784164,-0.384257,-0.485879,-0.036803,-9.808836,0.335556,0.292346,-1.002742,0.301504,0.008333,49.344493,13.201134,18.221827,4635492335491219500.000000,-0.638623,-0.278526,-0.656899,0.288216,-9.715499,0.023817,-2.733138,-0.275552,-0.118573,0.035434,53.419722,2.123939,-3.479683,4635493946103955500.000000,-0.145540,-0.781610,-0.149887,0.587740
1557500848394332,-9.376142,0.635047,2.921400,-0.040613,0.159466,-0.047611,48.689788,14.188501,-14.429151,4635495891607154700.000000,-0.479467,-0.502217,-0.316430,0.646344,-9.580948,2.584243,1.422473,-0.273320,0.219622,0.292329,49.875723,-7.316378,11.048321,4635492120742854700.000000,0.745927,-0.107861,0.631171,0.183254,8.728419,-5.922498,1.731544,-0.740839,-0.127966,0.162147,-30.139062,33.906958,-28.028324,4635491476497760300.000000,0.782701,-0.386977,-0.486014,-0.037648,-9.296801,0.150910,1.223813,-1.135222,0.270729,-0.007856,49.311173,12.628727,18.577731,4635492335491219500.000000,-0.639274,-0.275966,-0.658863,0.284730,-9.631836,-0.450589,-4.062032,-0.310751,-0.089790,0.022460,53.407418,2.282423,-3.479110,4635493946103955500.000000,-0.146633,-0.781336,-0.150622,0.587644
1557500848402665,-9.478746,0.842548,2.614072,-0.063464,0.111120,-0.036190,48.848464,14.132666,-14.429151,4635495986213421100.000000,-0.479299,-0.502390,-0.316909,0.646100,-9.514122,2.450590,1.428266,-0.347308,0.248062,0.297560,49.722830,-7.590929,11.066321,4635492120742854700.000000,0.744969,-0.108421,0.631727,0.184897,8.697268,-5.675793,1.783173,-0.836842,-0.097957,0.107847,-30.326759,34.396407,-27.869623,4635491476497760300.000000,0.781127,-0.389890,-0.486119,-0.038914,-9.709430,-1.322522,0.905144,-1.161784,0.213440,-0.008855,49.069216,12.473007,18.753530,4635492335491219500.000000,-0.640099,-0.273258,-0.660690,0.281233,-9.363658,0.340093,-3.699634,-0.464312,-0.114239,-0.006347,53.261219,2.197517,-3.479110,4635493946103955500.000000,-0.148169,-0.780889,-0.151812,0.587547
1557500848410998,-9.507286,1.021075,2.846821,-0.117081,0.091391,-0.036263,48.988308,14.207352,-14.440741,4635495986213421100.000000,-0.479269,-0.502403,-0.317493,0.645825,-9.504390,2.354174,1.460330,-0.410000,0.276231,0.301326,49.609033,-7.711139,11.078528,4635492120742854700.000000,0.743904,-0.109186,0.632319,0.186704,8.746100,-5.492436,1.836709,-0.954922,-0.063462,0.040395,-29.828076,34.119253,-27.680906,4635491476497760300.000000,0.779409,-0.393038,-0.486195,-0.040696,-9.908870,-0.959578,1.168159,-1.218187,0.224126,-0.004772,48.852444,12.298722,18.860649,4635492316433687600.000000,-0.640948,-0.270416,-0.662591,0.277550,-9.740690,-0.462141,-2.980162,-0.507278,-0.126016,-0.029857,53.175634,2.282600,-3.381662,4635493946103955500.000000,-0.149794,-0.780369,-0.153176,0.587472
1557500848419331,-9.376522,0.996043,3.102535,-0.141721,0.121787,-0.044935,48.969476,14.282661,-14.526810,4635495986213421100.000000,-0.479227,-0.502439,-0.318222,0.645470,-9.502538,2.287346,1.495715,-0.464925,0.301304,0.305037,49.612738,-7.790173,10.988141,4635492120742854700.000000,0.742740,-0.110130,0.632943,0.188655,8.854946,-5.701496,1.757992,-1.047709,-0.024022,-0.004907,-29.103845,33.566032,-27.323344,4635491476497760300.000000,0.777599,-0.396381,-0.486193,-0.042879,-9.970700,-0.116418,0.918463,-1.413761,0.268618,-0.006118,48.718953,11.714934,19.048675,4635492228117037100.000000,-0.641875,-0.267092,-0.664816,0.273273,-8.438450,2.130056,-1.456342,-0.479665,-0.104730,0.038289,53.102379,2.428922,-3.198779,4635493946103955500.000000,-0.151481,-0.779959,-0.154264,0.587299
1557500848427664,-9.201487,1.033916,2.816825,-0.177616,0.133105,-0.052394,48.829613,14.282661,-14.503652,4635495986213421100.000000,-0.479225,-0.502423,-0.319086,0.645057,-9.491564,2.251958,1.539978,-0.513280,0.327553,0.312168,49.692388,-7.946760,10.958913,4635492120742854700.000000,0.741476,-0.111224,0.633609,0.190743,9.068927,-6.289911,1.576812,-1.061353,0.020579,-0.059341,-29.040240,33.627284,-26.879226,4635491476497760300.000000,0.775832,-0.399641,-0.486124,-0.045341,-9.990951,-0.708407,0.416049,-1.426676,0.239337,-0.027411,48.632714,11.156362,19.148499,4635492228117037100.000000,-0.642852,-0.263630,-0.666977,0.269039,-9.945401,-2.101685,-3.705630,-0.506238,-0.107875,-0.038269,53.175274,2.514520,-3.100915,4635493946103955500.000000,-0.153067,-0.779472,-0.155663,0.587165
