Format=7,6257,Unnamed: 2,Unnamed: 3,Waist,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,6280,Unnamed: 44,Unnamed: 45,Right Foot,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,6283,Unnamed: 58,Unnamed: 59,Left Foot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1619714315002633,-9.696197,-1.162688,2.172651,0.574090,0.249611,-0.039829,44.019897,-15.770632,-3.475058,4635829500624502800.000000,0.359784,-0.580402,0.680410,0.265954,-9.692678,-1.349557,0.380523,-0.032818,0.029613,0.022909,43.875040,-11.527976,-10.655324,4635825957276483600.000000,-0.131940,0.713223,-0.418175,-0.546841,-9.657620,-1.618263,-0.427259,-0.005122,-0.007340,-0.001397,38.709675,20.667133,13.910490,4635826708895760400.000000,-0.588582,-0.273677,-0.669066,0.361970
1619714315010966,-9.883087,-1.141260,1.745728,0.567332,0.229443,-0.036009,43.955344,-15.646375,-3.218178,4635829500624502800.000000,0.361444,-0.579030,0.681581,0.263686,-9.696050,-1.353742,0.343899,-0.032044,0.028545,0.020773,43.795170,-11.451356,-10.495806,4635825957276483600.000000,-0.132885,0.712736,-0.418511,-0.546990,-9.638528,-1.616698,-0.411297,-0.017336,-0.008545,-0.005998,38.709675,20.699057,13.897968,4635826708895760400.000000,-0.588611,-0.273592,-0.669085,0.361954
1619714315019299,-9.982930,-1.098406,1.353197,0.525539,0.166789,-0.026919,43.943665,-15.809891,-3.066524,4635829662832441300.000000,0.363163,-0.577619,0.682629,0.261700,-9.681292,-1.325140,0.317392,-0.032929,0.026002,0.019227,43.957216,-11.409730,-10.452086,4635825927630696400.000000,-0.133833,0.712248,-0.418837,-0.547144,-9.621000,-1.596981,-0.364033,-0.030154,-0.009011,-0.011010,38.746920,20.745699,13.990307,4635826708895760400.000000,-0.588647,-0.273460,-0.669127,0.361916
1619714315027632,-9.960978,-1.095680,1.278791,0.458911,0.105162,-0.010850,43.946651,-15.998725,-3.177966,4635829715372867600.000000,0.364870,-0.576195,0.683541,0.260077,-9.622803,-1.346184,0.300546,-0.035544,0.019299,0.019227,44.057347,-11.486337,-10.522781,4635825849902301200.000000,-0.134784,0.711748,-0.419150,-0.547322,-9.596586,-1.583828,-0.329600,-0.040178,-0.005889,-0.017007,38.832369,20.683425,14.123635,4635826708895760400.000000,-0.588678,-0.273292,-0.669199,0.361860
1619714315035965,-9.912146,-1.126332,1.420105,0.409676,0.056095,0.004081,43.882098,-15.975975,-3.222754,4635829715372867600.000000,0.366577,-0.574747,0.684357,0.258734,-9.665335,-1.368499,0.283310,-0.033074,0.011527,0.019816,43.995480,-11.504402,-10.468871,4635825849902301200.000000,-0.135755,0.711227,-0.419468,-0.547516,-9.572172,-1.611377,-0.361519,-0.034484,0.001259,-0.024759,38.875261,20.663048,14.191274,4635826708895760400.000000,-0.588671,-0.273127,-0.669288,0.361831
1619714315044298,-9.881763,-1.153730,1.630862,0.381737,0.023885,0.015545,43.925744,-15.890531,-3.084444,4635829715372867600.000000,0.368292,-0.573269,0.685117,0.257563,-9.767191,-1.410589,0.364122,-0.022209,0.004751,0.021068,44.015694,-11.365924,-10.300511,4635825849902301200.000000,-0.136766,0.710682,-0.419808,-0.547711,-9.574357,-1.669898,-0.434765,-0.001483,0.010790,-0.030565,38.831133,20.853667,14.051053,4635826708895760400.000000,-0.588590,-0.273041,-0.669358,0.361898
1619714315052631,-9.838908,-1.168924,1.767605,0.368727,0.000148,0.026226,44.001975,-15.740539,-2.901338,4635829715372867600.000000,0.370028,-0.571748,0.685851,0.256499,-9.795809,-1.401323,0.394005,-0.011897,0.003204,0.019116,44.072093,-11.347838,-10.283691,4635825849902301200.000000,-0.137814,0.710132,-0.420164,-0.547888,-9.626931,-1.777570,-0.444177,0.047974,0.021088,-0.037438,38.782921,20.883473,13.903625,4635826708895760400.000000,-0.588415,-0.273073,-0.669386,0.362108
1619714315060964,-9.780858,-1.162690,1.886692,0.363954,-0.015829,0.034487,43.964574,-15.827806,-2.847312,4635829715372867600.000000,0.371785,-0.570191,0.686571,0.255498,-9.761290,-1.313767,0.379269,0.003942,0.002320,0.013075,44.060726,-11.509902,-10.448698,4635825849902301200.000000,-0.138923,0.709582,-0.420537,-0.548035,-9.684217,-1.786997,-0.381573,0.079233,0.022569,-0.044450,38.788238,20.683455,13.897945,4635826708895760400.000000,-0.588189,-0.273164,-0.669379,0.362420
