Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61971E+15,-10.824427,-0.951293,-0.281474,0.142993,-0.552503,0.140624,42.787652,-17.059936,-7.770103,4.63583E+18,0.482217,-0.557437,0.448341,0.505689,-12.526993,-7.406059,-3.078847,-0.539859,0.339441,0.547265,40.690729,9.583544,-18.701742,4.63582E+18,-0.109706,0.714942,0.070999,-0.686863,-9.538047,-1.519722,-2.682919,-0.24993,-0.204745,0.039759,38.242886,-7.298672,26.469529,4.63583E+18,0.598771,-0.304053,0.727235,0.141969
1.61971E+15,-10.725426,-0.926875,0.032404,0.168243,-0.559787,0.159271,42.484425,-17.227752,-7.945464,4.63583E+18,0.483329,-0.555594,0.447976,0.506977,-11.716579,-1.481561,-2.265119,0.056632,0.472074,0.648943,40.967314,9.419564,-18.584046,4.63582E+18,-0.108198,0.716402,0.068706,-0.685814,-9.65179,-1.419944,-2.431806,-0.218989,-0.210917,0.056272,38.38937,-7.275612,26.131613,4.63583E+18,0.599081,-0.304314,0.726657,0.143054
1.61971E+15,-10.588949,-0.898924,0.250341,0.182266,-0.562659,0.162358,42.560759,-17.315849,-8.237964,4.63583E+18,0.48447,-0.553707,0.44764,0.508248,-10.962879,-0.189148,-1.191298,0.223089,0.375438,0.47319,40.992838,9.253967,-18.383469,4.63582E+18,-0.10766,0.717454,0.066504,-0.685015,-9.552398,-1.349404,-2.39168,-0.195896,-0.211493,0.067123,38.428905,-7.329089,25.892493,4.63583E+18,0.599414,-0.304484,0.726104,0.144097
1.61971E+15,-10.400266,-0.778628,0.41858,0.170467,-0.586901,0.162474,42.702237,-17.463061,-8.501504,4.63583E+18,0.485625,-0.551788,0.447227,0.509594,-11.810021,-1.826873,-0.34295,0.028982,0.372746,0.41314,40.914311,9.034621,-18.243527,4.63582E+18,-0.106712,0.718566,0.065036,-0.684139,-9.375892,-1.360638,-2.404858,-0.179214,-0.220851,0.078787,38.366523,-7.464709,25.843073,4.63583E+18,0.59979,-0.304571,0.725552,0.14513
1.61971E+15,-10.398231,-0.718202,0.519346,0.12687,-0.663452,0.165873,42.38437,-17.310099,-8.31678,4.63583E+18,0.486812,-0.549785,0.446571,0.5112,-15.057028,-1.673904,1.553689,0.090413,0.337279,0.557528,40.931041,8.833638,-18.256606,4.63582E+18,-0.105525,0.719583,0.062977,-0.683446,-9.130408,-1.340495,-2.41377,-0.16348,-0.22821,0.090045,38.405832,-7.569932,25.843073,4.63583E+18,0.6002,-0.30458,0.725004,0.146153
1.61971E+15,-10.657503,-1.00594,0.726586,0.033672,-0.838851,0.174839,42.072425,-17.316251,-8.428041,4.63583E+18,0.488088,-0.547574,0.445376,0.513394,-16.298257,0.529564,3.360476,0.278742,0.278896,0.594187,41.161816,8.66803,-18.291977,4.63583E+18,-0.104781,0.720356,0.060297,-0.682988,-9.147006,-1.392986,-2.72896,-0.14044,-0.242128,0.096828,38.491285,-7.646472,25.843073,4.63583E+18,0.600677,-0.304501,0.724442,0.147141
1.61971E+15,-10.652129,-1.477195,1.564405,-0.005622,-0.868334,0.195249,42.224967,-17.484078,-8.897099,4.63583E+18,0.489278,-0.545335,0.444079,0.515763,-13.992173,1.960665,2.169433,0.154881,0.324236,0.464573,41.593589,8.317196,-18.113679,4.63583E+18,-0.104045,0.721275,0.058338,-0.6823,-9.518555,-1.567532,-2.969068,-0.114027,-0.270911,0.108405,38.451986,-7.612788,25.843073,4.63583E+18,0.601265,-0.304303,0.723838,0.148115
1.61971E+15,-10.183482,-1.8089,1.9326,0.076338,-0.627692,0.218134,42.207468,-17.56954,-9.167319,4.63583E+18,0.490156,-0.543397,0.443495,0.517474,-11.256635,0.778507,0.239488,-0.058278,0.347213,0.355411,41.955737,7.870337,-17.753049,4.63583E+18,-0.102983,0.722322,0.057303,-0.681441,-9.857684,-1.552306,-2.747934,-0.094341,-0.285312,0.124629,38.428905,-7.646464,25.709426,4.63583E+18,0.601912,-0.303998,0.723229,0.149087
1.61971E+15,-9.917148,-1.862899,1.69102,0.177253,-0.353575,0.224003,42.060217,-17.654542,-9.159068,4.63583E+18,0.49074,-0.541831,0.4437,0.518387,-9.452678,-1.601971,-0.307187,-0.083744,0.345586,0.334092,41.879763,7.642196,-17.634052,4.63583E+18,-0.101904,0.723367,0.056405,-0.680569,-9.856648,-1.267572,-2.27484,-0.090504,-0.291229,0.151852,38.482359,-7.719702,25.446152,4.63583E+18,0.602563,-0.303596,0.722641,0.150124
