Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618504897209133,-9.704885,0.054177,-0.360874,-0.030420,0.008677,0.000556,41.422548,-1.469229,20.488054,4635731250563252200.000000,0.703400,-0.020609,0.709383,0.039741,-9.582667,1.455209,-1.125610,0.003868,-0.007698,-0.008324,37.272021,-23.923692,14.935001,4635727384555814900.000000,0.519693,-0.385155,0.662290,0.378083,-9.814753,0.100135,-0.012207,-0.004706,0.001811,0.006935,42.228949,16.585081,6.799524,4635729210453786600.000000,0.609235,0.441345,0.484412,-0.446533
1618504897217466,-9.699035,0.090795,-0.324256,-0.033024,0.005341,-0.001536,41.587076,-1.513718,20.339561,4635731250563252200.000000,0.703358,-0.020835,0.709419,0.039716,-9.592637,1.382117,-1.125463,0.000000,-0.007685,-0.008975,37.208164,-23.987547,14.856410,4635727512879171600.000000,0.519699,-0.385277,0.662281,0.377966,-9.781843,0.174446,-0.001238,-0.008112,-0.000743,0.005557,42.303432,16.500868,6.887280,4635729210453786600.000000,0.609364,0.441241,0.484412,-0.446460
1618504897225799,-9.751181,0.109867,-0.240832,-0.038320,0.011483,-0.001669,41.635123,-1.472766,20.335506,4635731250563252200.000000,0.703298,-0.021077,0.709472,0.039706,-9.575518,1.306349,-1.171754,0.003191,-0.008545,-0.005993,37.208164,-23.892737,14.965807,4635727599304179700.000000,0.519708,-0.385382,0.662280,0.377848,-9.778130,0.172143,-0.010968,-0.009505,0.002771,0.007260,42.245049,16.349615,6.908151,4635729210453786600.000000,0.609491,0.441145,0.484419,-0.446374
1618504897234132,-9.838151,0.098167,-0.153355,-0.043705,0.020206,-0.001536,41.514578,-1.305425,20.427311,4635731250563252200.000000,0.703211,-0.021337,0.709550,0.039712,-9.585191,1.289071,-1.167152,0.008532,-0.007907,-0.001720,37.055003,-23.726744,14.981174,4635727599304179700.000000,0.519718,-0.385464,0.662295,0.377725,-9.756194,0.028319,-0.001239,-0.005775,0.003204,0.007477,42.029223,16.256730,6.909390,4635729210453786600.000000,0.609609,0.441061,0.484420,-0.446295
1618504897242465,-9.851884,0.126393,-0.210315,-0.045930,0.020384,-0.003716,41.467020,-1.136818,20.512756,4635731250563252200.000000,0.703124,-0.021609,0.709628,0.039718,-9.587726,1.403381,-1.132910,0.011320,-0.006201,0.000000,37.002861,-23.708999,14.941861,4635727471006591000.000000,0.519724,-0.385538,0.662321,0.377595,-9.775651,0.099952,-0.010968,-0.005341,0.004164,0.008437,42.005676,16.324830,6.821646,4635729210453786600.000000,0.609724,0.440984,0.484420,-0.446213
1618504897250798,-9.839167,0.223543,-0.351466,-0.047977,0.020206,-0.003249,41.505173,-1.057724,20.557266,4635731250563252200.000000,0.703038,-0.021885,0.709704,0.039732,-9.590103,1.564595,-1.174123,0.005369,-0.003427,-0.002552,37.190386,-23.845482,15.007486,4635727384555814900.000000,0.519718,-0.385636,0.662339,0.377472,-9.822002,0.252451,0.009729,-0.010139,0.003313,0.008545,42.071483,16.541899,6.899476,4635729210453786600.000000,0.609849,0.440895,0.484427,-0.446124
1618504897259131,-9.845015,0.239834,-0.473532,-0.050715,0.011174,-0.002136,41.470084,-1.054151,20.563115,4635731199124666400.000000,0.702977,-0.022163,0.709754,0.039757,-9.602311,1.587125,-1.208533,-0.000846,-0.000860,-0.007463,37.249865,-23.958054,14.935058,4635727384555814900.000000,0.519702,-0.385764,0.662345,0.377352,-9.783092,0.191796,0.001241,-0.012601,0.008002,0.005666,42.067952,16.565447,6.821656,4635729210453786600.000000,0.609962,0.440803,0.484454,-0.446029
1618504897267464,-9.839680,0.171929,-0.478652,-0.055876,-0.008231,-0.001113,41.426080,-1.174682,20.475917,4635731143189069800.000000,0.702974,-0.022450,0.709746,0.039802,-9.629101,1.504215,-1.186658,-0.000222,0.000000,-0.011527,37.118289,-23.943797,14.798077,4635727384555814900.000000,0.519692,-0.385903,0.662347,0.377221,-9.800063,0.161178,0.000000,-0.009939,0.004707,0.002462,42.132512,16.576413,6.636266,4635729210453786600.000000,0.610070,0.440708,0.484474,-0.445955
1618504897275797,-9.791876,0.099710,-0.321495,-0.060373,0.005467,0.000000,41.460651,-1.380156,20.292294,4635731143189069800.000000,0.702929,-0.022747,0.709777,0.039863,-9.621978,1.428438,-1.179201,0.001068,-0.005741,-0.013456,37.144241,-23.914303,14.875393,4635727384555814900.000000,0.519702,-0.386035,0.662336,0.377092,-9.824475,0.213523,-0.032896,-0.008654,0.003313,-0.001702,42.282505,16.643445,6.605447,4635729210453786600.000000,0.610168,0.440607,0.484494,-0.445898
