Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61972E+15,-8.636284,-0.214527,-0.945983,-0.765564,-0.199013,0.098293,38.120311,-6.289779,25.198502,4.63583E+18,0.631545,-0.183819,0.728014,0.193279,-9.767956,2.385316,0.393687,-0.380102,0.581174,-0.233339,36.945197,-28.287969,-0.183111,4.63582E+18,0.374775,-0.448782,0.509832,0.631039,-9.693367,0.250424,-0.219045,-0.408514,-0.670767,0.286294,41.031147,16.230948,5.173185,4.63583E+18,-0.606788,-0.352336,-0.623729,0.344427
1.61972E+15,-8.410724,-0.267754,-0.879742,-0.754325,-0.14307,0.061537,38.135929,-6.369661,25.015395,4.63583E+18,0.631302,-0.185613,0.727062,0.195925,-10.016676,1.813468,0.831023,-0.301766,0.573793,-0.225591,36.766692,-28.036224,-0.152091,4.63582E+18,0.373296,-0.451364,0.50949,0.63035,-9.786111,0.124595,-0.170221,-0.438299,-0.665886,0.285685,41.30938,15.952478,4.927696,4.63583E+18,-0.609478,-0.350886,-0.622341,0.343668
1.61972E+15,-8.547154,-0.348,-1.260498,-0.702167,-0.157206,0.043551,38.011072,-6.42989,25.053181,4.63583E+18,0.631146,-0.187324,0.72609,0.198385,-10.075539,1.661377,0.883615,-0.221619,0.566513,-0.199466,36.579986,-27.709802,-0.066639,4.63582E+18,0.371911,-0.453744,0.509391,0.629539,-9.945468,-0.087821,-0.08376,-0.456796,-0.652372,0.283578,41.461262,15.612254,4.590842,4.63583E+18,-0.612151,-0.349398,-0.621009,0.342842
1.61972E+15,-8.930078,-0.491047,-1.751305,-0.618381,-0.333368,0.04143,38.044444,-6.637547,25.006793,4.63583E+18,0.631582,-0.188683,0.724715,0.200728,-10.030144,1.59917,0.413238,-0.196729,0.554669,-0.183144,36.723037,-27.662972,0.058688,4.63582E+18,0.370613,-0.455967,0.509411,0.628682,-10.128591,0.067495,0.144974,-0.479525,-0.63534,0.278668,41.25033,15.77113,4.362957,4.63583E+18,-0.614798,-0.347859,-0.619753,0.341941
1.61972E+15,-9.395766,-0.563328,-1.240971,-0.59419,-0.523709,0.038297,38.254732,-7.016139,24.854121,4.63583E+18,0.632608,-0.189822,0.72285,0.203133,-9.82166,1.701048,-0.095181,-0.222904,0.55125,-0.17683,36.878567,-27.771843,0.249553,4.63582E+18,0.36919,-0.458255,0.509321,0.627927,-10.26778,0.518801,0.342822,-0.555448,-0.620387,0.272867,41.215576,15.760618,4.321421,4.63583E+18,-0.617502,-0.346126,-0.618644,0.340833
1.61972E+15,-9.478155,-0.54494,-0.36365,-0.650798,-0.437718,0.022261,38.431666,-7.171928,24.596788,4.63583E+18,0.633439,-0.190869,0.721239,0.205277,-9.517565,1.972951,-0.37605,-0.300451,0.568916,-0.176433,36.878567,-27.740839,0.401655,4.63582E+18,0.367574,-0.460708,0.50905,0.6273,-10.152199,0.719901,0.359615,-0.684484,-0.595008,0.269115,41.754454,15.100017,4.315149,4.63583E+18,-0.620313,-0.344082,-0.617781,0.339361
1.61972E+15,-9.463343,-0.661946,-0.478154,-0.69929,-0.229011,0.012278,38.398318,-7.190161,24.613694,4.63583E+18,0.633609,-0.192251,0.720123,0.207369,-9.320945,1.874957,-0.487215,-0.370061,0.585534,-0.173541,36.905143,-27.655384,0.463881,4.63582E+18,0.365778,-0.4633,0.508624,0.626786,-9.972778,0.501072,0.366893,-0.804627,-0.55482,0.267037,42.559807,14.216155,4.158699,4.63583E+18,-0.62318,-0.341773,-0.617184,0.337522
1.61972E+15,-9.844788,-0.782233,-0.849578,-0.744307,-0.174024,0.011522,38.255259,-7.190161,24.77856,4.63583E+18,0.633465,-0.194168,0.719009,0.209872,-9.320834,1.106061,-0.366454,-0.327446,0.581868,-0.14579,36.951809,-27.574368,0.565738,4.63582E+18,0.364055,-0.465707,0.508397,0.62619,-10.124613,0.242478,0.472156,-0.900637,-0.51874,0.269232,42.98954,13.68743,3.96607,4.63583E+18,-0.626083,-0.339263,-0.616802,0.335374
1.61972E+15,-10.121856,-0.767284,-0.966168,-0.774275,-0.213137,0.003349,38.288588,-7.247768,24.673633,4.63583E+18,0.633415,-0.196152,0.717752,0.212469,-9.397426,0.570397,-0.21303,-0.204803,0.559343,-0.108103,36.947381,-27.496698,0.8155,4.63582E+18,0.362515,-0.467785,0.508526,0.625429,-10.359811,0.289701,0.756242,-1.00127,-0.492067,0.266372,42.993477,13.618523,4.018896,4.63583E+18,-0.629042,-0.336513,-0.616622,0.33293
1.61972E+15,-9.938365,-0.612857,-1.302996,-0.786468,-0.183151,-0.013212,38.364433,-7.397806,24.192935,4.63583E+18,0.63327,-0.198244,0.71654,0.215032,-9.445177,0.816163,-0.390241,-0.109103,0.534003,-0.083527,36.997153,-27.442242,0.975387,4.63582E+18,0.361147,-0.4696,0.508909,0.624548,-10.293453,0.472147,1.152817,-1.127229,-0.46314,0.260599,43.001742,13.660085,4.164055,4.63583E+18,-0.632081,-0.33345,-0.616685,0.330129
1.61972E+15,-9.549396,-0.47775,-1.766036,-0.812653,-0.071174,-0.02885,38.380077,-7.635905,24.082599,4.63583E+18,0.632775,-0.20055,0.715579,0.217537,-9.429748,1.512927,-0.797513,-0.081837,0.513497,-0.074958,37.15585,-27.411252,1.108462,4.63582E+18,0.359849,-0.471301,0.509346,0.623659,-10.149959,0.380064,1.568506,-1.218816,-0.438777,0.269434,42.999419,13.5347,4.067362,4.63583E+18,-0.635178,-0.330191,-0.616909,0.327026
1.61972E+15,-9.34554,-0.595671,-1.771735,-0.820109,0.008285,-0.042964,38.255278,-7.87306,24.315603,4.63583E+18,0.63204,-0.202992,0.714799,0.219961,-9.273463,2.238928,-1.066471,-0.116276,0.512406,-0.082529,37.230433,-27.38778,1.299354,4.63582E+18,0.358502,-0.473065,0.509674,0.622831,-10.226173,0.006604,1.91392,-1.222568,-0.418397,0.291402,42.957851,13.296835,3.836756,4.63583E+18,-0.638239,-0.326995,-0.617144,0.323818
1.61972E+15,-9.448614,-0.903515,-1.544111,-0.817818,0.030829,-0.042571,38.288562,-8.181737,24.24382,4.63583E+18,0.631229,-0.205451,0.71407,0.22236,-9.06353,2.767313,-1.176062,-0.185374,0.524742,-0.094853,37.152764,-27.473228,1.451471,4.63582E+18,0.357021,-0.474989,0.509814,0.622102,-10.497043,-0.301883,2.120127,-1.220748,-0.408061,0.302257,43.127102,13.190264,3.835432,4.63583E+18,-0.641266,-0.323836,-0.617372,0.320563
1.61972E+15,-9.725103,-1.350915,-1.498901,-0.806215,0.012117,-0.03242,38.364421,-8.31939,24.140094,4.63583E+18,0.630464,-0.207831,0.713303,0.224766,-9.128555,3.035218,-1.536472,-0.275585,0.532031,-0.109619,37.129277,-27.527695,1.482739,4.63582E+18,0.355379,-0.477097,0.509698,0.621524,-10.719413,-0.484325,2.128387,-1.225456,-0.40581,0.299024,43.40654,13.196203,3.968719,4.63583E+18,-0.64427,-0.320648,-0.617598,0.317292
1.61972E+15,-9.943892,-1.750194,-1.376747,-0.766298,0.004729,-0.028229,38.380077,-8.337656,24.189009,4.63583E+18,0.629745,-0.210083,0.71255,0.227065,-9.537815,2.744197,-1.89093,-0.331219,0.525942,-0.111007,37.241283,-27.465736,1.423841,4.63582E+18,0.353636,-0.479273,0.50942,0.621072,-10.629054,-0.718217,1.818637,-1.241845,-0.394466,0.2953,43.481791,13.077129,4.016236,4.63583E+18,-0.647242,-0.317412,-0.617862,0.313964
1.61972E+15,-10.081625,-1.936676,-1.304427,-0.729377,0.062214,-0.041207,38.322495,-8.337656,24.063328,4.63583E+18,0.628894,-0.212326,0.711965,0.229164,-9.994198,2.055884,-1.829282,-0.30461,0.500027,-0.085986,37.33802,-27.294839,1.451459,4.63582E+18,0.351931,-0.481289,0.509217,0.620648,-10.435696,-0.647379,1.330014,-1.310721,-0.384476,0.303611,43.414814,12.838921,4.072639,4.63583E+18,-0.65027,-0.314013,-0.618214,0.310413
1.61972E+15,-10.194092,-2.166902,-1.409133,-0.686804,0.138428,-0.059136,38.23966,-8.52957,23.880234,4.63583E+18,0.627861,-0.214589,0.711596,0.231025,-10.167702,1.654882,-1.531743,-0.222476,0.465275,-0.045199,37.303694,-27.190311,1.584504,4.63582E+18,0.350354,-0.483006,0.509254,0.620175,-10.301098,-0.238945,0.691683,-1.390628,-0.369786,0.323933,43.341248,12.682516,4.126102,4.63583E+18,-0.653368,-0.310457,-0.618661,0.306572
1.61972E+15,-10.275176,-2.452065,-1.555632,-0.645297,0.181752,-0.073097,38.221378,-8.840912,23.927428,4.63583E+18,0.626743,-0.21683,0.71136,0.232689,-10.113383,1.542557,-1.382796,-0.142243,0.424205,-0.013621,37.195057,-27.229064,1.740005,4.63582E+18,0.348942,-0.484432,0.509499,0.619658,-10.066919,-0.180391,-0.12741,-1.422688,-0.335903,0.349131,43.343514,12.565427,4.075984,4.63583E+18,-0.656426,-0.306909,-0.619185,0.302524
1.61972E+15,-10.310033,-2.629874,-1.788472,-0.608908,0.188223,-0.084235,38.230974,-8.911405,24.104457,4.63583E+18,0.625643,-0.219016,0.71116,0.23421,-9.948323,1.691879,-1.322998,-0.095468,0.387381,0.004257,37.02859,-27.310085,1.794488,4.63582E+18,0.347652,-0.485656,0.509846,0.619139,-9.849771,-0.142318,-0.687144,-1.444782,-0.302497,0.379065,43.510395,12.369156,3.97833,4.63583E+18,-0.659439,-0.303408,-0.619767,0.298283
1.61972E+15,-10.296067,-2.613243,-1.958449,-0.577861,0.180439,-0.099952,38.166428,-8.911405,24.222997,4.63583E+18,0.624603,-0.221162,0.710949,0.235605,-9.6255,2.086877,-1.284946,-0.104517,0.365913,0.008268,36.931816,-27.387739,1.79891,4.63582E+18,0.346376,-0.486831,0.510143,0.618687,-9.73396,0.281564,-1.131102,-1.476377,-0.262034,0.408946,43.754543,12.09963,4.03101,4.63583E+18,-0.662397,-0.299934,-0.620437,0.293816
1.61972E+15,-10.310029,-2.38911,-2.04737,-0.529486,0.153197,-0.124597,38.215292,-9.103284,24.253497,4.63583E+18,0.623832,-0.222854,0.710805,0.236488,-9.302434,2.3394,-1.337337,-0.149085,0.355306,-0.003667,37.085502,-27.411293,1.877435,4.63582E+18,0.345059,-0.488067,0.510284,0.618332,-9.498811,0.424372,-1.973244,-1.458444,-0.188951,0.443267,43.798238,11.788181,4.226328,4.63583E+18,-0.665159,-0.296675,-0.621219,0.289197
