Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61971E+15,-9.262488,-0.265632,3.602526,0.652905,0.120156,-0.072111,40.752951,-21.480392,-9.848078,4.63583E+18,0.566666,-0.396606,0.448138,0.566361,-8.88247,1.555916,-3.446332,0.062189,0.066133,-0.231637,46.77387,-1.59917,-3.446713,4.63583E+18,-0.185181,-0.809495,-0.113282,0.545521,-9.003134,-1.980438,-3.415833,0.260929,-0.051873,0.13582,33.73937,5.10055,31.676666,4.63583E+18,0.577879,-0.206555,0.789507,-0.008371
1.61971E+15,-9.275307,-0.367564,3.581042,0.67493,0.099733,-0.066022,40.835105,-21.460615,-9.780085,4.63583E+18,0.567659,-0.395409,0.449958,0.564759,-8.856615,1.608205,-3.404136,0.106983,0.066747,-0.225808,46.820294,-1.560145,-3.295999,4.63583E+18,-0.184399,-0.809519,-0.113883,0.545625,-8.98774,-2.195535,-3.250608,0.27222,-0.047984,0.144148,33.71874,5.275491,31.734864,4.63583E+18,0.578246,-0.205519,0.789503,-0.008932
1.61971E+15,-9.292153,-0.363903,3.618029,0.694445,0.079876,-0.063598,40.920557,-21.638841,-9.602224,4.63583E+18,0.56871,-0.394112,0.451776,0.563154,-8.990883,1.718458,-3.368181,0.178565,0.052804,-0.218576,46.734852,-1.408762,-3.34058,4.63583E+18,-0.183397,-0.809569,-0.114287,0.545804,-8.805582,-2.519449,-3.230578,0.309002,-0.038642,0.157431,33.827055,5.212826,31.762114,4.63583E+18,0.578613,-0.20435,0.789529,-0.009591
1.61971E+15,-9.29313,-0.327281,3.637806,0.717571,0.07116,-0.06536,40.94363,-21.758231,-9.34123,4.63583E+18,0.569815,-0.392739,0.453621,0.561511,-9.094516,1.697891,-3.492242,0.262682,0.03071,-0.211923,46.668903,-1.342814,-3.449522,4.63583E+18,-0.182137,-0.809635,-0.114459,0.546093,-8.765242,-2.452708,-3.135092,0.343918,-0.023718,0.171918,33.905898,4.960262,31.794019,4.63583E+18,0.578961,-0.203048,0.789601,-0.010341
1.61971E+15,-9.289834,-0.281752,3.628896,0.742136,0.074887,-0.070903,40.827798,-21.653264,-9.194137,4.63583E+18,0.570962,-0.391324,0.455518,0.559796,-9.100088,1.657421,-3.820513,0.334176,0.001511,-0.204202,46.685619,-1.326098,-3.26363,4.63583E+18,-0.180667,-0.80969,-0.11442,0.546507,-8.984373,-2.045183,-2.864632,0.35528,-0.018761,0.186353,33.846744,4.941836,31.634041,4.63583E+18,0.579301,-0.20167,0.789694,-0.011099
1.61971E+15,-9.325473,-0.250743,3.634509,0.765143,0.078466,-0.077312,40.847305,-21.607103,-9.096482,4.63583E+18,0.572148,-0.389872,0.457462,0.55801,-9.077157,1.731545,-4.054386,0.416131,-0.034818,-0.191759,46.76164,-1.250076,-3.112888,4.63583E+18,-0.178965,-0.809728,-0.114125,0.547072,-9.197501,-1.921889,-2.669981,0.332354,-0.013337,0.204429,33.895908,5.147473,31.44627,4.63583E+18,0.579603,-0.200288,0.789815,-0.011742
1.61971E+15,-9.383212,-0.226328,3.637806,0.787574,0.071247,-0.089178,41.048582,-21.722931,-8.927544,4.63583E+18,0.573407,-0.388367,0.459417,0.556158,-8.933035,2.000297,-4.436857,0.465135,-0.039615,-0.164662,46.827599,-1.203612,-3.135167,4.63583E+18,-0.177161,-0.809802,-0.113622,0.547654,-9.224415,-1.975093,-2.729445,0.303629,-0.009312,0.220832,33.99762,5.249183,31.511995,4.63583E+18,0.579868,-0.19892,0.789958,-0.012253
1.61971E+15,-9.417516,-0.246456,3.664529,0.809222,0.06992,-0.097605,41.176887,-21.712355,-8.741167,4.63583E+18,0.574717,-0.38682,0.461399,0.55424,-8.943103,1.883571,-4.503039,0.526449,-0.036317,-0.13676,46.827599,-1.250078,-3.255099,4.63583E+18,-0.175212,-0.809938,-0.112887,0.548231,-9.194682,-2.08871,-2.860283,0.292673,-0.011448,0.239073,33.940657,5.275473,31.633763,4.63583E+18,0.58013,-0.197518,0.79011,-0.012683
1.61971E+15,-9.433024,-0.229632,3.612073,0.829806,0.072057,-0.104794,41.084183,-21.6302,-8.629316,4.63583E+18,0.576065,-0.385238,0.463416,0.552255,-9.003497,1.611815,-4.710546,0.587345,-0.036561,-0.119466,46.827599,-1.184118,-3.405865,4.63583E+18,-0.173096,-0.810122,-0.111953,0.548822,-9.168696,-2.208604,-2.971716,0.296123,-0.010518,0.257833,33.838921,5.322428,31.606541,4.63583E+18,0.580392,-0.196046,0.790278,-0.013079
1.61971E+15,-9.427414,-0.148467,3.482076,0.850102,0.074193,-0.113051,40.925483,-21.607103,-8.463686,4.63583E+18,0.577455,-0.383624,0.465465,0.5502,-8.992998,1.42251,-4.837357,0.683189,-0.045421,-0.089165,46.844297,-1.184118,-3.361336,4.63583E+18,-0.170729,-0.810364,-0.110691,0.549463,-9.196555,-2.119422,-3.003021,0.297687,-0.005642,0.272704,33.895864,5.243584,31.54393,4.63583E+18,0.580639,-0.19452,0.790468,-0.013448
1.61971E+15,-9.4063,-0.024094,3.317786,0.860263,0.073212,-0.122374,40.944944,-21.776342,-8.188219,4.63583E+18,0.578877,-0.381997,0.467514,0.548097,-9.015707,1.213017,-4.721483,0.840301,-0.082614,-0.051242,46.884153,-1.203592,-3.210547,4.63583E+18,-0.167933,-0.810642,-0.108912,0.550269,-9.204382,-1.988874,-2.97236,0.278353,-0.003506,0.282456,34.02828,5.102695,31.609633,4.63583E+18,0.580862,-0.193007,0.79067,-0.013732
1.61971E+15,-9.3997,0.047835,3.218143,0.867451,0.069517,-0.130429,41.083836,-21.901392,-7.972112,4.63583E+18,0.580328,-0.380355,0.469551,0.545959,-8.971822,1.375271,-4.695368,1.005454,-0.124217,-0.005949,46.810909,-1.28626,-3.252271,4.63583E+18,-0.164701,-0.81095,-0.106571,0.55125,-9.186863,-1.961012,-2.895671,0.246995,-0.00137,0.287495,34.052412,5.15525,31.727041,4.63583E+18,0.581052,-0.191554,0.790881,-0.013901
1.61971E+15,-9.417514,0.034316,3.180526,0.882721,0.076155,-0.135568,41.126743,-21.7998,-7.922605,4.63583E+18,0.581795,-0.378696,0.471624,0.54376,-8.878647,1.772382,-4.649936,1.138018,-0.155962,0.030894,46.751575,-1.323349,-3.415905,4.63583E+18,-0.161116,-0.811276,-0.103776,0.552362,-9.133659,-1.953184,-2.882805,0.219168,-0.000383,0.292371,33.971347,5.222911,31.66136,4.63583E+18,0.581215,-0.190151,0.791098,-0.013968
