Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618503354141957,-9.239994,0.069202,2.971532,-0.996518,-0.211829,0.233546,44.508194,-12.519016,6.940959,4635730284195610600.000000,-0.752495,0.147340,-0.600842,-0.225902,-10.351878,-0.619831,-0.197368,0.067843,-0.443640,-1.028088,44.662442,-13.513465,-2.716322,4635726096065626100.000000,-0.461859,0.611763,-0.410363,-0.493999,-10.468724,2.500767,0.359684,0.276850,0.524318,-0.120338,42.957851,15.352611,6.708877,4635727491929997300.000000,-0.578408,-0.426533,-0.571888,0.395548
1618503354150290,-9.304681,-0.099292,2.768062,-1.015775,-0.191099,0.199425,44.477362,-12.547198,6.718229,4635730284195610600.000000,-0.752154,0.149818,-0.599419,-0.229164,-10.625325,-0.460004,-0.068457,0.065597,-0.410290,-1.060520,44.623085,-13.088059,-2.690655,4635726096065626100.000000,-0.464924,0.612597,-0.406977,-0.492889,-10.016157,2.403040,-0.721705,-0.103907,0.469558,-0.102620,42.905071,15.446317,6.989647,4635727491929997300.000000,-0.577279,-0.426807,-0.573398,0.394714
1618503354158623,-9.553214,-0.214326,2.812331,-1.037157,-0.229042,0.171006,44.418337,-12.531206,6.464906,4635730284195610600.000000,-0.751910,0.152390,-0.597827,-0.232404,-11.414116,-0.573509,-0.101872,0.085699,-0.399077,-1.077631,44.627635,-12.795991,-2.673757,4635726096065626100.000000,-0.468046,0.613432,-0.403601,-0.491672,-9.803448,1.005933,-0.746459,-0.224545,0.457685,-0.091641,42.831832,15.528352,7.208822,4635727491929997300.000000,-0.576410,-0.426794,-0.575056,0.393585
1618503354166956,-9.756721,-0.200723,2.975601,-1.076379,-0.268684,0.138455,44.441355,-12.643073,6.347850,4635730284195610600.000000,-0.751757,0.155122,-0.596041,-0.235656,-12.055889,-0.567715,-0.135430,0.085305,-0.417646,-1.076484,44.866420,-12.471418,-2.997756,4635726096065626100.000000,-0.471185,0.614212,-0.400181,-0.490492,-9.510821,-0.170013,-0.996881,-0.178035,0.446517,-0.093274,42.767382,15.490655,7.536099,4635727491929997300.000000,-0.575480,-0.426870,-0.576610,0.392588
1618503354175289,-9.862181,-0.328800,2.878946,-1.088845,-0.285528,0.116078,44.495983,-12.775348,6.281809,4635730284195610600.000000,-0.751645,0.157926,-0.594164,-0.238870,-11.349054,-0.802859,-0.344593,0.029411,-0.442977,-1.047219,45.060821,-12.012015,-3.400250,4635726096065626100.000000,-0.474153,0.614988,-0.396664,-0.489516,-9.007343,0.070637,-1.677160,-0.142867,0.407285,-0.105069,42.697558,15.519550,7.844117,4635727491929997300.000000,-0.574560,-0.426936,-0.578031,0.391773
1618503354183622,-9.911409,-0.703046,2.752862,-1.048762,-0.288208,0.115203,44.465162,-12.829981,6.028243,4635730361653444600.000000,-0.751552,0.160601,-0.592304,-0.241978,-10.202691,-2.340407,-0.822669,0.100836,-0.504874,-0.984593,45.105456,-11.624110,-3.564562,4635726096065626100.000000,-0.477267,0.615380,-0.393321,-0.488694,-8.850368,0.673139,-1.426005,-0.121630,0.374138,-0.104334,42.562746,15.540025,7.861039,4635727491929997300.000000,-0.573683,-0.426999,-0.579335,0.391065
1618503354191955,-9.835171,-1.246935,2.458308,-1.016614,-0.312932,0.143585,44.410534,-12.860796,5.755494,4635730498943975400.000000,-0.751498,0.163076,-0.590407,-0.245105,-10.434072,-3.305813,-0.414136,0.201333,-0.517764,-0.902426,45.057526,-11.449649,-3.607439,4635726048923541500.000000,-0.480483,0.615399,-0.390360,-0.487892,-8.982285,0.522296,-0.761458,-0.050720,0.350215,-0.086382,42.509593,15.592791,7.766797,4635727491929997300.000000,-0.572764,-0.427234,-0.580431,0.390527
1618503354200288,-9.693084,-1.676005,2.189527,-1.001223,-0.293866,0.189778,44.379718,-12.946248,5.665640,4635730498943975400.000000,-0.751349,0.165401,-0.588606,-0.248315,-11.031297,-2.813995,0.195318,0.200759,-0.534297,-0.810680,45.127181,-11.257045,-3.790816,4635725988691443700.000000,-0.483529,0.615225,-0.387593,-0.487308,-9.121409,0.086296,-0.406681,0.062075,0.327017,-0.073956,42.682040,15.674820,7.871389,4635727491929997300.000000,-0.571721,-0.427730,-0.581265,0.390272
1618503354208621,-9.642444,-1.802699,2.258963,-0.969040,-0.204371,0.248280,44.294265,-13.058113,5.506350,4635730421502617600.000000,-0.750929,0.167571,-0.587148,-0.251561,-10.710538,-2.748689,0.532829,0.149901,-0.584307,-0.741148,45.280508,-10.922110,-4.003415,4635725988691443700.000000,-0.486376,0.614929,-0.384794,-0.487066,-9.322612,-0.080585,-0.368185,0.178454,0.308904,-0.060795,42.688779,15.813025,7.984153,4635727491929997300.000000,-0.570535,-0.428505,-0.581842,0.390299
