Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618506090229790,-9.497360,0.745224,2.722251,-0.122521,0.110802,0.008545,45.139542,-7.747692,8.088927,4635732216930893800.000000,0.792704,-0.041185,0.575400,0.197076,-9.807367,-0.446852,-0.090426,0.026071,-0.026282,0.055544,42.500899,-18.880183,1.970519,4635727814052544500.000000,0.547610,-0.446697,0.592394,0.386852,-9.864141,-0.548214,0.207526,-0.013193,0.021885,-0.033561,41.773735,16.980497,8.432430,4635729585032867800.000000,0.607100,0.315381,0.626442,-0.373543
1618506090238123,-9.493932,0.755145,2.725108,-0.138391,0.082616,0.008895,45.069733,-7.662821,7.999848,4635732216930893800.000000,0.792405,-0.041909,0.575576,0.197612,-9.819730,-0.427259,-0.063447,0.022234,-0.025200,0.055965,42.594516,-18.794740,1.911426,4635727814052544500.000000,0.547379,-0.446902,0.592325,0.387049,-9.875509,-0.475529,0.188795,-0.003677,0.021363,-0.027177,41.817439,17.055421,8.663251,4635729532576333800.000000,0.607104,0.315174,0.626422,-0.373746
1618506090246456,-9.418973,0.715666,2.783859,-0.151209,0.067662,0.016372,45.077160,-7.596433,8.095013,4635732216930893800.000000,0.792092,-0.042762,0.575684,0.198366,-9.783108,-0.427259,-0.082884,0.016669,-0.027772,0.058313,42.442889,-18.743025,2.009085,4635727814052544500.000000,0.547140,-0.447108,0.592245,0.387269,-9.819882,-0.501617,0.158418,0.001663,0.021363,-0.020197,41.771785,17.245601,8.702766,4635729532576333800.000000,0.607111,0.314999,0.626384,-0.373945
1618506090254789,-9.310821,0.621435,2.797209,-0.163327,0.052807,0.023849,45.217001,-7.662250,8.374279,4635732216930893800.000000,0.791805,-0.043626,0.575735,0.199176,-9.753716,-0.427259,-0.112435,0.013689,-0.028615,0.061939,42.417843,-18.845347,2.087466,4635727814052544500.000000,0.546891,-0.447312,0.592167,0.387506,-9.728193,-0.605512,0.115278,0.017927,0.022455,-0.010560,41.688282,17.321474,8.611354,4635729532576333800.000000,0.607110,0.314891,0.626310,-0.374162
1618506090263122,-9.237005,0.594735,2.832118,-0.160390,0.040540,0.031376,44.980852,-7.581369,8.361138,4635732216930893800.000000,0.791540,-0.044453,0.575748,0.200008,-9.748896,-0.434488,-0.075654,0.007702,-0.031201,0.066225,42.571875,-18.996969,2.068190,4635727814052544500.000000,0.546630,-0.447515,0.592079,0.387772,-9.674229,-0.546841,0.091694,0.034800,0.021315,-0.004795,41.731978,17.248230,8.569597,4635729532576333800.000000,0.607098,0.314839,0.626200,-0.374409
1618506090271455,-9.154410,0.523776,2.835546,-0.141564,0.040021,0.039771,44.921893,-7.607859,8.089509,4635732216930893800.000000,0.791271,-0.045200,0.575776,0.200823,-9.717259,-0.468698,-0.083043,0.004905,-0.027772,0.066647,42.606743,-19.075023,2.009074,4635727814052544500.000000,0.546354,-0.447731,0.591995,0.388041,-9.699470,-0.352087,0.116383,0.038999,0.018134,-0.003180,41.773735,17.212439,8.569597,4635729532576333800.000000,0.607092,0.314797,0.626072,-0.374668
1618506090279788,-9.128853,0.504502,2.900221,-0.131132,0.049803,0.044812,45.143550,-7.914396,8.021194,4635732201858573300.000000,0.791017,-0.045788,0.575855,0.201461,-9.665855,-0.476256,-0.075653,0.008109,-0.028615,0.068994,42.469555,-19.153416,2.087466,4635727814052544500.000000,0.546270,-0.447644,0.592137,0.388043,-9.716818,-0.262321,0.153006,0.038975,0.016544,-0.003229,41.686354,17.287335,8.569597,4635729532576333800.000000,0.607090,0.314752,0.625940,-0.374929
1618506090288121,-9.086286,0.587092,2.796632,-0.125693,0.041061,0.043496,45.143819,-7.987892,8.293374,4635731894808346600.000000,0.790785,-0.046355,0.575909,0.202085,-9.663276,-0.420039,-0.083045,0.011313,-0.032466,0.071566,42.469555,-19.119723,2.068213,4635727814052544500.000000,0.545880,-0.448022,0.591914,0.388496,-9.736092,-0.231390,0.164662,0.033538,0.013838,-0.005911,41.690210,17.284030,8.613287,4635729532576333800.000000,0.607098,0.314682,0.625813,-0.375187
1618506090296454,-9.173429,0.610370,2.814808,-0.119060,0.027501,0.037336,44.907069,-7.817575,8.377415,4635731894808346600.000000,0.790549,-0.047027,0.575913,0.202843,-9.707111,-0.405070,-0.068434,0.013675,-0.034181,0.071987,42.469555,-18.948836,1.989807,4635727814052544500.000000,0.545626,-0.448196,0.591839,0.388767,-9.797122,-0.207526,0.127497,0.023380,0.009566,-0.008023,41.811173,17.174999,8.561450,4635729532576333800.000000,0.607128,0.314573,0.625693,-0.375429
1618506090304787,-9.297204,0.606969,2.703807,-0.128849,-0.002282,0.036168,44.828986,-7.666249,8.182097,4635731894808346600.000000,0.790420,-0.047600,0.575820,0.203475,-9.777950,-0.456665,-0.046424,0.012186,-0.034602,0.074755,42.455123,-18.862124,1.989807,4635727856368255000.000000,0.545366,-0.448365,0.591766,0.389047,-9.833199,-0.282396,0.066463,0.017067,0.005293,-0.008545,41.722193,17.214065,8.378350,4635729532576333800.000000,0.607177,0.314441,0.625573,-0.375662
1618506090313120,-9.453632,0.533158,2.579163,-0.120304,-0.050871,0.032815,44.902798,-7.670217,8.000384,4635731894808346600.000000,0.790413,-0.048110,0.575573,0.204082,-9.814934,-0.432069,-0.031812,0.011928,-0.035896,0.080095,42.379476,-19.116068,2.009048,4635728028800909300.000000,0.545099,-0.448522,0.591699,0.389343,-9.820449,-0.391450,0.049101,0.015476,0.002659,-0.006361,41.602829,17.323118,8.282587,4635729532576333800.000000,0.607237,0.314305,0.625446,-0.375889
1618506090321453,-9.564052,0.453371,2.647876,-0.111760,-0.088450,0.026555,44.992197,-7.759053,8.098033,4635731894808346600.000000,0.790504,-0.048567,0.575208,0.204645,-9.758711,-0.466098,-0.004995,0.024308,-0.034181,0.086277,42.327688,-19.280861,2.068234,4635728028800909300.000000,0.545031,-0.448349,0.591886,0.389352,-9.790068,-0.414782,0.098468,0.018775,-0.000593,-0.003727,41.765030,17.365166,8.420104,4635729532576333800.000000,0.607307,0.314180,0.625301,-0.376122
1618506090329786,-9.680470,0.493398,2.628560,-0.103412,-0.128922,0.023549,45.162555,-7.906996,8.186633,4635731899794404400.000000,0.790697,-0.048968,0.574717,0.205184,-9.714878,-0.524918,0.038837,0.039682,-0.033970,0.095680,42.427560,-19.136590,1.951348,4635728028800909300.000000,0.544655,-0.448607,0.591746,0.389793,-9.759419,-0.359185,0.202888,0.024614,0.002253,-0.002659,41.963883,17.371136,8.557389,4635729532576333800.000000,0.607363,0.314077,0.625153,-0.376364
1618506090338119,-9.672554,0.598728,2.715698,-0.099536,-0.144447,0.025112,45.309923,-7.833195,8.084461,4635732002182529000.000000,0.790924,-0.049346,0.574178,0.205729,-9.656056,-0.517711,0.092854,0.055720,-0.033323,0.103383,42.588643,-19.082380,1.796891,4635728028800909300.000000,0.544423,-0.448615,0.591797,0.390031,-9.741508,-0.298684,0.318453,0.032706,0.012388,-0.001045,41.968258,17.290064,8.557389,4635729532576333800.000000,0.607385,0.314014,0.625015,-0.376610
1618506090346452,-9.496563,0.611501,2.831552,-0.103709,-0.148452,0.036960,45.224470,-7.759617,7.885751,4635732002182529000.000000,0.791147,-0.049708,0.573624,0.206326,-9.651251,-0.490699,0.075647,0.067469,-0.035442,0.108286,42.709093,-19.174844,1.825916,4635728028800909300.000000,0.544210,-0.448582,0.591870,0.390255,-9.710330,-0.311948,0.359987,0.038999,0.018727,-0.001091,41.895016,17.093963,8.563625,4635729532576333800.000000,0.607382,0.313977,0.624883,-0.376864
1618506090354785,-9.222030,0.634785,2.817654,-0.105549,-0.125203,0.050746,45.142979,-7.929936,7.629627,4635732002182529000.000000,0.791304,-0.050059,0.573148,0.206963,-9.626837,-0.493297,0.080647,0.079429,-0.042271,0.114082,42.575601,-19.312113,1.921171,4635728028800909300.000000,0.544026,-0.448496,0.591959,0.390475,-9.636827,-0.348042,0.322841,0.098440,0.034479,0.006592,41.771898,16.974263,8.476075,4635729532576333800.000000,0.607273,0.314135,0.624687,-0.377233
1618506090363118,-9.080057,0.629722,2.773894,-0.100982,-0.108031,0.062248,45.146917,-8.073987,7.638066,4635732002182529000.000000,0.791365,-0.050507,0.572724,0.207793,-9.612029,-0.456678,0.049032,0.092246,-0.050816,0.113014,42.248432,-19.314514,1.989807,4635728028800909300.000000,0.543890,-0.448369,0.592049,0.390676,-9.526436,-0.590938,0.236864,0.253625,0.070980,0.016591,41.644638,17.092987,8.386486,4635729532576333800.000000,0.606881,0.314769,0.624326,-0.377932
1618506090371451,-9.028403,0.523227,2.833809,-0.091089,-0.110693,0.068213,45.235759,-7.914709,7.816686,4635732002182529000.000000,0.791428,-0.050907,0.572301,0.208620,-9.638845,-0.403249,-0.012005,0.106534,-0.058730,0.111105,42.024680,-19.307512,1.970598,4635728028800909300.000000,0.543803,-0.448201,0.592140,0.390851,-9.535546,-0.842832,0.164409,0.359126,0.092929,0.012158,41.602829,17.249843,8.430125,4635729532576333800.000000,0.606287,0.315693,0.623858,-0.378887
1618506090379784,-8.920236,0.486609,2.865365,-0.097448,-0.102591,0.065108,45.387127,-7.755639,7.889752,4635732002182529000.000000,0.791471,-0.051342,0.571898,0.209450,-9.687472,-0.305185,-0.085047,0.127249,-0.065542,0.104714,42.202586,-19.270081,1.875340,4635728028800909300.000000,0.543780,-0.447993,0.592236,0.390975,-9.650860,-0.449091,0.221289,0.312856,0.080384,0.021681,41.646463,17.248283,8.471938,4635729532576333800.000000,0.605800,0.316505,0.623418,-0.379713
1618506090388117,-8.849805,0.448299,2.794370,-0.102099,-0.104546,0.063892,45.383189,-7.841091,7.710579,4635732002182529000.000000,0.791518,-0.051796,0.571484,0.210290,-9.775526,-0.276376,-0.178310,0.146949,-0.074158,0.092982,42.391714,-19.431175,1.787490,4635728028800909300.000000,0.543834,-0.447757,0.592323,0.391041,-9.692678,-0.067530,0.324144,0.208859,0.062362,0.046135,41.644648,17.249839,8.378438,4635729532576333800.000000,0.605535,0.317089,0.623063,-0.380230
