Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61971E+15,-9.758133,-0.925973,0.571539,0.443143,0.001381,-0.107671,39.970618,19.945107,-9.029689,4.63583E+18,0.388205,0.539771,0.4545,-0.592767,-11.225441,-0.103372,1.461549,-0.219555,0.766589,0.643074,37.049469,25.840076,5.555274,4.63582E+18,0.492116,0.412149,0.579783,-0.501804,-9.522213,-1.198363,-1.48698,0.11798,-0.136341,0.052962,44.171469,-8.743986,-8.169076,4.63583E+18,0.329185,-0.71045,0.2771,0.556878
1.61971E+15,-9.628061,-0.808526,0.614579,0.426633,0.020885,-0.117496,40.127523,19.873653,-8.932029,4.63583E+18,0.386867,0.540316,0.453809,-0.593675,-11.031622,-0.376941,0.789608,-0.303276,0.750257,0.611449,37.204295,25.673657,5.776782,4.63582E+18,0.492147,0.414511,0.580856,-0.498576,-9.459581,-1.03692,-1.417664,0.108406,-0.137791,0.043833,44.1908,-8.720454,-8.115609,4.63583E+18,0.3296,-0.709939,0.277278,0.557196
1.61971E+15,-9.473156,-0.527761,0.535759,0.39725,0.053638,-0.116447,40.184982,19.859657,-8.880359,4.63583E+18,0.385533,0.540895,0.45324,-0.594449,-10.690099,-0.694943,0.226268,-0.364709,0.750309,0.581905,37.456193,25.51049,6.131703,4.63582E+18,0.492214,0.416669,0.582099,-0.495251,-9.476864,-1.010452,-1.394407,0.090872,-0.139444,0.038352,44.1908,-8.647212,-8.027397,4.63583E+18,0.329978,-0.709454,0.277397,0.557531
1.61971E+15,-9.405914,-0.271,0.331818,0.367577,0.038279,-0.111437,40.085554,19.816172,-9.065446,4.63583E+18,0.384307,0.541396,0.452707,-0.595193,-10.39237,-1.182929,-0.124755,-0.386852,0.759818,0.562367,37.549973,25.289869,6.576516,4.63582E+18,0.492247,0.418745,0.583431,-0.491887,-9.504041,-1.202105,-1.334977,0.084041,-0.139927,0.033253,44.181355,-8.687301,-8.22528,4.63583E+18,0.330348,-0.708982,0.277484,0.557869
1.61971E+15,-9.357316,-0.136732,0.272783,0.324292,0.02865,-0.113398,39.942623,19.985062,-9.230794,4.63583E+18,0.383191,0.541798,0.45227,-0.595878,-10.341752,-1.526511,-0.332571,-0.353585,0.763726,0.556505,37.596418,25.141895,6.998399,4.63582E+18,0.492192,0.420877,0.584704,-0.488601,-9.46235,-1.370683,-1.290069,0.097363,-0.135796,0.030392,44.178593,-8.826642,-8.506025,4.63583E+18,0.330759,-0.708504,0.277599,0.558175
1.61971E+15,-9.271408,-0.046376,0.247913,0.28817,-0.015498,-0.115165,39.968577,20.103824,-9.256976,4.63583E+18,0.382235,0.542029,0.451855,-0.596597,-10.418264,-1.688776,-0.498995,-0.293305,0.758985,0.561246,37.677396,24.955831,7.327087,4.63582E+18,0.492044,0.423127,0.585826,-0.485452,-9.467416,-1.299978,-1.244005,0.105605,-0.129629,0.027429,44.121933,-8.796473,-8.418509,4.63583E+18,0.331193,-0.708033,0.277733,0.558449
1.61971E+15,-9.298051,-0.184635,0.347557,0.249156,-0.008977,-0.120505,40.127257,19.992443,-9.368592,4.63583E+18,0.38134,0.542202,0.451559,-0.597236,-10.410836,-1.756672,-0.739566,-0.237055,0.75354,0.566691,37.77059,24.711675,7.558153,4.63582E+18,0.491814,0.425487,0.586805,-0.482431,-9.491831,-1.109038,-1.204619,0.0969,-0.126525,0.020094,44.095904,-8.597705,-8.232633,4.63583E+18,0.331615,-0.707588,0.277829,0.558714
1.61971E+15,-9.277626,-0.329363,0.447447,0.216609,0.015744,-0.127243,40.222112,19.814136,-9.489854,4.63583E+18,0.380456,0.542372,0.451398,-0.597767,-10.334328,-1.739118,-1.043523,-0.180659,0.747236,0.570286,37.852762,24.622332,7.807622,4.63582E+18,0.491498,0.427952,0.587643,-0.479545,-9.506802,-1.033718,-1.215209,0.0783,-0.127694,0.016506,44.159234,-8.545182,-8.191168,4.63583E+18,0.331992,-0.70717,0.27787,0.558999
1.61971E+15,-9.29557,-0.422538,0.476333,0.177943,0.039739,-0.138859,39.9882,19.97481,-9.296549,4.63583E+18,0.379584,0.542518,0.451398,-0.598189,-10.22567,-1.674817,-1.268033,-0.128686,0.736374,0.571459,37.933737,24.568167,8.096106,4.63582E+18,0.491111,0.430498,0.588344,-0.476795,-9.528451,-1.204812,-1.211299,0.07205,-0.120742,0.011892,44.178593,-8.790663,-8.332792,4.63583E+18,0.332352,-0.706782,0.277893,0.559264
1.61971E+15,-9.409425,-0.611875,0.40907,0.149452,0.013858,-0.137464,39.809847,20.089887,-9.173252,4.63583E+18,0.378828,0.542556,0.451423,-0.598614,-10.19645,-1.53967,-1.338345,-0.099577,0.725588,0.562657,37.972761,24.273793,8.211113,4.63582E+18,0.490674,0.433054,0.588972,-0.474147,-9.533982,-1.398986,-1.236858,0.08561,-0.117738,0.009855,44.055853,-8.862575,-8.374279,4.63583E+18,0.332754,-0.706384,0.277945,0.559502
1.61971E+15,-9.527756,-0.784527,0.408336,0.122574,-0.060162,-0.133105,39.968542,19.946898,-9.358357,4.63583E+18,0.378283,0.542375,0.451389,-0.599148,-10.2286,-1.221777,-1.30413,-0.088867,0.71259,0.54268,38.031389,24.021249,8.339373,4.63582E+18,0.490202,0.435552,0.589581,-0.471583,-9.533982,-1.383831,-1.235715,0.096333,-0.115018,0.005483,43.906613,-8.739849,-8.223231,4.63583E+18,0.333194,-0.705982,0.278013,0.559714
