Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61971E+15,-9.688363,0.776249,1.281068,0.334519,-0.154439,0.001635,44.317898,-4.607925,13.50854,4.63583E+18,0.752249,0.042025,0.656685,-0.033453,-9.833338,-0.340025,-0.008161,0.033011,0.177619,0.250253,42.40852,-17.890841,9.775249,4.63583E+18,-0.615325,0.335098,-0.630914,-0.333214,-9.640773,-1.809757,-0.518834,0.06702,0.041124,-0.041127,38.666969,23.651863,7.620494,4.63583E+18,0.499265,0.407768,0.596961,-0.477595
1.61971E+15,-9.682629,0.781274,1.32774,0.331628,-0.144262,0.006787,44.41343,-4.620872,13.428144,4.63583E+18,0.752585,0.043037,0.656186,-0.034396,-9.772314,-0.214505,-0.084289,0.032655,0.180313,0.253456,42.40852,-17.95709,9.855439,4.63583E+18,-0.614538,0.334596,-0.631778,-0.333534,-9.707934,-1.754847,-0.48217,0.090519,0.038455,-0.030712,38.612015,23.59691,7.556383,4.63583E+18,0.498942,0.407951,0.596926,-0.477821
1.61971E+15,-9.678313,0.781274,1.38591,0.325219,-0.141435,0.012316,44.577152,-4.651021,13.485605,4.63583E+18,0.752914,0.044045,0.655694,-0.035302,-9.726399,-0.28077,-0.073244,0.038555,0.177566,0.256966,42.393399,-17.95709,9.776966,4.63583E+18,-0.613761,0.334066,-0.632646,-0.333851,-9.710999,-1.684603,-0.540173,0.10788,0.034716,-0.023766,38.590686,23.633475,7.602089,4.63583E+18,0.498612,0.40818,0.596836,-0.478082
1.61971E+15,-9.6539,0.738183,1.423241,0.316297,-0.124657,0.018096,44.54911,-4.600748,13.576075,4.63583E+18,0.753198,0.045043,0.655253,-0.036163,-9.812427,-0.259836,-0.084875,0.037995,0.16953,0.262663,42.241683,-17.965232,9.784531,4.63583E+18,-0.612995,0.333511,-0.6335,-0.334195,-9.692678,-1.739526,-0.55238,0.120691,0.034179,-0.022968,38.547895,23.725116,7.763871,4.63583E+18,0.498263,0.408437,0.596718,-0.478374
1.61971E+15,-9.586399,0.693667,1.399542,0.308129,-0.095001,0.024065,44.390421,-4.565569,13.618436,4.63583E+18,0.753402,0.046036,0.654904,-0.036978,-9.78453,-0.055229,-0.19648,0.021975,0.165818,0.26129,42.172503,-18.058803,9.979826,4.63583E+18,-0.612217,0.332994,-0.634319,-0.334581,-9.683538,-1.800582,-0.567634,0.147925,0.037385,-0.016826,38.633342,23.630547,7.812779,4.63583E+18,0.497871,0.408772,0.596541,-0.478715
1.61971E+15,-9.517465,0.676433,1.372255,0.299835,-0.064654,0.029845,44.368169,-4.522482,13.558831,4.63583E+18,0.753524,0.047024,0.654649,-0.037745,-9.732782,-0.004642,-0.207526,0.005751,0.15768,0.25651,42.242862,-18.237814,10.15772,4.63583E+18,-0.611445,0.33252,-0.635086,-0.33501,-9.653011,-1.809766,-0.589001,0.179967,0.036852,-0.012018,38.676148,23.511459,7.718174,4.63583E+18,0.497436,0.409184,0.596291,-0.479127
1.61971E+15,-9.49018,0.657047,1.352869,0.292736,-0.036004,0.033301,44.541933,-4.492324,13.513596,4.63583E+18,0.753569,0.048004,0.654484,-0.038476,-9.764761,-0.044183,-0.205203,-0.011799,0.154525,0.246591,42.161478,-18.484901,10.159474,4.63583E+18,-0.610669,0.332111,-0.635807,-0.335463,-9.640803,-1.782281,-0.595117,0.211745,0.034183,-0.008281,38.612015,23.551052,7.650996,4.63583E+18,0.496961,0.409665,0.595966,-0.479614
1.61971E+15,-9.485152,0.646992,1.263838,0.28551,-0.017657,0.032924,44.592216,-4.492324,13.513596,4.63583E+18,0.753564,0.048962,0.654376,-0.039185,-9.750235,0.00348,-0.180791,-0.02304,0.161595,0.233977,42.024844,-18.621537,10.09895,4.63583E+18,-0.609875,0.331774,-0.636511,-0.335904,-9.628596,-1.77619,-0.589001,0.241388,0.030177,-0.003207,38.627242,23.709743,7.59311,4.63583E+18,0.496454,0.410212,0.595563,-0.48017
1.61971E+15,-9.506691,0.639813,1.143916,0.274452,-0.017215,0.027647,44.513943,-4.442067,13.456158,4.63583E+18,0.753559,0.049872,0.654272,-0.039881,-9.72057,0.027351,-0.159855,-0.029144,0.164799,0.223398,42.091125,-18.555252,10.364085,4.63583E+18,-0.609079,0.331485,-0.6372,-0.336329,-9.607257,-1.763954,-0.595119,0.266222,0.026973,0.000799,38.63348,23.847117,7.400854,4.63583E+18,0.495921,0.410813,0.595097,-0.480785
