Format=7,6257,Unnamed: 2,Unnamed: 3,Waist,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,6280,Unnamed: 44,Unnamed: 45,Right Foot,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,6283,Unnamed: 58,Unnamed: 59,Left Foot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1619713944013186,-9.564747,0.837266,-2.007059,0.003090,-0.005640,-0.014442,37.459970,-8.143643,26.758629,4635829822747050000.000000,-0.680479,0.041618,-0.723767,-0.106664,-9.509567,-1.860338,-1.015063,0.000000,0.013724,0.008545,42.267768,-9.228797,13.562425,4635825849902301200.000000,-0.542235,0.517681,-0.550916,-0.366715,-9.546189,-1.684622,1.235883,-0.002222,-0.002393,-0.009442,40.021740,21.772651,5.182789,4635827353140854800.000000,0.630677,0.226408,0.650782,-0.357028
1619713944021519,-9.516730,0.835148,-2.009177,0.008360,0.006621,-0.010240,37.336595,-8.128821,26.839344,4635829822747050000.000000,-0.680461,0.041566,-0.723807,-0.106532,-9.520851,-1.901586,-1.001930,0.000000,0.012899,0.010520,42.195247,-9.386778,13.291600,4635825849902301200.000000,-0.542120,0.517786,-0.550954,-0.366679,-9.547168,-1.684622,1.270549,-0.003119,-0.005426,-0.007477,40.082261,21.857123,5.254541,4635827353140854800.000000,0.630701,0.226334,0.650775,-0.357045
1619713944029852,-9.519655,0.842311,-1.991927,0.009613,0.014698,-0.007407,37.293617,-8.214267,26.999341,4635829822747050000.000000,-0.680417,0.041510,-0.723870,-0.106408,-9.544341,-1.825373,-1.034856,0.000000,0.011830,0.013643,42.358034,-9.625363,13.100200,4635825849902301200.000000,-0.542003,0.517882,-0.550996,-0.366652,-9.561332,-1.687557,1.278842,-0.001794,-0.006323,-0.007391,39.990942,21.930366,5.175939,4635827353140854800.000000,0.630726,0.226262,0.650763,-0.357067
1619713944038185,-9.559198,0.832224,-1.972556,0.010055,0.007522,-0.002507,37.323877,-8.299714,26.983121,4635829822747050000.000000,-0.680383,0.041493,-0.723910,-0.106352,-9.568756,-1.818903,-1.037629,-0.002962,0.012737,0.010924,42.439595,-9.497169,13.436110,4635825849902301200.000000,-0.541882,0.517993,-0.551030,-0.366625,-9.593065,-1.717335,1.248086,0.002136,-0.005170,-0.006238,39.857666,21.991877,5.175939,4635827353140854800.000000,0.630746,0.226206,0.650748,-0.357096
1619713944046518,-9.595019,0.827981,-1.970434,0.012005,-0.003971,0.001324,37.402159,-8.380118,26.828156,4635829822747050000.000000,-0.680383,0.041458,-0.723920,-0.106307,-9.559321,-1.830186,-0.992497,-0.000243,0.015780,0.015618,42.287180,-9.406171,13.645295,4635825849902301200.000000,-0.541752,0.518091,-0.551085,-0.366595,-9.567673,-1.675346,1.277869,0.002478,-0.003204,-0.004273,40.010502,21.911793,5.183756,4635827353140854800.000000,0.630764,0.226159,0.650735,-0.357118
1619713944054851,-9.595019,0.852393,-1.967517,0.016091,-0.006526,0.004528,37.482560,-8.357573,26.770836,4635829911428978700.000000,-0.680389,0.041400,-0.723924,-0.106258,-9.501989,-1.842392,-0.988800,-0.000987,0.017009,0.015035,42.127574,-9.399700,13.389324,4635825949133877200.000000,-0.541620,0.518194,-0.551140,-0.366563,-9.536913,-1.709036,1.233925,0.006494,-0.002948,-0.004187,40.077387,21.765800,5.281414,4635827353140854800.000000,0.630777,0.226123,0.650717,-0.357151
1619713944063184,-9.600059,0.876806,-1.943104,0.020109,-0.001695,0.005968,37.490278,-8.163611,26.725475,4635830037495414800.000000,-0.680382,0.041322,-0.723944,-0.106195,-9.519923,-1.877163,-0.977518,-0.004030,0.021039,0.015941,42.115540,-9.478671,13.367106,4635825957276483600.000000,-0.541470,0.518308,-0.551201,-0.366531,-9.565726,-1.703183,1.245155,0.007221,0.000000,-0.003290,39.941648,21.771654,5.363452,4635827353140854800.000000,0.630783,0.226096,0.650704,-0.357180
1619713944071517,-9.602187,0.896180,-1.923730,0.018276,-0.006801,0.004018,37.440105,-8.055541,26.620651,4635830037495414800.000000,-0.680391,0.041251,-0.723949,-0.106131,-9.521774,-1.834819,-1.010433,-0.001312,0.024324,0.016022,42.262185,-9.564114,13.547589,4635825957276483600.000000,-0.541319,0.518420,-0.551274,-0.366486,-9.510543,-1.636768,1.242228,0.003846,0.000000,-0.004187,39.943100,21.840020,5.272623,4635827353140854800.000000,0.630791,0.226057,0.650697,-0.357203
