Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1618505727538980,-9.327270,0.088733,3.506090,-0.654245,-0.342615,-0.336888,44.038464,4.460728,15.412000,4635731894808346600.000000,0.767923,0.031129,0.635864,-0.070722,-10.234776,-0.146763,-1.958651,-0.309439,-0.090754,0.016679,39.646939,-24.529866,8.496353,4635727384555814900.000000,-0.357616,0.529855,-0.608667,-0.469989,-9.433730,2.409505,-2.507383,0.058407,0.160449,0.544406,45.179600,4.418862,9.085440,4635729425202151400.000000,-0.462179,-0.712633,-0.327432,0.413924
1618505727547313,-8.081399,-0.228249,3.384322,-0.718585,-0.307779,-0.264658,44.085138,4.535307,15.152669,4635731894808346600.000000,0.768808,0.027965,0.635059,-0.069654,-9.967358,-0.054718,-2.383818,-0.209954,-0.098032,0.070298,39.535492,-24.580507,8.574115,4635727384555814900.000000,-0.357234,0.529921,-0.608192,-0.470818,-9.379496,2.548754,-2.896723,-0.054268,0.167236,0.585846,45.180896,4.170067,9.019436,4635729425202151400.000000,-0.463238,-0.713596,-0.326107,0.412124
1618505727555646,-7.182896,-0.525799,3.208003,-0.754189,-0.369333,-0.184668,43.976938,4.637981,14.931734,4635731894808346600.000000,0.769868,0.024940,0.634046,-0.068316,-9.550076,0.272321,-2.611782,-0.149065,-0.101040,0.122878,39.444803,-24.724353,8.516206,4635727384555814900.000000,-0.356892,0.529757,-0.607948,-0.471578,-9.067833,2.513969,-3.310149,-0.060630,0.209537,0.574720,45.193103,3.794991,9.117093,4635729425202151400.000000,-0.464236,-0.714599,-0.324905,0.410207
1618505727563979,-6.493413,-0.710573,3.089721,-0.750758,-0.417318,-0.100653,43.866240,4.615231,14.868617,4635731894808346600.000000,0.771067,0.022135,0.632862,-0.066721,-9.149540,0.273733,-2.707356,-0.097164,-0.120195,0.160748,39.497988,-24.892762,8.428279,4635727384555814900.000000,-0.356635,0.529385,-0.607858,-0.472305,-8.728845,2.463134,-3.962416,0.019938,0.217546,0.518083,45.204014,3.576769,9.214742,4635729425202151400.000000,-0.464883,-0.715691,-0.323747,0.408484
1618505727572312,-6.074628,-0.676868,2.947862,-0.715802,-0.373365,-0.017672,43.996767,4.477996,14.868617,4635731894808346600.000000,0.772160,0.019672,0.631794,-0.064948,-8.720025,0.285528,-2.751424,-0.048230,-0.128377,0.189822,39.583434,-24.995588,8.255312,4635727384555814900.000000,-0.356449,0.528851,-0.607915,-0.472969,-8.616389,3.009877,-4.126102,0.027487,0.198012,0.489535,45.196244,3.576769,9.322761,4635729425202151400.000000,-0.465483,-0.716721,-0.322621,0.406881
1618505727580645,-5.985417,-0.530803,2.797171,-0.667811,-0.271525,0.054774,44.240905,4.315098,14.748638,4635731894808346600.000000,0.773010,0.017415,0.631032,-0.062854,-8.513942,0.477740,-2.924187,-0.015480,-0.129246,0.210787,39.532747,-25.071316,8.069718,4635727213489014800.000000,-0.356295,0.528214,-0.608081,-0.473584,-8.436790,3.582699,-4.132577,0.255076,0.206573,0.466553,45.132066,3.552167,9.518078,4635729425202151400.000000,-0.465351,-0.718172,-0.321192,0.405602
1618505727588978,-6.225739,-0.428109,2.490772,-0.611318,-0.209766,0.112261,44.429037,4.204407,14.685506,4635731824470849500.000000,0.773691,0.015615,0.630441,-0.060850,-8.357744,0.524918,-3.053907,0.004850,-0.127544,0.231713,39.525088,-25.154276,8.032472,4635727255330586600.000000,-0.356139,0.527497,-0.608335,-0.474173,-7.883076,4.554000,-4.130230,0.134177,0.172411,0.399473,45.152032,3.311200,9.682331,4635729425202151400.000000,-0.465510,-0.719238,-0.320101,0.404391
1618505727597311,-6.627732,-0.474814,2.068150,-0.548703,-0.224196,0.146407,44.435798,4.174932,14.749479,4635731787434164200.000000,0.774407,0.014105,0.629781,-0.058905,-8.072625,0.408230,-3.056818,0.062149,-0.116049,0.250525,39.653984,-25.239734,8.032472,4635727277181632500.000000,-0.356040,0.526673,-0.608757,-0.474622,-7.394833,5.324029,-3.660350,0.041607,0.156051,0.372058,45.210339,3.027436,9.565301,4635729425202151400.000000,-0.465921,-0.720058,-0.319214,0.403158
1618505727605644,-7.022961,-0.656625,1.756658,-0.482523,-0.279472,0.166774,44.250629,4.015027,14.735194,4635731787434164200.000000,0.775260,0.012905,0.628920,-0.057139,-7.959435,0.339532,-2.974056,0.132847,-0.107268,0.263579,39.822407,-25.315464,8.042196,4635727277181632500.000000,-0.356046,0.525731,-0.609357,-0.474892,-6.941425,4.697899,-3.742505,0.033133,0.135920,0.285602,45.058818,3.027436,9.334920,4635729425202151400.000000,-0.466238,-0.720711,-0.318561,0.402140
1618505727613977,-7.313442,-0.916333,1.752366,-0.415230,-0.301917,0.185632,44.222353,3.818851,14.589993,4635731787434164200.000000,0.776167,0.011967,0.627966,-0.055490,-8.063698,0.601848,-2.944468,0.189092,-0.099791,0.264267,39.594647,-25.272024,8.112741,4635727277181632500.000000,-0.356156,0.524715,-0.610083,-0.475001,-6.732404,3.599674,-3.618815,-0.145309,0.105892,0.199554,45.122654,2.978387,9.539255,4635729425202151400.000000,-0.466986,-0.720851,-0.318406,0.401143
1618505727622310,-7.437660,-1.149125,1.914409,-0.347939,-0.250520,0.185971,44.459700,3.655949,14.462852,4635731787434164200.000000,0.776945,0.011124,0.627162,-0.053847,-8.151846,1.099213,-2.796141,0.215057,-0.078702,0.247668,39.265054,-25.257118,8.052348,4635727191661117400.000000,-0.356301,0.523744,-0.610854,-0.474974,-6.176366,3.285031,-2.779201,-0.511154,0.047031,0.028086,45.647752,2.482163,9.799381,4635729425202151400.000000,-0.466472,-0.721651,-0.315400,0.402673
1618505727630643,-7.466718,-1.348648,2.009576,-0.273654,-0.146998,0.172860,44.569229,3.545224,14.493104,4635731787434164200.000000,0.777437,0.010582,0.626674,-0.052523,-8.234813,1.519664,-2.719982,0.213866,-0.058389,0.231627,39.139636,-25.461298,8.032472,4635727340848479200.000000,-0.356422,0.522856,-0.611615,-0.474881,-6.293962,4.525730,-1.157373,-1.252669,-0.091351,-0.210586,46.319457,1.754484,9.846109,4635729413851460600.000000,-0.470925,-0.718115,-0.319393,0.400660
1618505727638976,-7.486917,-1.567931,2.082382,-0.194986,-0.029180,0.144619,44.521269,3.467773,14.534803,4635731787434164200.000000,0.777610,0.010247,0.626551,-0.051491,-8.378587,1.851934,-2.700322,0.164075,-0.040865,0.209869,39.066398,-25.649576,8.110245,4635727384555814900.000000,-0.356434,0.522131,-0.612257,-0.474842,-6.478345,7.267244,1.110844,-2.140037,-0.206414,-0.441442,46.443326,1.431530,9.584705,4635729317827969000.000000,-0.477704,-0.712332,-0.325181,0.398294
1618505727647309,-7.543302,-1.775883,2.079910,-0.134130,0.063503,0.113567,44.599891,3.386538,14.594966,4635731787434164200.000000,0.777532,0.010047,0.626715,-0.050713,-8.265098,2.353972,-2.629795,0.063223,-0.012720,0.185522,39.109806,-25.616335,8.363416,4635727384555814900.000000,-0.356204,0.521671,-0.612690,-0.474963,-6.727882,8.807782,2.821231,-2.822027,-0.304840,-0.638981,46.290474,1.579324,9.497360,4635729317827969000.000000,-0.486238,-0.704666,-0.332405,0.395632
1618505727655642,-7.728445,-1.867296,2.134986,-0.092650,0.124362,0.076335,44.654682,3.357036,14.688411,4635731787434164200.000000,0.777284,0.009897,0.627069,-0.050162,-8.062531,2.349242,-2.719316,-0.053826,0.017408,0.160103,39.251103,-25.598925,8.646693,4635727384555814900.000000,-0.355739,0.521450,-0.612930,-0.475244,-7.412624,8.211636,4.223914,-3.117014,-0.353219,-0.763460,46.307231,1.721244,9.497360,4635729317827969000.000000,-0.495408,-0.696012,-0.340289,0.392864
1618505727663975,-7.980566,-1.839981,2.332754,-0.067524,0.167937,0.034681,44.494846,3.412978,14.786063,4635731787434164200.000000,0.776912,0.009731,0.627561,-0.049813,-8.098016,1.862611,-2.746666,-0.133252,0.026901,0.133621,39.361177,-25.793306,8.558092,4635727555530038300.000000,-0.355129,0.521432,-0.612970,-0.475667,-7.920192,5.811761,4.645252,-3.057301,-0.355649,-0.804423,46.449169,1.722532,9.476755,4635729317827969000.000000,-0.504232,-0.687278,-0.348072,0.390186
1618505727672308,-8.141015,-1.643095,2.473005,-0.058087,0.197668,-0.001382,44.250708,3.490435,14.755857,4635731787434164200.000000,0.776449,0.009569,0.628146,-0.049680,-8.506661,1.502697,-2.853569,-0.164412,0.015016,0.118824,39.390803,-26.105471,8.219495,4635727599304179700.000000,-0.354447,0.521558,-0.612827,-0.476221,-8.514322,2.042650,4.670203,-2.682410,-0.404165,-0.771096,46.438857,1.765676,9.291729,4635729317827969000.000000,-0.511994,-0.679192,-0.354915,0.388065
1618505727680641,-8.234899,-1.286628,2.590422,-0.048221,0.214543,-0.040088,44.222325,3.411845,14.730120,4635731928014066700.000000,0.775932,0.009340,0.628786,-0.049698,-8.907528,1.566829,-2.910106,-0.166216,0.015151,0.110475,39.257215,-25.978280,8.064581,4635727599304179700.000000,-0.353794,0.521686,-0.612682,-0.476754,-8.481618,-1.026709,4.464144,-1.839540,-0.442172,-0.610483,46.351509,2.038636,9.194082,4635729317827969000.000000,-0.517625,-0.672997,-0.359788,0.386901
1618505727688974,-8.312354,-0.851854,2.756654,-0.043794,0.225962,-0.085238,44.363702,3.253162,14.798258,4635732002182529000.000000,0.775387,0.008870,0.629465,-0.049699,-9.276177,1.764369,-3.014745,-0.161311,0.004968,0.099598,39.144647,-25.734172,8.190443,4635727599304179700.000000,-0.353200,0.521811,-0.612510,-0.477278,-8.631242,-0.728936,4.767880,-0.840065,-0.495668,-0.371738,46.375947,2.030919,9.106723,4635729317827969000.000000,-0.520886,-0.669196,-0.362216,0.386851
1618505727697307,-8.465494,-0.456127,2.931768,-0.036803,0.225457,-0.136430,44.422741,3.302207,14.951842,4635732002182529000.000000,0.774826,0.008361,0.630141,-0.049975,-9.720117,1.670658,-2.884172,-0.140667,-0.014868,0.093801,39.202463,-25.810697,8.082035,4635727428366233600.000000,-0.352713,0.521883,-0.612335,-0.477784,-8.352460,1.330068,3.886888,0.348360,-0.418155,-0.033469,46.600171,1.957675,9.086143,4635729317827969000.000000,-0.521255,-0.668603,-0.361937,0.387639
1618505727705640,-8.724731,-0.289651,2.998804,-0.012838,0.190385,-0.176554,44.310884,3.468893,15.071035,4635732002182529000.000000,0.774347,0.007820,0.630699,-0.050450,-10.106297,1.490020,-2.649962,-0.096539,-0.043036,0.091228,39.154360,-25.843073,7.889188,4635727384555814900.000000,-0.352396,0.521842,-0.612200,-0.478236,-8.610098,-3.241861,1.794263,1.745459,-0.447215,0.338580,46.733143,1.892148,8.881825,4635729317827969000.000000,-0.518348,-0.671564,-0.358264,0.389825
1618505727713973,-9.065647,-0.428359,3.178797,0.016041,0.115014,-0.187994,44.307766,3.583868,15.100558,4635732002182529000.000000,0.774061,0.007328,0.631007,-0.051041,-10.414190,1.219466,-2.201768,-0.026151,-0.072942,0.089092,39.068914,-25.707030,7.839643,4635727384555814900.000000,-0.352312,0.521645,-0.612155,-0.478570,-8.842659,-0.118475,-1.090848,2.903041,-0.433498,0.695473,46.638709,1.875446,8.590807,4635729317827969000.000000,-0.512693,-0.677546,-0.351683,0.392932
1618505727722306,-9.423880,-0.840294,3.503289,0.048007,0.032650,-0.164224,44.233421,3.661330,15.164477,4635732002182529000.000000,0.773996,0.006984,0.631042,-0.051644,-10.678009,1.295741,-1.837315,0.028429,-0.085845,0.086956,39.119503,-25.740189,7.924606,4635727384555814900.000000,-0.352386,0.521345,-0.612198,-0.478788,-8.980114,11.619580,-5.942484,3.646599,-0.511359,0.885437,46.485790,1.725743,8.222655,4635729317827969000.000000,-0.505244,-0.685181,-0.343087,0.396922
1618505727730639,-9.769877,-1.364724,3.625599,0.071001,-0.013533,-0.113930,43.970881,3.742558,15.318050,4635732002182529000.000000,0.774057,0.006899,0.630921,-0.052221,-10.759458,1.252871,-1.672904,0.078414,-0.081636,0.087370,39.068916,-25.893659,7.947020,4635727384555814900.000000,-0.352557,0.520978,-0.612348,-0.478870,-10.559448,8.267142,-3.473377,3.735817,-0.649208,0.955484,46.501206,1.660207,7.930327,4635729317827969000.000000,-0.497724,-0.692740,-0.333772,0.401221
