Format=7,6257,,,Waist,,,,,,,,,,,6280,,,Right Foot,,,,,,,,,,,6283,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1.61971E+15,-9.612736,0.502736,-1.985342,0.0696,-0.03155,0.016608,38.612015,-3.231541,26.718872,4.63583E+18,0.650405,-0.065278,0.756334,0.025903,-9.603395,0.807116,-1.607546,0.012545,0.069827,0.04172,38.447534,-21.011345,17.721318,4.63583E+18,0.60596,-0.408138,0.599239,0.327335,-9.720901,-0.94837,-0.196237,-0.002711,-0.027198,-0.014954,40.62624,21.3262,2.326755,4.63583E+18,0.536207,0.363339,0.597311,-0.472955
1.61971E+15,-9.639383,0.470579,-1.979832,0.067593,-0.067152,0.011658,38.482343,-3.117497,26.675408,4.63583E+18,0.650559,-0.0651,0.756218,0.025871,-9.602683,0.772186,-1.59917,0.008607,0.069032,0.039186,38.171565,-21.046987,17.712942,4.63583E+18,0.605792,-0.40822,0.599396,0.327258,-9.765004,-0.904266,-0.160533,-0.001642,-0.026784,-0.011991,40.699617,21.240881,2.221747,4.63583E+18,0.535345,0.36433,0.596644,-0.47401
1.61971E+15,-9.613924,0.463881,-1.967624,0.049642,-0.08088,0.008936,38.582991,-3.018649,26.743001,4.63583E+18,0.650752,-0.064977,0.756062,0.025893,-9.623264,0.81335,-1.622155,0.008085,0.072174,0.038453,38.089499,-21.023549,17.743589,4.63583E+18,0.605616,-0.408308,0.599559,0.327175,-9.783773,-0.924999,-0.122995,0.000907,-0.02366,-0.009039,40.858295,21.353743,2.306394,4.63583E+18,0.535346,0.364244,0.596643,-0.474076
1.61971E+15,-9.607226,0.443934,-1.965392,0.028477,-0.083993,0.011163,38.681831,-3.003021,26.758629,4.63583E+18,0.650959,-0.064612,0.75592,0.025737,-9.612487,0.822442,-1.691568,0.012085,0.076174,0.038118,38.12132,-21.109001,17.810602,4.63583E+18,0.605438,-0.408392,0.599736,0.327074,-9.756489,-1.003875,-0.126791,0.006166,-0.020869,-0.00912,40.909782,21.479388,2.44999,4.63583E+18,0.535333,0.364175,0.596637,-0.47415
1.61971E+15,-9.667066,0.41952,-1.975365,0.019331,-0.114054,0.013495,38.697468,-3.003021,26.758629,4.63583E+18,0.651248,-0.064546,0.755672,0.02587,-9.582095,0.801858,-1.733451,0.014158,0.075231,0.03705,38.062683,-21.190619,17.841245,4.63583E+18,0.605267,-0.408472,0.599913,0.326968,-9.717093,-1.010346,-0.157772,0.009613,-0.021776,-0.005583,40.757558,21.438973,2.463027,4.63583E+18,0.535325,0.364122,0.596618,-0.474226
1.61971E+15,-9.68047,0.434998,-1.947679,0.023395,-0.1303,0.020867,38.557842,-2.873368,26.678841,4.63583E+18,0.651588,-0.064452,0.755382,0.026021,-9.622542,0.793481,-1.73728,0.017425,0.071566,0.035982,38.085657,-21.191105,17.969523,4.63583E+18,0.605113,-0.408538,0.600084,0.326856,-9.739657,-0.924899,-0.165263,0.009613,-0.02498,-0.001643,40.62624,21.467268,2.411425,4.63583E+18,0.535331,0.364072,0.596585,-0.474298
1.61971E+15,-9.670499,0.40955,-1.831283,0.031548,-0.102783,0.024176,38.466731,-2.904158,26.740747,4.63583E+18,0.651844,-0.064327,0.755167,0.026147,-9.6484,0.804966,-1.734174,0.016484,0.071231,0.036254,38.135929,-21.00179,18.072952,4.63583E+18,0.60496,-0.408602,0.600255,0.326745,-9.760283,-0.924053,-0.147416,0.007639,-0.023743,-0.000081,40.660079,21.619387,2.449979,4.63583E+18,0.535342,0.364024,0.596556,-0.474359
1.61971E+15,-9.62838,0.402844,-1.786754,0.038347,-0.072578,0.02544,38.513145,-3.057159,26.768599,4.63583E+18,0.652006,-0.064183,0.755036,0.026248,-9.604839,0.837761,-1.720523,0.010473,0.069158,0.037783,38.112955,-20.852633,17.944658,4.63583E+18,0.604799,-0.408674,0.600415,0.326657,-9.742435,-0.993512,-0.117361,0.004847,-0.021282,0.003042,40.705122,21.631442,2.502518,4.63583E+18,0.535356,0.363984,0.596534,-0.474402
1.61971E+15,-9.639377,0.362958,-1.832139,0.053482,-0.077764,0.027381,38.666167,-3.088473,26.691062,4.63583E+18,0.652199,-0.063692,0.754918,0.026049,-9.523225,0.873655,-1.760968,0.003666,0.063881,0.034977,38.089476,-21.041415,17.871841,4.63583E+18,0.604642,-0.408766,0.600545,0.326593,-9.701104,-0.985018,-0.103299,0.005753,-0.020951,0.006821,40.745526,21.478394,2.412288,4.63583E+18,0.535376,0.363955,0.596504,-0.474438
