Format=7,6257,Unnamed: 2,Unnamed: 3,Waist,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,6280,Unnamed: 44,Unnamed: 45,Right Foot,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,6283,Unnamed: 58,Unnamed: 59,Left Foot,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1619713440895224,-10.341642,-0.785072,3.057621,0.719112,-0.261618,-0.435076,44.382611,9.848446,10.471690,4635830144869597200.000000,0.737785,0.149411,0.615976,-0.232213,-20.549378,-8.984242,0.598739,-0.592018,1.361438,1.655251,42.393695,8.927223,18.945778,4635825849902301200.000000,-0.721509,0.230779,-0.651814,0.036120,-9.285870,-1.512492,-3.405457,0.261248,0.190166,0.284648,42.558941,18.516649,1.946892,4635827353140854800.000000,0.275924,0.698085,0.430831,-0.500926
1619713440903557,-10.426807,-0.940109,3.473208,0.743800,-0.374256,-0.363810,44.419513,10.104361,10.113911,4635830144869597200.000000,0.737950,0.150474,0.614310,-0.235394,-19.864453,-4.691736,-3.201831,-0.615738,1.433666,1.711826,42.281239,8.304617,19.629393,4635825849902301200.000000,-0.717049,0.227914,-0.657997,0.030575,-9.596620,-0.928901,-3.153823,0.215659,0.172212,0.314313,42.395119,18.506424,1.873239,4635827353140854800.000000,0.275700,0.699119,0.429649,-0.500623
1619713440911890,-10.372662,-1.081636,3.946497,0.690867,-0.398321,-0.280929,44.553641,10.156560,9.709833,4635830144869597200.000000,0.738281,0.151560,0.612563,-0.238198,-15.273668,4.540512,-6.781287,-0.192393,1.371987,1.850840,42.201881,7.594068,19.862289,4635825934240121900.000000,-0.713107,0.223394,-0.664012,0.025714,-9.962014,-1.382173,-3.091625,0.207565,0.153917,0.352143,42.543975,18.289456,1.776378,4635827353140854800.000000,0.275611,0.700172,0.428351,-0.500314
1619713440920223,-10.324082,-1.407980,3.804457,0.650015,-0.333788,-0.177763,44.605850,10.156560,9.570604,4635830144869597200.000000,0.738567,0.152847,0.610982,-0.240536,-14.515389,4.181600,-5.547849,-0.417948,1.382633,1.660259,42.140841,6.839776,20.125591,4635825957276483600.000000,-0.708838,0.220054,-0.669845,0.020802,-9.814367,-1.735798,-3.453889,0.243191,0.151746,0.396591,42.555008,18.057516,1.770074,4635827353140854800.000000,0.275513,0.701337,0.426845,-0.500022
1619713440928556,-10.376293,-1.798367,3.458325,0.649351,-0.289605,-0.063142,44.581312,10.202133,9.514515,4635830144869597200.000000,0.738849,0.154467,0.609460,-0.242490,-15.216403,1.641417,-4.962323,-0.830647,1.390958,1.441727,41.945549,6.150025,20.881493,4635825957276483600.000000,-0.704084,0.218502,-0.675489,0.015416,-9.482805,-1.358192,-3.741753,0.237681,0.146681,0.421469,42.486491,17.894092,1.781493,4635827353140854800.000000,0.275492,0.702528,0.425270,-0.499704
1619713440936889,-10.323715,-1.965270,3.605054,0.698643,-0.268189,0.064122,44.544937,10.290720,9.319203,4635830144869597200.000000,0.739166,0.156582,0.607866,-0.244161,-15.103265,0.269714,-5.202885,-0.987404,1.318576,1.326892,41.704041,5.612918,21.597339,4635825957276483600.000000,-0.699323,0.217716,-0.680772,0.009865,-9.437899,-0.999448,-3.440141,0.164188,0.127352,0.430980,42.561698,17.952362,1.862216,4635827353140854800.000000,0.275740,0.703607,0.423797,-0.499300
1619713440945222,-10.116091,-1.904355,3.750948,0.740246,-0.179960,0.189519,44.626876,10.180746,9.127405,4635830144869597200.000000,0.739352,0.159230,0.606414,-0.245492,-14.471272,-0.308507,-5.101034,-0.985224,1.303901,1.297347,41.661248,5.112475,21.904363,4635825872951546900.000000,-0.694546,0.217012,-0.685925,0.004373,-9.470577,-0.885249,-2.687328,0.125186,0.116051,0.437526,42.864082,17.820076,1.856315,4635827353140854800.000000,0.276135,0.704628,0.422371,-0.498851
1619713440953555,-9.914106,-1.862305,3.413540,0.754587,-0.004538,0.294464,44.658071,10.058900,9.024890,4635830144869597200.000000,0.739185,0.162365,0.605411,-0.246416,-13.772847,-1.284813,-4.622467,-0.936711,1.341346,1.245943,41.491308,4.410666,22.332376,4635825849902301200.000000,-0.689648,0.216300,-0.691086,-0.000798,-9.484363,-0.513564,-2.808066,0.149812,0.111364,0.430947,43.112965,17.593664,1.764183,4635827353140854800.000000,0.276451,0.705652,0.420906,-0.498465
